Version,Currency,ExchangeRate
11,???,7.28
11,0FJ,3.34
11,AAA,1.0
11,ADP,271.05
11,AED,4.9882
11,AFA,7386.02
11,AFN,141.3141
11,ALL,144.1542
11,AMD,629.9185
11,ANG,2.4313
11,AOA,726.7191
11,AON,414271.599999999
11,AOR,44.49
11,ARS,140.8286
11,ATS,22.6
11,AUD,1.8848
11,AWG,2.4355
11,AZM,8178.94
11,AZN,2.309
11,BAM,2.3393
11,BBD,2.7165
11,BDT,114.5278
11,BEF,66.26
11,BGL,2968.55
11,BGN,2.3393
11,BHD,0.5089
11,BIF,2687.0043
11,BMD,1.3583
11,BND,1.833
11,BOB,9.1207
11,BRE,2.02
11,BRL,7.5447
11,BSD,1.3583
11,BTN,100.7999
11,BUK,10.58
11,BWP,15.5897
11,BYB,4031.29
11,BYR,34962.7390999999
11,BZD,2.6778
11,CAD,1.7116
11,CFP,190.69
11,CHF,1.2444
11,CLF,0.039623
11,CLP,1118.0096
11,CNY,8.626
11,COP,5441.3026
11,CRC,850.774
11,CSD,116.56
11,CSK,57.48
11,CUC,1.3222
11,CUP,1.33983
11,CVE,131.8863
11,CYP,1.24
11,CZK,29.3011
11,DDM,2.59
11,DEM,3.21
11,DJF,241.3752
11,DKK,8.8989
11,DKR,10.52
11,DOP,77.6188
11,DZD,188.9655
11,ECD,1.67
11,ECS,36456.3
11,EEK,18.41
11,EGP,21.3019
11,ESN,2.52
11,ESP,273.29
11,ETB,67.042
11,EUR,1.1961
11,FIM,9.77
11,FJD,2.8617
11,FKP,1.0
11,FRF,10.77
11,GAB,928.0
11,GBP,1.0
11,GEL,4.1589
11,GHC,18593.5
11,GHS,8.3561
11,GIP,1.0
11,GMD,71.2756
11,GNF,12259.3899
11,GRD,559.69
11,GTQ,10.2333
11,GWP,996.35
11,GYD,272.1403
11,HKD,10.5825
11,HNL,32.8912
11,HRK,8.9877
11,HTG,136.5899
11,HUF,429.6165
11,IDG,194.422012
11,IDR,19442.2012
11,IEP,1.29
11,ILS,4.2344
11,INR,100.7999
11,IQD,1967.1726
11,IRQ,25.3388
11,IRR,57060.9202999999
11,ISK,174.7952
11,ITK,33.3166
11,ITL,3180.42
11,JMD,207.9034
11,JOD,0.963
11,JPX,1.93
11,JPY,155.855
11,KES,152.9271
11,KGS,115.1723
11,KHR,5474.0104
11,KMF,588.4354
11,KPW,2.03
11,KRW,1620.1595
11,KWD,0.4098
11,KYD,1.1319
11,KZT,589.3697
11,LAK,15111.5738
11,LBP,2047.5667
11,LKR,272.7922
11,LRD,200.2475
11,LSL,21.0344
11,LTL,4.1298
11,LTS,6.77
11,LUF,66.26
11,LVL,0.8406
11,LYD,6.1956
11,MAD,12.4741
11,MDL,24.1291
11,MGA,5345.9551
11,MGF,11031.7999999999
11,MKD,72.9928
11,MMK,2388.4694
11,MNT,3558.6234
11,MOP,10.8999
11,MRO,489.2687
11,MTL,1.07
11,MUR,57.8823
11,MVR,20.7543
11,MWK,1091.884
11,MXC,0.1699
11,MXN,27.7583
11,MXP,16.99
11,MYR,5.6861
11,MZM,1.84
11,MZN,85.8416
11,NAD,21.0344
11,NGN,561.2308
11,NIC,18.63
11,NIG,928.0
11,NIO,47.7791
11,NLG,3.62
11,NOK,11.9816
11,NPR,159.4872
11,NZD,2.0037
11,OMR,0.5213
11,PAB,1.3583
11,PEN,5.2687
11,PES,54.413026
11,PGK,4.6696
11,PHP,69.5496
11,PKR,239.1066
11,PLN,5.4397
11,PLZ,6.45
11,PTE,329.3
11,PYG,9265.1034
11,QAR,4.9192
11,ROL,1.84
11,RON,5.9087
11,RSD,140.4416
11,RUB,103.478
11,RUR,40.31
11,RWF,1375.2554
11,SAR,5.087
11,SBD,10.9361
11,SCR,17.6721
11,SDD,400.2
11,SDG,590.5723
11,SDP,3157.85
11,SEK,12.3507
11,SGD,1.833
11,SHP,1.0
11,SIT,1.39
11,SKK,1.14
11,SLL,15322.3817
11,SOS,764.8048
11,SRD,28.5126
11,SRG,3956.85
11,STD,29131.2827
11,SUR,28.61
11,SVC,11.8847
11,SYP,696.5055
11,SZL,21.0344
11,THB,45.0606
11,TND,3.9063
11,TOP,3.0245
11,TRK,9913.724
11,TRL,18303328.32
11,TRY,18.3033
11,TTD,9.0429
11,TWD,37.5344
11,TZS,3123.4122
11,UAH,37.5303
11,UF ,0.059
11,UGX,4769.2102
11,USD,1.3583
11,UYP,17.97
11,UYU,60.0073
11,UZS,14658.749
11,VEB,4336.58
11,VEF,611052.469999999
11,VND,30844.4349
11,VUV,152.3145
11,WST,3.4811
11,XAF,784.5805
11,XCD,3.6673
11,XEU,1.52
11,XOF,784.5805
11,XPF,142.7309
11,YDI,16.78
11,YER,339.1788
11,YUM,93.56
11,ZAR,21.0344
11,ZMK,7030.5902
11,ZMW,23.037
11,ZRN,232739.2
11,ZRZ,232739.2
11,ZWD,98723.0
11,ZWL,589.4
11,ZWR,84977.8999999999
