Version,Benchmark Class,Year,Value
11,Aviation Liab,2000,0.971930811
11,Aviation Liab,2001,1.120751263
11,Aviation Liab,2002,1.206182686
11,Aviation Liab,2003,1.120534496
11,Aviation Liab,2004,1.018399841
11,Aviation Liab,2005,1.044055399
11,Aviation Liab,2006,1.09367341
11,Aviation Liab,2007,0.937581189
11,Aviation Liab,2008,0.939365453
11,Aviation Liab,2009,1.101951204
11,Aviation Liab,2010,0.975666269
11,Aviation Liab,2011,1.010854134
11,Aviation Liab,2012,0.913853494
11,Aviation Liab,2013,0.88917955
11,Aviation Liab,2014,0.981131658
11,Aviation Liab,2015,0.912264191
11,Aviation Liab,2016,0.910611522
11,Aviation Liab,2017,0.996467582
11,Aviation Liab,2018,1.093794077
11,Aviation Liab,2019,1.232654292
11,Aviation Liab,2020,1.287091098
11,Aviation Liab,2021,1.084383518
11,Aviation Liab,2022,1.023706212
11,Aviation Liab,2023,1
11,Aviation Liab,2024,1
11,Aviation Liab,2025,1
11,Aviation Liab,2026,1
11,Aviation Liab,2027,1
11,Aviation Liab,2028,1
11,Aviation Liab,2029,1
11,Aviation Liab,2030,1
11,Aviation PD,2000,0.971930811
11,Aviation PD,2001,1.120751263
11,Aviation PD,2002,1.206182686
11,Aviation PD,2003,1.120534496
11,Aviation PD,2004,1.018399841
11,Aviation PD,2005,1.044055399
11,Aviation PD,2006,1.09367341
11,Aviation PD,2007,0.937581189
11,Aviation PD,2008,0.939365453
11,Aviation PD,2009,1.101951204
11,Aviation PD,2010,0.975666269
11,Aviation PD,2011,1.010854134
11,Aviation PD,2012,1.051970978
11,Aviation PD,2013,0.909883674
11,Aviation PD,2014,0.981743853
11,Aviation PD,2015,0.930272969
11,Aviation PD,2016,0.914251615
11,Aviation PD,2017,1.029219837
11,Aviation PD,2018,1.094771158
11,Aviation PD,2019,1.288965461
11,Aviation PD,2020,1.31794258
11,Aviation PD,2021,1.098999069
11,Aviation PD,2022,1.01324205
11,Aviation PD,2023,1
11,Aviation PD,2024,1
11,Aviation PD,2025,1
11,Aviation PD,2026,1
11,Aviation PD,2027,1
11,Aviation PD,2028,1
11,Aviation PD,2029,1
11,Aviation PD,2030,1
11,BBR Services MM,2000,1.018084298
11,BBR Services MM,2001,1.412000955
11,BBR Services MM,2002,1.527343631
11,BBR Services MM,2003,1.30176335
11,BBR Services MM,2004,0.980465589
11,BBR Services MM,2005,0.98779399
11,BBR Services MM,2006,0.93487413
11,BBR Services MM,2007,0.922565446
11,BBR Services MM,2008,0.924375413
11,BBR Services MM,2009,0.990371128
11,BBR Services MM,2010,0.948347865
11,BBR Services MM,2011,0.951959765
11,BBR Services MM,2012,1.045633763
11,BBR Services MM,2013,1.059533422
11,BBR Services MM,2014,1.018121001
11,BBR Services MM,2015,1.084862362
11,BBR Services MM,2016,1.023685777
11,BBR Services MM,2017,0.997685853
11,BBR Services MM,2018,0.978961329
11,BBR Services MM,2019,0.995764815
11,BBR Services MM,2020,1.089903688
11,BBR Services MM,2021,1.898034917
11,BBR Services MM,2022,1.416106088
11,BBR Services MM,2023,1.05
11,BBR Services MM,2024,1.05
11,BBR Services MM,2025,1.05
11,BBR Services MM,2026,1.05
11,BBR Services MM,2027,1.05
11,BBR Services MM,2028,1.05
11,BBR Services MM,2029,1.05
11,BBR Services MM,2030,1.05
11,BICI A&H PA,2000,1.063188649
11,BICI A&H PA,2001,1.113106187
11,BICI A&H PA,2002,1.172040825
11,BICI A&H PA,2003,0.928179605
11,BICI A&H PA,2004,0.932459287
11,BICI A&H PA,2005,0.936693956
11,BICI A&H PA,2006,0.934486508
11,BICI A&H PA,2007,0.931734632
11,BICI A&H PA,2008,0.954419553
11,BICI A&H PA,2009,0.994197426
11,BICI A&H PA,2010,1
11,BICI A&H PA,2011,1.06
11,BICI A&H PA,2012,1
11,BICI A&H PA,2013,1.005631528
11,BICI A&H PA,2014,0.976269573
11,BICI A&H PA,2015,1
11,BICI A&H PA,2016,1.041667023
11,BICI A&H PA,2017,0.957996404
11,BICI A&H PA,2018,0.964930823
11,BICI A&H PA,2019,0.989899751
11,BICI A&H PA,2020,1.037548451
