Version,tail,written_premium,num_yr_data,wgt_experience,wgt_benchmark
11,Short Tailed,500,1,0.0,1.0
11,Short Tailed,500,2,0.0,1.0
11,Short Tailed,500,3,0.1,0.9
11,Short Tailed,500,4,0.1,0.9
11,Short Tailed,500,5,0.2,0.8
11,Short Tailed,500,6,0.30000000000000004,0.7
11,Short Tailed,500,7,0.4,0.6
11,Short Tailed,500,8,0.5,0.5
11,Short Tailed,500,9,0.6,0.4
11,Short Tailed,500,10,0.7,0.30000000000000004
11,Short Tailed,1000,1,0.0,1.0
11,Short Tailed,1000,2,0.1,0.9
11,Short Tailed,1000,3,0.1,0.9
11,Short Tailed,1000,4,0.2,0.8
11,Short Tailed,1000,5,0.30000000000000004,0.7
11,Short Tailed,1000,6,0.4,0.6
11,Short Tailed,1000,7,0.5,0.5
11,Short Tailed,1000,8,0.6,0.4
11,Short Tailed,1000,9,0.7,0.30000000000000004
11,Short Tailed,1000,10,0.9,0.09999999999999998
11,Short Tailed,2000,1,0.0,1.0
11,Short Tailed,2000,2,0.1,0.9
11,Short Tailed,2000,3,0.2,0.8
11,Short Tailed,2000,4,0.30000000000000004,0.7
11,Short Tailed,2000,5,0.4,0.6
11,Short Tailed,2000,6,0.5,0.5
11,Short Tailed,2000,7,0.6,0.4
11,Short Tailed,2000,8,0.7,0.30000000000000004
11,Short Tailed,2000,9,0.9,0.09999999999999998
11,Short Tailed,2000,10,1.0,0.0
11,Short Tailed,3000,1,0.0,1.0
11,Short Tailed,3000,2,0.1,0.9
11,Short Tailed,3000,3,0.30000000000000004,0.7
11,Short Tailed,3000,4,0.4,0.6
11,Short Tailed,3000,5,0.5,0.5
11,Short Tailed,3000,6,0.6,0.4
11,Short Tailed,3000,7,0.7,0.30000000000000004
11,Short Tailed,3000,8,0.9,0.09999999999999998
11,Short Tailed,3000,9,1.0,0.0
11,Short Tailed,3000,10,1.0,0.0
11,Long Tailed,500,1,0.0,1.0
11,Long Tailed,500,2,0.0,1.0
11,Long Tailed,500,3,0.0,1.0
11,Long Tailed,500,4,0.05,0.95
11,Long Tailed,500,5,0.1,0.9
11,Long Tailed,500,6,0.2,0.8
11,Long Tailed,500,7,0.30000000000000004,0.7
11,Long Tailed,500,8,0.4,0.6
11,Long Tailed,500,9,0.5,0.5
11,Long Tailed,500,10,0.6,0.4
11,Long Tailed,1000,1,0.0,1.0
11,Long Tailed,1000,2,0.0,1.0
11,Long Tailed,1000,3,0.05,0.95
11,Long Tailed,1000,4,0.1,0.9
11,Long Tailed,1000,5,0.2,0.8
11,Long Tailed,1000,6,0.30000000000000004,0.7
11,Long Tailed,1000,7,0.4,0.6
11,Long Tailed,1000,8,0.5,0.5
11,Long Tailed,1000,9,0.6,0.4
11,Long Tailed,1000,10,0.7,0.30000000000000004
11,Long Tailed,2000,1,0.0,1.0
11,Long Tailed,2000,2,0.05,0.95
11,Long Tailed,2000,3,0.1,0.9
11,Long Tailed,2000,4,0.2,0.8
11,Long Tailed,2000,5,0.30000000000000004,0.7
11,Long Tailed,2000,6,0.4,0.6
11,Long Tailed,2000,7,0.5,0.5
11,Long Tailed,2000,8,0.6,0.4
11,Long Tailed,2000,9,0.7,0.30000000000000004
11,Long Tailed,2000,10,0.9,0.09999999999999998
11,Long Tailed,3000,1,0.0,1.0
11,Long Tailed,3000,2,0.05,0.95
11,Long Tailed,3000,3,0.1,0.9
11,Long Tailed,3000,4,0.30000000000000004,0.7
11,Long Tailed,3000,5,0.4,0.6
11,Long Tailed,3000,6,0.5,0.5
11,Long Tailed,3000,7,0.6,0.4
11,Long Tailed,3000,8,0.7,0.30000000000000004
11,Long Tailed,3000,9,0.9,0.09999999999999998
11,Long Tailed,3000,10,1.0,0.0
