currency,rate
USD,1.0
EUR,0.8834
GBP,0.7374
CHF,0.9251
AED,3.67300285
AFN,105.0435116
ALL,107.2579482
AMD,482.7579202
ANG,1.79
AOA,550.6595477
ARS,103.2585748
AUD,1.3943
AWG,1.80028365
AZN,1.7
BAM,1.72636864
BBD,2.0
BDT,85.77492282
BGN,1.72636864
BHD,0.37677714
BIF,2002.549349
BMD,1.0
BND,1.35575485
BOB,6.87520714
BRL,5.681
BSD,1.0
BTN,74.0600182
BWP,11.65798385
BYN,2.58040156
BZD,2.01176881
CAD,1.2383
CDF,2007.0
CLP,831.0987214
CNY,6.3756
COP,4041.934593
CRC,640.8649494
CUC,1.0
CUP,25.0
CVE,97.32851932
CZK,21.5159
DJF,177.71
DKK,6.5713
DOP,57.50715456
DZD,139.5435565
EGP,15.71193248
ERN,15.0
ETB,49.40807681
FJD,2.13436046
FKP,0.73650848
GEL,3.0932743
GGP,1.0
GHS,6.17229764
GIP,0.73650848
GMD,52.82193912
GNF,9108.282632
GTQ,7.70183636
GYD,208.779755
HKD,7.7965
HNL,24.47793261
HRK,6.63754961
HTG,100.1598922
HUF,316.6431
IDR,14300.77515
ILS,3.1239281
IMP,1.0
INR,74.095
IQD,1457.355058
IRR,42259.07262
ISK,129.1158554
JEP,1.0
JMD,154.176739
JOD,0.709
JPY,115.12
KES,113.1935058
KGS,84.8
KHR,4068.277061
KMF,434.2492419
KPW,135.0
KRW,1198.87
KWD,0.3026054
KYD,0.833333
KZT,434.7110189
LAK,11231.73993
LBP,1507.5
LKR,202.5466874
LRD,147.350887
LSL,15.64399305
LYD,7.83360211
MAD,9.26939778
MDL,17.89516824
MGA,3961.743834
MKD,54.38956292
MMK,1774.537261
MNT,2623.5
MOP,8.03019477
MRO,363.8436283
MUR,43.83258666
MVR,15.40541536
MWK,814.618177
MXN,20.39567106
MYR,4.2
MZN,63.83
NAD,15.64399305
NGN,412.4370509
NIO,35.48642953
NOK,8.8746
NPR,118.5011789
NZD,1.4802
OMR,0.38500059
PAB,1.0
PEN,3.94331073
PGK,3.50769616
PHP,51.33791511
PKR,176.5764178
PLN,4.0117
PYG,6934.256585
QAR,3.64099126
RON,4.36390312
RSD,103.7248951
RUB,75.3324
RWF,1025.320429
SAR,3.7537
SBD,8.08518296
SCR,14.45311586
SDG,437.5000289
SEK,9.112
SGD,1.3561
SHP,0.73650848
SLL,11335.72482
SOS,581.1471773
SPL,1.0
SRD,21.26518994
STD,21834.55706
SVC,8.75
SYP,512.795
SZL,15.64399305
THB,33.63
TJS,11.27257342
TMT,3.50610696
TND,2.87915615
TOP,2.28431265
TRY,13.8151
TTD,6.77406312
TVD,1.0
TWD,27.674
TZS,2304.450588
UAH,27.474052
UGX,3532.59909
USD,1.0
UYU,44.64109468
UZS,10809.17385
VEF,461552.0812
VND,22695.22268
VUV,113.14
WST,2.61720682
XAF,578.9989892
XAG,0.04470099
XAU,0.00055662
XCD,2.7
XDR,1.0
XOF,0.0010244
XPD,0.00051926
XPF,105.3314984
XPT,0.00105174
YER,250.1915532
ZAR,15.71
ZMW,16.8690689
ZWD,374.8
