type_of_cover,type_of_cover_,factor
ICC A,ICC A,1.0
ICC B,ICC B,0.8
ICC C,ICC C,0.7
INST BULK OIL,Inst Bulk Oil,0.7
ICC A + LEAK/SHORT/CONTAM,ICC A + Leak/Short/Contam,1.25
COAL,Coal,0.7
FROZEN FOOD A,Frozen Food A,1.0
FROZEN FOOD C,Frozen Food C,0.7
AMERICAN SP-13C (BULK OIL),American SP-13C (Bulk Oil),0.7
AMERICAN CARGO CLS 32B-10,American Cargo CLS 32B-10,0.8
AMERICAN ALL RISKS,American All Risks,1.0
GUARANTEED OUTTURN (ARPLOD),Guaranteed Outturn (ARPLOD),1.35
LAND TRANSIT FPA,Land Transit FPA,0.6
