Region,Region 2,Country,Region GA,Region Airlines,Region GA Frequency
Asia Pacific,Middle East - Iraq & Afghan,Afghanistan,Middle East - Hazardous,Middle East - Iraq & Afghan,Middle East - High
Europe,Europe,Aland Islands,Europe - Western,Europe,Europe
Europe,Europe,Albania,Europe - Eastern,Europe,Europe
Africa,Africa - North,Algeria,Africa,Africa - North,Africa
Asia Pacific,Asia Pacific,American Samoa,Asia Pacific,Asia Pacific,Asia Pac - Medium
Europe,Europe,Andorra,Europe - Western,Europe,Europe
Africa,Africa - Central,Angola,Africa,Africa - Central,Africa
Latin America,Latin America,Anguilla,Latin America and Caribbean,Latin America,Latin America
Latin America,Latin America,Antigua & Barbuda,Latin America and Caribbean,Latin America,Latin America
Latin America,Latin America,Argentina,Latin America and Caribbean,Latin America,Latin America
Europe,Europe,Armenia,Europe - Eastern,Europe,Europe
Latin America,Latin America,Aruba,Latin America and Caribbean,Latin America,Latin America
Australia,Australia,Australia,Asia Pacific - Australia,Australia,Asia Pac - Low
Europe,Europe,Austria,Europe - Western,Europe,Europe
Europe,Europe,Azerbaijan,Europe - Eastern,Europe,Europe
Latin America,Latin America,Bahamas,Latin America and Caribbean,Latin America,Latin America
Middle East,Middle East,Bahrain,Middle East,Middle East,Middle East - Low
Asia Pacific,Asia Pacific,Bangladesh,Asia Pacific,Asia Pacific,Asia Pac - Medium
Latin America,Latin America,Barbados,Latin America and Caribbean,Latin America,Latin America
Europe,Europe,Belarus,Europe - Eastern,Europe,Europe
Europe,Europe,Belgium,Europe - Western,Europe,Europe
Latin America,Latin America,Belize,Latin America and Caribbean,Latin America,Latin America
Africa,Africa - Central,Benin,Africa,Africa - Central,Africa
Latin America,Latin America,Bermuda,Latin America and Caribbean,Latin America,Latin America
Asia Pacific,Asia Pacific,Bhutan,Asia Pacific,Asia Pacific,Asia Pac - Medium
Latin America,Latin America,Bolivia,Latin America and Caribbean,Latin America,Latin America
Europe,Europe,Bosnia-Herzegovina,Europe - Eastern,Europe,Europe
Africa,Africa - South,Botswana,Africa,Africa - South,South Africa
Latin America,Latin America,Brazil,Latin America and Caribbean,Latin America,Latin America
Latin America,Latin America,British Virgin Islands,Latin America and Caribbean,Latin America,Latin America
Asia Pacific,Asia Pacific,Brunei,Asia Pacific,Asia Pacific,Asia Pac - Medium
Europe,Europe,Bulgaria,Europe - Eastern,Europe,Europe
Africa,Africa - Central,Burkina Faso,Africa,Africa - Central,Africa
Africa,Africa - Central,Burundi,Africa,Africa - Central,Africa
Asia Pacific,Asia Pacific,Cambodia,Asia Pacific,Asia Pacific,Asia Pac - Medium
Africa,Africa - Central,Cameroon,Africa,Africa - Central,Africa
North America,North America - Canada,Canada,North America - Canada,North America - Canada,North America
Africa,Africa - Central,Cape Verde Islands,Africa,Africa - Central,Africa
Latin America,Latin America,Cayman Islands,Latin America and Caribbean,Latin America,Latin America
Africa,Africa - Central,Central African Republic,Africa,Africa - Central,Africa
Africa,Africa - Central,Chad,Africa,Africa - Central,Africa
Latin America,Latin America,Chile,Latin America and Caribbean,Latin America,Latin America
Asia Pacific,Asia Pacific,China,Asia Pacific,Asia Pacific,Asia Pac - Medium
Latin America,Latin America,Colombia,Latin America and Caribbean,Latin America,Latin America
Africa,Africa - Central,Comoros,Africa,Africa - Central,Africa
Africa,Africa - Central,Congo,Africa,Africa - Central,Africa
Africa,Africa - Central,Congo (Democratic Republic),Africa,Africa - Central,Africa
Asia Pacific,Asia Pacific,Cook Islands,Asia Pacific,Asia Pacific,Asia Pac - Medium
Latin America,Latin America,Costa Rica,Latin America and Caribbean,Latin America,Latin America
Africa,Africa - Central,Cote d'Ivoire,Africa,Africa - Central,Africa
Europe,Europe,Croatia,Europe - Western,Europe,Europe
Latin America,Latin America,Cuba,Latin America and Caribbean,Latin America,Latin America
Latin America,Latin America,Curacao,Latin America and Caribbean,Latin America,Latin America
Europe,Europe,Cyprus,Europe - Western,Europe,Europe
Europe,Europe,Czech Republic,Europe - Eastern,Europe,Europe
Europe,Europe,Czechoslovakia,Europe - Eastern,Europe,Europe
Europe,Europe,Denmark,Europe - Western,Europe,Europe
Africa,Africa - Central,Djibouti,Africa,Africa - Central,Africa
Latin America,Latin America,Dominica,Latin America and Caribbean,Latin America,Latin America
Latin America,Latin America,Dominican Republic,Latin America and Caribbean,Latin America,Latin America
Asia Pacific,Asia Pacific,East Timor,Asia Pacific,Asia Pacific,Asia Pac - Medium
Latin America,Latin America,Ecuador,Latin America and Caribbean,Latin America,Latin America
Africa,Africa - North,Egypt,Africa,Africa - North,Africa
Latin America,Latin America,El Salvador,Latin America and Caribbean,Latin America,Latin America
Africa,Africa - Central,Equatorial Guinea,Africa,Africa - Central,Africa
Africa,Africa - Eritrea,Eritrea,Africa,Africa - Eritrea,Africa
Europe,Europe,Estonia,Europe - Eastern,Europe,Europe
Africa,Africa - South,Eswatini,Africa,Africa - South,South Africa
Africa,Africa - Central,Ethiopia,Africa,Africa - Central,Africa
Europe,Europe,Faroe Islands,Europe - Western,Europe,Europe
Asia Pacific,Asia Pacific,Fiji,Asia Pacific,Asia Pacific,Asia Pac - Medium
Europe,Europe,Finland,Europe - Western,Europe,Europe
Europe,Europe,France,Europe - Western,Europe,Europe
Latin America,Latin America,French Guiana,Latin America and Caribbean,Latin America,Latin America
Asia Pacific,Asia Pacific,French Polynesia,Asia Pacific,Asia Pacific,Asia Pac - Medium
Africa,Africa - Central,Gabon,Africa,Africa - Central,Africa
Africa,Africa - Central,Gambia,Africa,Africa - Central,Africa
Europe,Europe,Georgia,Europe - Eastern,Europe,Europe
Europe,Europe,Germany,Europe - Western,Europe,Europe
Africa,Africa - Central,Ghana,Africa,Africa - Central,Africa
Europe,Europe,Gibraltar,Europe - Western,Europe,Europe
Europe,Europe,Greece,Europe - Western,Europe,Europe
Europe,Europe,Greenland,Europe - Western,Europe,Europe
Latin America,Latin America,Grenada,Latin America and Caribbean,Latin America,Latin America
Latin America,Latin America,Guadeloupe,Latin America and Caribbean,Latin America,Latin America
Asia Pacific,Asia Pacific,Guam,Asia Pacific,Asia Pacific,Asia Pac - Medium
Latin America,Latin America,Guatemala,Latin America and Caribbean,Latin America,Latin America
Europe,Europe,Guernsey,Europe - Western,Europe,Europe
Africa,Africa - Central,Guinea,Africa,Africa - Central,Africa
Africa,Africa - Central,Guinea-Bissau,Africa,Africa - Central,Africa
Latin America,Latin America,Guyana,Latin America and Caribbean,Latin America,Latin America
Latin America,Latin America,Haiti,Latin America and Caribbean,Latin America,Latin America
Latin America,Latin America,Honduras,Latin America and Caribbean,Latin America,Latin America
Asia Pacific,Asia Pacific,Hong Kong,Asia Pacific,Asia Pacific,Asia Pac - Medium
Asia Pacific,Asia Pacific,Hong Kong SAR,Asia Pacific,Asia Pacific,Asia Pac - Medium
Europe,Europe,Hungary,Europe - Eastern,Europe,Europe
Europe,Europe,Iceland,Europe - Western,Europe,Europe
Asia Pacific,Asia Pacific,India,Asia Pacific,Asia Pacific,Asia Pac - Medium
Asia Pacific,Asia Pacific - Papua & Indo,Indonesia,Asia Pacific,Asia Pacific - Papua & Indo,Asia Pac - Medium
Middle East,Middle East,Iran,Middle East,Middle East,Middle East - Low
Middle East,Middle East - Iraq & Afghan,Iraq,Middle East - Hazardous,Middle East - Iraq & Afghan,Middle East - High
Europe,Europe,Ireland,Europe - Western,Europe,Europe
Europe,Europe,Isle of Man,Europe - Western,Europe,Europe
Middle East,Middle East,Israel,Middle East,Middle East,Middle East - Low
Europe,Europe,Italy,Europe - Western,Europe,Europe
Latin America,Latin America,Jamaica,Latin America and Caribbean,Latin America,Latin America
Asia Pacific,Asia Pacific - Japan,Japan,Asia Pacific - Japan & South Korea,Asia Pacific - Japan,Asia Pac - Low
Middle East,Middle East,Jordan,Middle East,Middle East,Middle East - Low
Asia Pacific,Asia Pacific,Kazakhstan,Asia Pacific,Asia Pacific,Asia Pac - Medium
Africa,Africa - Central,Kenya,Africa,Africa - Central,Africa
Asia Pacific,Asia Pacific,Kiribati,Asia Pacific,Asia Pacific,Asia Pac - Medium
Middle East,Middle East,Kuwait,Middle East,Middle East,Middle East - Low
Asia Pacific,Asia Pacific,Kyrgyzstan,Asia Pacific,Asia Pacific,Asia Pac - Medium
Asia Pacific,Asia Pacific,Laos,Asia Pacific,Asia Pacific,Asia Pac - Medium
Europe,Europe,Latvia,Europe - Eastern,Europe,Europe
Middle East,Middle East,Lebanon,Middle East,Middle East,Middle East - Low
Africa,Africa - South,Lesotho,Africa,Africa - South,South Africa
Africa,Africa - Central,Liberia,Africa,Africa - Central,Africa
Africa,Africa - North,Libya,Africa,Africa - North,Africa
Europe,Europe,Liechtenstein,Europe - Western,Europe,Europe
Europe,Europe,Lithuania,Europe - Eastern,Europe,Europe
Europe,Europe,Luxembourg,Europe - Western,Europe,Europe
Asia Pacific,Asia Pacific,Macau,Asia Pacific,Asia Pacific,Asia Pac - Medium
Asia Pacific,Asia Pacific,Macau SAR,Asia Pacific,Asia Pacific,Asia Pac - Medium
Europe,Europe,Macedonia,Europe - Eastern,Europe,Europe
Africa,Africa - Central,Madagascar,Africa,Africa - Central,Africa
Africa,Africa - Central,Malawi,Africa,Africa - Central,Africa
Asia Pacific,Asia Pacific,Malaysia,Asia Pacific,Asia Pacific,Asia Pac - Medium
Asia Pacific,Asia Pacific,Maldives,Asia Pacific,Asia Pacific,Asia Pac - Medium
Africa,Africa - Central,Mali,Africa,Africa - Central,Africa
Europe,Europe,Malta,Europe - Western,Europe,Europe
Asia Pacific,Asia Pacific,Marshall Islands,Asia Pacific,Asia Pacific,Asia Pac - Medium
Latin America,Latin America,Martinique,Latin America and Caribbean,Latin America,Latin America
Africa,Africa - Central,Mauritania,Africa,Africa - Central,Africa
Africa,Africa - Central,Mauritius,Africa,Africa - Central,Africa
Africa,Africa - Central,Mayotte,Africa,Africa - Central,Africa
