Country,Region Mapped,Major Loss Airline Pax Liab Severity per Seat
Africa - North,Latin America,356621.080464768
Africa - South,Latin America,343475.868039224
Africa - Central,Africa,356621.080464768
Africa - Eritrea,Africa High Risk,356621.080464768
Africa - Sudan,Africa High Risk,356621.080464768
Asia Pacific,Asia Pacific,441969.123604936
Asia Pacific - Japan,North America,720771.597632833
Asia Pacific - South Korea,Europe,441969.123604936
Asia Pacific - Nepal,Africa,356621.080464768
Asia Pacific - Papua & Indo,Africa,356621.080464768
Europe,Europe,875439.61387078
Europe - Russia,Africa,272730.696698695
International,International,469370.955762464
Australia,Australia,516308.051338711
Latin America,Latin America,420224.802909954
Middle East,Middle East,489991.503005732
Middle East - Iraq & Afghan,Africa,356621.080464768
North America,North America,1650458.39928137
North America - Canada,Asia Pacific,391518.342426091
