Operator,Mapped TLO Group
American Airlines,A
Delta Air Lines,A
Southwest Airlines,A
United Airlines,A
Lufthansa,A
British Airways,A
Emirates Airline,A
SkyWest Airlines,B
Air France,A
China Eastern Airlines,A
Ryanair,A
Turkish Airlines,B
China Southern Airlines,A
Air Canada,A
JetBlue Airways,A
Qatar Airways,B
Air China,A
FedEx,B
US Airways,B
Cathay Pacific,A
EasyJet,A
Envoy Air,A
ExpressJet Airlines,A
Korean Air,A
Alaska Airlines,A
Continental Airlines,A
Qantas,A
KLM Royal Dutch Airlines,A
LATAM Airlines Brazil,A
UPS Airlines,D
Saudia,D
Endeavor Air,B
GOL,B
Singapore Airlines,B
SAS,B
Hainan Airlines,B
Etihad Airways,B
Iberia,B
WestJet,B
IndiGo,B
Japan Airlines,B
Republic Airways,B
Thai Airways International,B
Xiamen Airlines,C
China Airlines,B
Aeroflot Russian Airlines,F
Shenzhen Airlines,B
Asiana Airlines,E
Jet Airways,D
Mesa Airlines,B
Air India,B
Garuda Indonesia,B
Spirit Airlines,B
Northwest Airlines,B
ANA,B
ExpressJet Airlines (1st),B
Shandong Airlines,B
Aeromexico,B
Copa Airlines,B
Frontier Airlines,B
EVA Air,B
TAP Air Portugal,B
SWISS,B
LATAM Airlines Chile,B
airberlin,B
Alitalia,B
Virgin Australia,B
Ethiopian Airlines,E
PSA Airlines,C
Wizz Air,C
Azul,C
Finnair,C
S7 Airlines,C
AirTran Airways,C
Lion Air,E
Air New Zealand,C
TUI UK,C
Vueling Airlines,C
Virgin Atlantic Airways,C
Avianca,C
South African Airways,C
Malaysia Airlines,F
Volaris,C
Air Wisconsin,C
Spring Airlines,C
Austrian,C
Royal Air Maroc,C
Condor,C
Norwegian,C
Aeromexico Connect,C
Lufthansa CityLine,C
Air Europa,C
Sichuan Airlines,C
Allegiant Air,D
Aer Lingus,D
Aerolineas Argentinas,D
Brussels Airlines,D
Jetstar,D
Jazz,D
Hawaiian Airlines,D
AirAsia,D
Comair (USA),D
China Eastern Airlines Jiangsu,D
China Eastern Airlines Yunnan,D
Juneyao Air,D
Chautauqua Airlines,D
Egyptair,F
Shuttle America,D
LOT Polish Airlines,D
Pegasus,F
Vietnam Airlines,D
Cathay Dragon,D
Pakistan International Airlines,G
SpiceJet,D
Atlas Air,D
Utair,G
KLM Cityhopper,D
Interjet,D
Ural Airlines,D
Kenya Airways,F
Jet2.com,D
Tianjin Airlines,D
Gulf Air,D
El Al,D
Air Arabia,D
Rossiya Airlines,E
Transaero Airlines,E
Philippine Airlines,E
Air Nostrum,E
Transavia Airlines,E
SunExpress,E
Air Algerie,E
Shanghai Airlines,E
Alitalia (1),E
Cargolux,E
Compass Airlines,E
Aegean Airlines,E
Sunwing Airlines,E
Air Transat,E
Royal Jordanian,E
Thomas Cook Airlines,E
Trans States Airlines,E
Eurowings,E
TUIfly,E
GoJet Airlines,E
Germanwings,E
Lufthansa Cargo,F
Mexicana,F
Ukraine International Airlines,F
Czech Airlines,F
Virgin America,F
EasyJet Europe,F
SriLankan Airlines,F
Tunisair,F
Air France HOP,F
Monarch Airlines,F
Kuwait Airways,F
Air Astana,F
Icelandair,F
Sun Country Airlines,F
Sriwijaya Air,G
LATAM Airlines Peru,F
Mahan Air,F
Air India Express,G
Air Canada Rouge,F
Go First,F
Oman Air,F
Avianca El Salvador,F
GECAS,F
SF Airlines,F
Anadolu Jet,F
EasyJet Switzerland,F
Cebu Pacific Air,F
America West Airlines,F
Jeju Air,F
China United Airlines,F
Bangkok Airways,F
Kingfisher Airlines,F
Skymark Airlines,F
TUI fly Belgium,F
ABX Air,F
Wings Air,G
Flynas,F
TAROM,F
Sunclass Airlines,F
Spanair,F
Capital Airlines,F
Portugalia Airlines,F
J-Air,F
Austral Lineas Aereas,F
Avianca Brazil,G
HOP!-Regional,G
Martinair CARGO,G
CommutAir,G
Iran Air,G
Middle East Airlines,G
Air Bridge Cargo,G
Airlink,G
Transavia France,G
China Express Airlines,G
Kalitta Air,G
AerCap,G
Nordic Regional Airlines,G
Uzbekistan Airways,G
Tyrolean Airways,G
Polar Air Cargo,G
SilkAir,G
Onur Air,G
Thai AirAsia,G
Virgin Australia International,G
Ted,G
Indonesia AirAsia,G
Air Macau,G
European Air Transport,G
ASL Airlines Belgium,G
Nordwind Airlines,G
airBaltic,G
Lucky Air,G
Air Mauritius,G
Caribbean Airlines,G
Singapore Airlines Cargo,G
Norwegian Air International,G
TRIP,G
Mesaba Airlines,G
Nippon Cargo Airlines,G
Globus,G
Air China Cargo,G
Air Serbia,G
Swiss Global Air Lines,G
Batavia Air,G
China Postal Airlines,G
LATAM Airlines Argentina,G
Scoot,G
China Eastern Airlines Wuhan,G
Cobham Avn Services Australia-Airline Services,G
bmi - British Midland International,G
Belavia,G
Flybe (1),G
AeroLogic,G
Aeromar Airlines,G
HOP! Brit Air,G
Jet Midwest,G
Atlasglobal,G
Air Dolomiti,G
Volotea,G
Biman Bangladesh Airlines,G
Boeing Capital Corp,G
Niki,G
BA CityFlyer,G
flydubai,G
Philippines AirAsia,G
Aviation Capital Group,G
DHL Air (UK),G
Comair (South Africa),G
Blue Air,G
Horizon Air,G
Air Italy,G
TUI Airlines Nederland,G
AirAsia X,G
Azerbaijan Airlines,G
ATA Airlines,G
Orenair,G
CityJet,G
Air Malta,G
Royal Brunei Airlines,G
Azur Air Russia,G
Malev,G
Sky Airline,G
Mount Cook Airline,G
Piedmont Airlines,G
Edelweiss Air,G
Iberia Express,G
Olympic Airlines,G
Smartwings,G
Iran Aseman Airlines,G
Avianca Costa Rica,G
Virgin Australia Regional Airlines,G
NordStar,G
Alliance Airlines,G
Alitalia Cityliner,G
LTU,G
Enter Air,G
China Xinhua Airlines,G
Orient Thai Airlines,G
Executive Airlines,G
TUIFly Nordic,G
Neos,G
VivaAerobus,G
Sky Regional Airlines,G
First Air,G
Donghai Airlines,G
Germania,G
Merpati,G
Air Do,G
JetLite,G
Japan TransOcean Air,G
Tigerair Australia,G
Stobart Air,G
Binter Canarias,G
Luxair,G
Nordic Aviation Capital,G
flybmi,G
Satena,G
Bulgaria Air,G
Blue Panorama Airlines,G
Smartavia,G
Air Busan,G
ASL Airlines Ireland,G
Amazon Air,G
AerSale,G
LATAM Airlines Colombia,G
TransAsia Airways,G
Yamal Airlines,G
Air Caraibes,G
FireFly,G
Kulula,G
Aviacsa,G
Thai Smile,G
Aigle Azur,G
Midwest Airlines,G
Jetran,G
VIM Airlines,G
LATAM Cargo Chile,G
Chongqing Airlines,G
Air Niugini,G
Swiftair,G
Nouvelair,G
SunExpress Germany,G
Corsair,G
SCAT,G
Cargojet Airways,G
Adria Airways,G
Alliance Air,G
Southern Air,G
Eastar Jet,G
BoA,G
Nok Air,G
Afriqiyah Airways,G
Jin Air,G
UNI Air,G
Copa Airlines Colombia,G
Skyservice Airlines,G
SA Express,G
Easyfly,G
Mango,G
Chengdu Airlines,G
Fiji Airways,G
ATI - Air Transport International,G
Airblue,G
Avianca Ecuador,G
Mandarin Airlines,G
Air One,G
TAME,G
Regional One,G
JetConnect,G
Iraqi Airways,G
Far Eastern Air Transport,G
Hebei Airlines,G
Citilink Indonesia,G
Indian Airlines,G
ANA Wings,G
Undisclosed Bank / Broker / Lessor,G
StarFlyer,G
Air Nippon,G
Virgin Australia (New Zealand),G
Jet time,G
bmibaby,G
Air Corsica,G
Cyprus Airways (1),G
Yakutia Airlines,G
World Airways (1),G
Air Tahiti,G
Freebird Airlines,G
Rusline,G
LASER,G
Syrianair,G
Air Japan,G
Eastern Airways,G
Western Global,G
Aurora,G
Croatia Airlines,G
iAero Airways,G
VoePass,G
JetKonnect,G
Avmax Aircraft Leasing,G
Conviasa,G
Canjet Airlines,G
MASwings,G
Zagros Airlines,G
Corendon Airlines,G
SAS Norge,G
Jetstar Asia,G
EG&G Special Projects,G
Fuji Dream Airlines,G
T'way Air,G
XL Airways France,G
Omni Air International,G
Azores Airlines,G
Webjet,G
Precision Air,G
Air Hong Kong,G
Shaheen Air International,G
Network Aviation,G
Air Tahiti Nui,G
First Choice Airways,G
IBEX Airlines,G
West Atlantic,G
Express Air,G
Air India (1),G
Blue1,G
Cimber Sterling,G
Aerosvit Airlines,G
GX Airlines,G
AirAsia (India),G
China Cargo Airlines,G
MexicanaClick,G
HOP! Airlinair,G
Safair,G
VietJet Air,G
Air Changan,G
Carlyle Aviation Partners,G
IrAero,G
HapagFly,G
VARIG,G
Deccan,G
BBAM,G
Calm Air,G
ILFC,G
United States Air Force,G
