AirplaneUse,Seat Occupancy,Fatality %
Aerial Survey / Calibration,0.745924379,0.916666667
Agricultural,0.46054877,0.568345324
Cargo,0.338762553,0.568345324
Commercial,1.082751262,0.704883227
EMS / S&R,0.872317313,0.793814433
Fire Fighting,0.46054877,0.568345324
Government / Military Use / Police,0.864930949,0.833128834
Offshore,1,0.697916667
Other,1,0.568345324
Private / Industrial Aid,1,0.810869565
Training - Experienced,1.082751262,0.636363636
Training - Schools,1.082751262,0.636363636
Utility,0.46054877,0.655319149
