Quarter,Aviation Hull,Aviation Liab
1,0.022877962,0.000501835
2,0.116216269,0.039719662
3,0.257927272,0.17907399
4,0.428269064,0.463836113
5,0.591271634,0.685530809
6,0.725903075,0.810691066
7,0.827075676,0.885480026
8,0.898644638,0.929284303
9,0.936513568,0.955197302
10,0.961973773,0.970863123
11,0.979363872,0.980577599
12,0.991450772,0.986757757
13,1,0.990786397
14,1,0.993472605
15,1,0.995301304
16,1,0.996570112
17,1,0.997465868
18,1,0.998108381
19,1,0.998576005
20,1,0.998920927
21,1,0.999178497
22,1,0.999373039
23,1,0.999521534
24,1,0.999635994
25,1,0.999725027
26,1,0.999794874
27,1,0.999850105
28,1,0.999894105
29,1,0.999929403
30,1,0.999957908
31,1,0.99998107
32,1,1
33,1,1
34,1,1
35,1,1
