Cirium Primary Usage,GA Mapped Primary Usage
Aerial work - other,Utility
Air Launch Platform,Other
Airborne Mine Countermeasures (AMCM),Other
Animal control,Agricultural
ASW / MPA / Surveillance / Recce / Patrol,Aerial Survey / Calibration
Attack - Dedicated Attack,Other
Attack - Light Armed,Other
AWACS / AEW&C / AEW / CAEW,Aerial Survey / Calibration
Business / Corporate / Executive,Private / Industrial Aid
Combi / Mixed (Passenger/Cargo),Commercial
Company Demonstrator,Other
Crop Dusting / Agricultural Spraying / Seeding,Agricultural
Crop Dusting/Spreadg/Spraying,Agricultural
CSAR - Combat Search & Rescue,Other
Domestic,Other
Domestic cargo,Cargo
Domestic demonstration,Other
Domestic ferry,Other
Domestic non-revenue flight,Private / Industrial Aid
Domestic non-scheduled cargo,Cargo
Domestic non-scheduled pass.,Commercial
Domestic other,Other
Domestic private/business,Private / Industrial Aid
Domestic scheduled cargo,Cargo
Domestic scheduled passenger,Commercial
Domestic test,Other
Domestic training,Training - Schools
EW / ELINT / SIGINT / ECM / ISR / Recce & Surv.,Aerial Survey / Calibration
Experimental / R&D / Prototype / Mfr-Design Bureau,Other
External load,Utility
Fire Fighting (Utility Role),Fire Fighting
Fire supprssn.(water bombing),Fire Fighting
Freight / Cargo,Cargo
Heavy-Lift Ops / Under Slung Loads / Logging,Utility
Instructional Airframe,Other
International,Other
International demonstration,Other
Int'l. ferry,Other
Int'l. non-scheduled cargo,Cargo
Int'l. non-scheduled pass.,Commercial
Int'l. other,Other
Int'l. private/business,Private / Industrial Aid
Int'l. scheduled cargo,Cargo
Int'l. scheduled passenger,Commercial
Int'l. training,Training - Schools
Liaison & Communications / Light Transport,Government / Military Use / Police
Medevac / Air Ambulance / EMS / Airborne Hospital,EMS / S&R
Medical,EMS / S&R
Military Observation/Scout/LUH,Government / Military Use / Police
Navaid / Calibrator / Flight Inspection,Aerial Survey / Calibration
NAVAID callibration,Aerial Survey / Calibration
News Media / Camera Equipped,Commercial
Non-Operational,Other
Not known,Other
Off-Shore / Oil & Gas Support,Offshore
Parachuting,Other
Passenger,Commercial
Personnel positioning to site,Private / Industrial Aid
Police Air Support / Law Enforcement / Border Pat,Government / Military Use / Police
Private Use,Private / Industrial Aid
Quick-Change/Convertible (Passenger/Cargo),Other
Rescue,EMS / S&R
Scheduled passenger,Commercial
Search & Rescue / Coast Guard,EMS / S&R
Sightseeing / Tourist,Commercial
Skydiving / Parachuting,Other
Space Programs / Satellite Tracker,Other
Special Role / Operations / Mission,Government / Military Use / Police
"Survey / patrol, photographic",Aerial Survey / Calibration
Surveying / Mapping & Geo Survey,Aerial Survey / Calibration
Tanker / Tanker - Transport,Fire Fighting
Target/banner towing,Utility
Trainer / Training School Aircraft,Training - Schools
UAV / UAS,Other
Unlawful flight,Other
Utility (Civil Multi-Role),Utility
Utility Transport (Military Multi-Role),Government / Military Use / Police
VIP / Head of State / Government operated,Private / Industrial Aid
Water-Bomber / Chemical Spray,Fire Fighting
Weather / Atmospheric / Environmental Research,Aerial Survey / Calibration
Business - Air Taxi/Air Charter,Private / Industrial Aid
Business - Private Company Use,Private / Industrial Aid
Military Multi-Role (Utility Transport),Government / Military Use / Police
Naval Multi-Role,Government / Military Use / Police
Surveying / Mapping & Power/Pipeline Inspection,Aerial Survey / Calibration
Target Towing,Utility
Trainer - Military,Training - Schools
Weather / Atmospheric / Geo & Environmental,Aerial Survey / Calibration
Spares Use / Parts Reclamation,Other
Off-Shore - Wind Farm / Other Support,Offshore
Reconnaissance,Government / Military Use / Police
Close Air Support,Government / Military Use / Police
