"Path","Name","Type","Mode","Optionality","Label","Default Value"
"hx_core/inception_date","inception_date","date","input","required","Inception Date","2018-01-01"
"hx_core/expiry_date","expiry_date","date","input","required","Expiry Date","2018-12-31"
"hx_core/model_premium","model_premium","float","output","n/a","Model Premium","n/a"
"hx_core/charged_premium","charged_premium","float","output","n/a","Charged Premium","n/a"
"hx_core/premium_currency","premium_currency","str","output","n/a","Premium Currency","n/a"
"hx_core/ulr","ulr","float","output","n/a","ULR","n/a"
"hx_core/class_code","class_code","str","output","n/a","Class Code","n/a"
"hx_core","hx_core","structure","n/a","n/a","n/a","n/a"
"cds/key_industry/code_type","code_type","str","input","optional","Industry Code Type","None"
"cds/key_industry/code","code","str","input","optional","Industry Code","None"
"cds/key_industry/code_name","code_name","str","input","optional","Industry Code Name","None"
"cds/key_industry","key_industry","structure","n/a","n/a","n/a","n/a"
"cds/exposure/aggregate/average_build_year","average_build_year","float","output","n/a","Average Build Year","n/a"
"cds/exposure/aggregate/exposure","exposure","float","input","required","Exposure","0"
"cds/exposure/aggregate","aggregate","structure","n/a","n/a","n/a","n/a"
"cds/exposure/granular/vessels/vessels_defaults/hull/inception_date","inception_date","date","override","n/a","Inception Date","n/a"
"cds/exposure/granular/vessels/vessels_defaults/hull/expiry_date","expiry_date","date","override","n/a","Expiry Date","n/a"
"cds/exposure/granular/vessels/vessels_defaults/hull/freight_conditions","freight_conditions","str","input","optional","Freight Conditions","Average"
"cds/exposure/granular/vessels/vessels_defaults/hull/vessel_quality","vessel_quality","str","input","optional","Vessel/Mach. Quality","Average"
"cds/exposure/granular/vessels/vessels_defaults/hull/area_of_operation","area_of_operation","str","input","optional","Area of Operation","Average"
"cds/exposure/granular/vessels/vessels_defaults/hull/coverage","coverage","str","input","optional","Coverage","None"
"cds/exposure/granular/vessels/vessels_defaults/hull/deductible","deductible","float","input","optional","Deductible","None"
"cds/exposure/granular/vessels/vessels_defaults/hull/order_percent","order_percent","float","input","optional","Order","1"
"cds/exposure/granular/vessels/vessels_defaults/hull","hull","structure","n/a","n/a","n/a","n/a"
