vessel_type,age_lower_bound,age_upper_bound,net_achieved_prem_adj_to_full_coverage,sum_of_agreed_value,count_of_identifier,achieved_rate
Anchor Handling Fire Fighting Tug - XAG,9,14,131806.665579200000000000000000,25000000,4,0.005272266623168000000000
Anchor Handling Salvage Tug - XAA,40,44,94810.905000000000000000000000,2250000,2,0.042138180000000000000000
Anchor Handling Tug - XAT,0,1,50828.205625000000000000000000,10308742,6,0.004930592464628560000000
Anchor Handling Tug - XAT,15,19,181001.349481206000000000000000,24110000,11,0.007507314370850520000000
Anchor Handling Tug - XAT,2,4,453163.465395000000000000000000,95931653,24,0.004723815875402460000000
Anchor Handling Tug - XAT,20,24,10103.322879312000000000000000,485814,3,0.020796689431165000000000
Anchor Handling Tug - XAT,30,999,4093.400000000000000000000000,650000,3,0.006297538461538460000000
Anchor Handling Tug - XAT,35,39,12366.236895130300000000000000,496538.129155000000000000000000,2,0.024904908946619900000000
Anchor Handling Tug - XAT,40,44,9501,250000,2,0.038004000000000000000000
Anchor Handling Tug - XAT,45,49,5787.750000000000000000000000,93750,1,0.061736000000000000000000
Anchor Handling Tug - XAT,5,8,1195458.476220440000000000000000,354222187.661630000000000000000000,27,0.003374883104054440000000
Anchor Handling Tug - XAT,9,14,3342243.713598950000000000000000,798217049.004455000000000000000000,98,0.004187136465911670000000
Anchor Handling Tug/Supply - XAH,0,1,27817.864699536300000000000000,9192682.003807000000000000000000,1,0.003026088000000000000000
Anchor Handling Tug/Supply - XAH,15,19,744443.154052160000000000000000,71683808.422813000000000000000000,23,0.010385094910990300000000
Anchor Handling Tug/Supply - XAH,2,4,2666632.811160990000000000000000,696033600.893831000000000000000000,21,0.003831184022921540000000
Anchor Handling Tug/Supply - XAH,20,24,6215.667500000000000000000000,350000,1,0.017759050000000000000000
Anchor Handling Tug/Supply - XAH,25,29,86231.250000000000000000000000,4500000,1,0.019162500000000000000000
Anchor Handling Tug/Supply - XAH,30,999,162358.875000000000000000000000,2500000,2,0.064943550000000000000000
Anchor Handling Tug/Supply - XAH,35,39,21080,2000000,2,0.010540000000000000000000
Anchor Handling Tug/Supply - XAH,45,49,8222.953125000000000000000000,375000,1,0.021927875000000000000000
Anchor Handling Tug/Supply - XAH,5,8,7822922.168890400000000000000000,2032132524.609950000000000000000000,116,0.003849612204987430000000
Anchor Handling Tug/Supply - XAH,9,14,4161194.717607890000000000000000,1077779440.919550000000000000000000,167,0.003860896357475140000000
Asphalt Tanker - TAS,0,1,115867.165290000000000000000000,61400000,2,0.001887087382573290000000
Asphalt Tanker - TAS,15,19,301624.480000000000000000000000,27700000,4,0.010888970397111900000000
Asphalt Tanker - TAS,2,4,323322.047362522000000000000000,127994667,6,0.002526058740888960000000
Asphalt Tanker - TAS,20,24,54390.400000000000000000000000,4000000,1,0.013597600000000000000000
Asphalt Tanker - TAS,25,29,73490.560000000000000000000000,10400000,1,0.007066400000000000000000
Asphalt Tanker - TAS,5,8,697690.221750120000000000000000,119144667,8,0.005855824178434440000000
Asphalt Tanker - TAS,9,14,1161830.679500000000000000000000,144200000,18,0.008057078221220530000000
Barge - OBA,0,1,13504872.032385500000000000000000,1247127709.588180000000000000000000,73,0.010828780347479400000000
Barge - OBA,15,19,2895845.440109180000000000000000,1013861455.406900000000000000000000,159,0.002856253608089850000000
Barge - OBA,2,4,15186167.992636900000000000000000,1841946921.358010000000000000000000,177,0.008244628450770240000000
Barge - OBA,20,24,969452.842763506000000000000000,353589901.395262000000000000000000,86,0.002741743581867170000000
Barge - OBA,25,29,562341.057937325000000000000000,99192081.601762000000000000000000,55,0.005669213195817600000000
Barge - OBA,30,999,1659096.932569810000000000000000,264765355.886932000000000000000000,30,0.006266291626455560000000
Barge - OBA,35,39,1009274.275261060000000000000000,154346428.018017000000000000000000,42,0.006539019323098580000000
Barge - OBA,40,44,533986.996722954000000000000000,180710786.034829000000000000000000,85,0.002954925981120110000000
Barge - OBA,45,49,157457.537093802000000000000000,70940678,27,0.002219566284576560000000
Barge - OBA,5,8,14510475.912518400000000000000000,3098356297.595970000000000000000000,475,0.004683281882002120000000
Barge - OBA,50,999,188697.035565850000000000000000,11292874.761889000000000000000000,27,0.016709388844252600000000
Barge - OBA,9,14,16575169.329160800000000000000000,3860143736.580500000000000000000000,765,0.004293925423576020000000
Bulk Carrier - BBU,0,1,4377064.280169650000000000000000,2898935543,112,0.001509886720571920000000
Bulk Carrier - BBU,15,19,13262788.217895100000000000000000,1936343581.797490000000000000000000,226,0.006849398186650010000000
Bulk Carrier - BBU,2,4,14691973.951928500000000000000000,8473597725.221020000000000000000000,349,0.001733853131615970000000
Bulk Carrier - BBU,20,24,9743653.836901980000000000000000,1133065253.947880000000000000000000,128,0.008599375722583220000000
