vessel_type,age_lower_bound,age_upper_bound,dwt_lower_bound,dwt_upper_bound,net_achieved_prem_adj_to_full_coverage,sum_of_agreed_value,count_of_identifier,achieved_rate
Anchor Handling Fire Fighting Tug - XAG,9,14,1001,2500,131806.6655792000,25000000,4,0.005272266623168000000000
Anchor Handling Salvage Tug - XAA,40,44,0,1000,94810.905000,2250000,2,0.042138180
Anchor Handling Tug - XAT,0,1,0,1000,29714.776000,1061242,5,0.028000000
Anchor Handling Tug - XAT,0,1,1001,2500,21113.429625,9247500,1,0.002283150
Anchor Handling Tug - XAT,15,19,0,1000,96798.348750,17250000,8,0.005611498478260870000000
Anchor Handling Tug - XAT,15,19,1001,2500,84203.0007312060,6860000,3,0.012274489902508200000000
Anchor Handling Tug - XAT,2,4,0,1000,106850.560000,9572528,16,0.011162209188628100000000
Anchor Handling Tug - XAT,2,4,1001,2500,97733.029625,25247500,3,0.003870998301812060000000
Anchor Handling Tug - XAT,2,4,2501,5000,248579.875770,61111625,5,0.004067636489293160000000
Anchor Handling Tug - XAT,20,24,0,1000,10103.3228793120,485814,3,0.020796689431165000000000
Anchor Handling Tug - XAT,30,999,0,1000,4093.400000,650000,3,0.006297538461538460000000
Anchor Handling Tug - XAT,35,39,0,1000,12366.2368951303,496538.129155,2,0.024904908946619900000000
Anchor Handling Tug - XAT,40,44,0,1000,9501,250000,2,0.038004000
Anchor Handling Tug - XAT,45,49,0,1000,5787.750000,93750,1,0.061736000
Anchor Handling Tug - XAT,5,8,0,1000,202433.7905973500,40756356.700000,10,0.004966925578933050000000
Anchor Handling Tug - XAT,5,8,1001,2500,89069.7822646251,34081794.880000,4,0.002613412309364420000000
Anchor Handling Tug - XAT,5,8,2501,5000,751240.4961284630,221284036.081630,11,0.003394915012537720000000
Anchor Handling Tug - XAT,5,8,5001,7500,152714.407230,58100000,2,0.002628475167469880000000
Anchor Handling Tug - XAT,9,14,0,1000,616725.0588828260,116637018.928429,44,0.005287558483137000000000
Anchor Handling Tug - XAT,9,14,1001,2500,844185.9526167920,230214008.509232,31,0.003666961702649550000000
Anchor Handling Tug - XAT,9,14,2501,5000,1827649.0275368400,435734771.566794,21,0.004194407118268450000000
Anchor Handling Tug - XAT,9,14,35001,50000,53683.6745625000,15631250,2,0.003434381419432230000000
Anchor Handling Tug/Supply - XAH,0,1,2501,5000,27817.8646995363,9192682.003807,1,0.003026088000
Anchor Handling Tug/Supply - XAH,15,19,1001,2500,744443.1540521600,71683808.422813,23,0.010385094910990300000000
Anchor Handling Tug/Supply - XAH,2,4,0,1000,50258.756640,12446250,4,0.004038064207291350000000
Anchor Handling Tug/Supply - XAH,2,4,1001,2500,227901.0726009900,67367350.893831,7,0.003382960285319160000000
Anchor Handling Tug/Supply - XAH,2,4,2501,5000,2115331.981920,496220000,9,0.004262891422997860000000
Anchor Handling Tug/Supply - XAH,2,4,7501,10000,273141,120000000,1,0.002276175000
Anchor Handling Tug/Supply - XAH,20,24,0,1000,6215.667500,350000,1,0.017759050
Anchor Handling Tug/Supply - XAH,25,29,2501,5000,86231.250000,4500000,1,0.019162500
Anchor Handling Tug/Supply - XAH,30,999,2501,5000,162358.875000,2500000,2,0.064943550
Anchor Handling Tug/Supply - XAH,35,39,0,1000,21080,2000000,2,0.010540000
Anchor Handling Tug/Supply - XAH,45,49,0,1000,8222.953125,375000,1,0.021927875000
Anchor Handling Tug/Supply - XAH,5,8,0,1000,476123.8565959000,51259798.534820,13,0.009288445725600660000000
Anchor Handling Tug/Supply - XAH,5,8,1001,2500,4465412.2968101200,934169126.075132,61,0.004780089784781630000000
Anchor Handling Tug/Supply - XAH,5,8,2501,5000,1082013.4573243800,365338000,22,0.002961677836207510000000
Anchor Handling Tug/Supply - XAH,5,8,5001,7500,1526231.558160,561365600,19,0.002718783548831630000000
Anchor Handling Tug/Supply - XAH,5,8,7501,10000,273141,120000000,1,0.002276175000
Anchor Handling Tug/Supply - XAH,9,14,0,1000,280870.9732319970,56226034.416689,23,0.004995390056330010000000
Anchor Handling Tug/Supply - XAH,9,14,1001,2500,2622537.6891018400,489689504.502862,117,0.005355511329090600000000
Anchor Handling Tug/Supply - XAH,9,14,15001,20000,77121,61500000,2,0.001254000
Anchor Handling Tug/Supply - XAH,9,14,2501,5000,1180665.0552740500,470363902,25,0.002510109832522930000000
Asphalt Tanker - TAS,0,1,35001,50000,115867.165290,61400000,2,0.001887087382573290000000
Asphalt Tanker - TAS,15,19,1001,2500,43470.080000,4000000,1,0.010867520
Asphalt Tanker - TAS,15,19,2501,5000,59873.280000,6400000,1,0.009355200
Asphalt Tanker - TAS,15,19,5001,7500,62699.520000,9600000,1,0.006531200
Asphalt Tanker - TAS,15,19,7501,10000,135581.600000,7700000,1,0.017608000
Asphalt Tanker - TAS,2,4,10001,15000,82320.896000,22400000,1,0.003675040
Asphalt Tanker - TAS,2,4,2501,5000,19135.287520,11728000,1,0.001631590
Asphalt Tanker - TAS,2,4,35001,50000,172098.8638425220,83866667,3,0.002052053217311250000000
Asphalt Tanker - TAS,2,4,7501,10000,49767,10000000,1,0.004976700
Asphalt Tanker - TAS,20,24,2501,5000,54390.400000,4000000,1,0.013597600
Asphalt Tanker - TAS,25,29,1001,2500,73490.560000,10400000,1,0.007066400
Asphalt Tanker - TAS,5,8,10001,15000,366851.450000,32900000,2,0.011150500
Asphalt Tanker - TAS,5,8,2501,5000,112007.424000,24128000,2,0.004642217506631300000000
Asphalt Tanker - TAS,5,8,35001,50000,60164.5077501201,22916667,1,0.002625360300
Asphalt Tanker - TAS,5,8,5001,7500,88435.800000,21600000,2,0.004094250
Asphalt Tanker - TAS,5,8,7501,10000,70231.040000,17600000,1,0.003990400
Asphalt Tanker - TAS,9,14,10001,15000,58182.075000,11900000,1,0.004889250
Asphalt Tanker - TAS,9,14,2501,5000,77531.520000,9900000,2,0.007831466666666670000000
