parameter,value
HullStaticModelBaseFreq,0.0475
HullBehaviouralModelBaseFreq,0.04460385
HullModelSevIntercept,88.40550305
HullModelSevYearBuilt,-0.041047389
HullModelSevAgreedValue,-0.572061646
HullBehaviouralModelMaxDistanceRatio,0
HullBehaviouralModelNumUniquePortVisits,0
HullBehaviouralModelPercTimeEEZ,0
HullBehaviouralModelRatioMoving,0
HullBehaviouralModelRatioMoored,0.485293858
LargeBR,465.410551981523
MBBDFDHullParam,3.3
NonModelledPerilsLoad,0.041408112
MBBDFDShipbuildingParam,3.33
LOHBaseRateBrokerage,0.2
