fleet_size,smoothed_factor
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,0.881751368
12,0.881751368
13,0.881751368
14,0.881751368
15,0.881751368
16,0.881751368
17,0.881751368
18,0.881751368
19,0.881751368
20,0.881751368
21,0.881751368
22,0.881751368
23,0.881751368
24,0.881751368
25,0.881751368
26,0.881751368
27,0.881751368
28,0.881751368
29,0.881751368
30,0.881751368
31,0.881751368
32,0.881751368
33,0.881751368
34,0.881751368
35,0.881751368
36,0.881751368
37,0.881751368
38,0.881751368
39,0.881751368
40,0.881751368
41,0.881751368
42,0.881751368
43,0.881751368
44,0.881751368
45,0.881751368
46,0.881751368
47,0.881751368
48,0.881751368
49,0.881751368
50,0.881751368
51,0.881751368
52,0.881751368
53,0.881751368
54,0.881751368
55,0.881751368
56,0.881751368
57,0.881751368
58,0.881751368
59,0.881751368
60,0.881751368
61,0.881751368
62,0.881751368
63,0.881751368
64,0.881751368
65,0.881751368
66,0.881751368
67,0.881751368
68,0.881751368
69,0.881751368
70,0.881751368
71,0.881751368
72,0.881751368
73,0.881751368
74,0.881751368
75,0.881751368
76,0.881751368
77,0.881751368
78,0.881751368
79,0.881751368
80,0.881751368
81,0.881751368
82,0.881751368
83,0.881751368
84,0.881751368
85,0.881751368
86,0.881751368
87,0.881751368
88,0.881751368
89,0.881751368
90,0.881751368
91,0.874925893
92,0.868100418
93,0.861274943
94,0.854449468
95,0.847623993
96,0.840798518
97,0.833973043
98,0.827147569
99,0.820322094
100,0.813496619
101,0.806671144
102,0.799845669
103,0.793020194
104,0.786194719
105,0.779369244
106,0.77254377
107,0.765718295
108,0.75889282
109,0.752067345
110,0.74524187
111,0.738416395
112,0.73159092
113,0.724765445
114,0.717939971
115,0.711114496
116,0.704289021
117,0.697463546
118,0.690638071
119,0.683812596
120,0.676987121
121,0.670161646
122,0.663336172
123,0.656510697
124,0.649685222
125,0.642859747
126,0.636034272
127,0.629208797
128,0.622383322
129,0.615557847
130,0.608732372
131,0.601906898
132,0.595081423
133,0.588255948
134,0.581430473
135,0.574604998
136,0.567779523
137,0.560954048
138,0.554128573
139,0.547303099
140,0.540477624
141,0.533652149
142,0.526826674
143,0.520001199
144,0.513175724
145,0.506350249
146,0.499524774
147,0.4926993
148,0.485873825
149,0.47904835
150,0.472222875
151,0.4653974
152,0.458571925
153,0.45174645
154,0.444920975
155,0.438095501
156,0.431270026
157,0.424444551
158,0.417619076
159,0.410793601
160,0.403968126
161,0.403968126
162,0.403968126
163,0.403968126
164,0.403968126
165,0.403968126
166,0.403968126
167,0.403968126
168,0.403968126
169,0.403968126
170,0.403968126
171,0.403968126
172,0.403968126
173,0.403968126
174,0.403968126
175,0.403968126
176,0.403968126
177,0.403968126
178,0.403968126
179,0.403968126
180,0.403968126
181,0.403968126
182,0.403968126
183,0.403968126
184,0.403968126
185,0.403968126
186,0.403968126
187,0.403968126
188,0.403968126
189,0.403968126
190,0.403968126
191,0.403968126
192,0.403968126
193,0.403968126
194,0.403968126
195,0.403968126
196,0.403968126
197,0.403968126
198,0.403968126
199,0.403968126
200,0.403968126
201,0.403968126
202,0.403968126
203,0.403968126
204,0.403968126
205,0.403968126
206,0.403968126
207,0.403968126
208,0.403968126
209,0.403968126
210,0.403968126
211,0.403968126
212,0.403968126
213,0.403968126
214,0.403968126
215,0.403968126
216,0.403968126
217,0.403968126
218,0.403968126
219,0.403968126
220,0.403968126
221,0.403968126
222,0.403968126
223,0.403968126
224,0.403968126
225,0.403968126
226,0.403968126
227,0.403968126
228,0.403968126
229,0.403968126
230,0.403968126
231,0.403968126
232,0.403968126
233,0.403968126
234,0.403968126
235,0.403968126
236,0.403968126
237,0.403968126
238,0.403968126
239,0.403968126
240,0.403968126
241,0.403968126
242,0.403968126
243,0.403968126
244,0.403968126
245,0.403968126
246,0.403968126
247,0.403968126
248,0.403968126
249,0.403968126
250,0.403968126
251,0.403968126
252,0.403968126
253,0.403968126
254,0.403968126
255,0.403968126
256,0.403968126
257,0.403968126
258,0.403968126
259,0.403968126
260,0.403968126
261,0.403968126
262,0.403968126
263,0.403968126
264,0.403968126
265,0.403968126
266,0.403968126
267,0.403968126
268,0.403968126
269,0.403968126
270,0.403968126
271,0.403968126
272,0.403968126
273,0.403968126
274,0.403968126
275,0.403968126
276,0.403968126
277,0.403968126
278,0.403968126
279,0.403968126
280,0.403968126
281,0.403968126
282,0.403968126
283,0.403968126
284,0.403968126
285,0.403968126
286,0.403968126
287,0.403968126
288,0.403968126
289,0.403968126
290,0.403968126
291,0.403968126
292,0.403968126
293,0.403968126
294,0.403968126
295,0.403968126
296,0.403968126
297,0.403968126
298,0.403968126
299,0.403968126
300,0.403968126
