lower_bound,upper_bound,lower_bound_factor,upper_bound_factor
0,500,1,1.163722711
500,1000,1.163722711,1.343344579
1000,1500,1.343344579,1.528105506
1500,2000,1.528105506,1.711951915
2000,2500,1.711951915,1.890590993
2500,3000,1.890590993,2.059998485
3000,3500,2.059998485,2.216639177
3500,4000,2.216639177,2.357639441
4000,4500,2.357639441,2.480901632
4500,5000,2.480901632,2.585157262
5000,5500,2.585157262,2.669962423
5500,6000,2.669962423,2.735644015
6000,6500,2.735644015,2.783208623
6500,7000,2.783208623,2.81422734
7000,7500,2.81422734,2.83070965
7500,8000,2.83070965,2.834978025
8000,8500,2.834978025,2.829552689
8500,9000,2.829552689,2.817053427
9000,9500,2.817053427,2.800122846
9500,10000,2.800122846,2.781373306
10000,10500,2.781373306,2.762936665
10500,11000,2.762936665,2.745214771
11000,11500,2.745214771,2.728183233
11500,12000,2.728183233,2.711818479
12000,12500,2.711818479,2.696097721
12500,13000,2.696097721,2.680998907
13000,13500,2.680998907,2.666500685
13500,14000,2.666500685,2.652582368
14000,14500,2.652582368,2.639223895
14500,15000,2.639223895,2.626405801
15000,15500,2.626405801,2.614109182
15500,16000,2.614109182,2.602315668
16000,16500,2.602315668,2.591007391
16500,17000,2.591007391,2.58016696
17000,17500,2.58016696,2.569777433
17500,18000,2.569777433,2.559822291
18000,18500,2.559822291,2.550285419
18500,19000,2.550285419,2.541151077
19000,19500,2.541151077,2.532403884
19500,20000,2.532403884,2.524028794
20000,20500,2.524028794,2.516011077
20500,21000,2.516011077,2.5083363
21000,21500,2.5083363,2.500990312
21500,22000,2.500990312,2.493959223
22000,22500,2.493959223,2.487229392
22500,23000,2.487229392,2.480787408
23000,23500,2.480787408,2.474620079
23500,24000,2.474620079,2.468714415
24000,24500,2.468714415,2.463057619
24500,25000,2.463057619,2.45763707
25000,25500,2.45763707,2.452440315
25500,26000,2.452440315,2.447455057
26000,26500,2.447455057,2.442669144
26500,27000,2.442669144,2.438070561
27000,27500,2.438070561,2.433647418
27500,28000,2.433647418,2.429387946
28000,28500,2.429387946,2.425280485
28500,29000,2.425280485,2.421313477
29000,29500,2.421313477,2.417475464
29500,30000,2.417475464,2.413755075
30000,30500,2.413755075,2.410141026
30500,31000,2.410141026,2.40662211
31000,31500,2.40662211,2.403187198
31500,32000,2.403187198,2.39982523
32000,32500,2.39982523,2.396525213
32500,33000,2.396525213,2.393276221
33000,33500,2.393276221,2.390067386
33500,34000,2.390067386,2.386887903
34000,34500,2.386887903,2.383727023
34500,35000,2.383727023,2.380574056
35000,35500,2.380574056,2.377420135
35500,36000,2.377420135,2.37426351
36000,36500,2.37426351,2.371104205
36500,37000,2.371104205,2.367942243
37000,37500,2.367942243,2.364777648
37500,38000,2.364777648,2.361610442
38000,38500,2.361610442,2.358440649
38500,39000,2.358440649,2.355268292
39000,39500,2.355268292,2.352093396
39500,40000,2.352093396,2.348915982
40000,40500,2.348915982,2.345736074
40500,41000,2.345736074,2.342553696
41000,41500,2.342553696,2.339368871
41500,42000,2.339368871,2.336181622
42000,42500,2.336181622,2.332991972
42500,43000,2.332991972,2.329799944
43000,43500,2.329799944,2.326605561
43500,44000,2.326605561,2.323408848
44000,44500,2.323408848,2.320209826
44500,45000,2.320209826,2.317008519
45000,45500,2.317008519,2.31380495
45500,46000,2.31380495,2.310599143
46000,46500,2.310599143,2.307391119
46500,47000,2.307391119,2.304180903
47000,47500,2.304180903,2.300968517
47500,48000,2.300968517,2.297753984
48000,48500,2.297753984,2.294537328
48500,49000,2.294537328,2.291318571
49000,49500,2.291318571,2.288097736
49500,50000,2.288097736,2.284874846
50000,50500,2.284874846,2.281649924
50500,51000,2.281649924,2.278422993
51000,51500,2.278422993,2.275194075
51500,52000,2.275194075,2.271963195
52000,52500,2.271963195,2.268730373
52500,53000,2.268730373,2.265495634
53000,53500,2.265495634,2.262259
53500,54000,2.262259,2.259020494
54000,54500,2.259020494,2.255780138
54500,55000,2.255780138,2.252537955
55000,55500,2.252537955,2.249293968
55500,56000,2.249293968,2.2460482
56000,56500,2.2460482,2.242800673
56500,57000,2.242800673,2.23955141
57000,57500,2.23955141,2.236300433
57500,58000,2.236300433,2.233047765
58000,58500,2.233047765,2.229793428
58500,59000,2.229793428,2.226537446
59000,59500,2.226537446,2.22327984
59500,60000,2.22327984,2.220020633
60000,60500,2.220020633,2.216759847
60500,61000,2.216759847,2.213497506
61000,61500,2.213497506,2.21023363
61500,62000,2.21023363,2.206968243
62000,62500,2.206968243,2.203701367
62500,63000,2.203701367,2.200433024
63000,63500,2.200433024,2.197163237
63500,64000,2.197163237,2.193892028
64000,64500,2.193892028,2.190619418
64500,65000,2.190619418,2.187345431
65000,65500,2.187345431,2.184070088
65500,66000,2.184070088,2.180793412
66000,66500,2.180793412,2.177515424
66500,67000,2.177515424,2.174236147
67000,67500,2.174236147,2.170955603
67500,68000,2.170955603,2.167673814
68000,68500,2.167673814,2.164390802
68500,69000,2.164390802,2.161106588
69000,69500,2.161106588,2.157821196
69500,70000,2.157821196,2.154534646
70000,70500,2.154534646,2.15124696
70500,71000,2.15124696,2.147958161
71000,71500,2.147958161,2.144668271
71500,72000,2.144668271,2.14137731
72000,72500,2.14137731,2.138085301
72500,73000,2.138085301,2.134792266
73000,73500,2.134792266,2.131498226
73500,74000,2.131498226,2.128203204
74000,74500,2.128203204,2.124907219
74500,75000,2.124907219,2.121610295
75000,75500,2.121610295,2.118312453
75500,76000,2.118312453,2.115013714
76000,76500,2.115013714,2.1117141
76500,77000,2.1117141,2.108413632
77000,77500,2.108413632,2.105112333
77500,78000,2.105112333,2.101810222
78000,78500,2.101810222,2.098507322
78500,79000,2.098507322,2.095203654
79000,79500,2.095203654,2.091899239
79500,80000,2.091899239,2.088594099
80000,80500,2.088594099,2.085288254
80500,81000,2.085288254,2.081981727
81000,81500,2.081981727,2.078674538
81500,82000,2.078674538,2.075366708
82000,82500,2.075366708,2.072058259
82500,83000,2.072058259,2.068749211
83000,83500,2.068749211,2.065439586
83500,84000,2.065439586,2.062129404
84000,84500,2.062129404,2.058818687
84500,85000,2.058818687,2.055507456
85000,85500,2.055507456,2.052195731
85500,86000,2.052195731,2.048883533
86000,86500,2.048883533,2.045570884
86500,87000,2.045570884,2.042257803
87000,87500,2.042257803,2.038944312
87500,88000,2.038944312,2.035630431
88000,88500,2.035630431,2.032316182
88500,89000,2.032316182,2.029001584
89000,89500,2.029001584,2.025686659
89500,90000,2.025686659,2.022371427
90000,90500,2.022371427,2.019055908
90500,91000,2.019055908,2.015740123
91000,91500,2.015740123,2.012424092
91500,92000,2.012424092,2.009107836
92000,92500,2.009107836,2.005791376
92500,93000,2.005791376,2.002474731
93000,93500,2.002474731,1.999157922
93500,94000,1.999157922,1.99584097
94000,94500,1.99584097,1.992523893
94500,95000,1.992523893,1.989206713
95000,95500,1.989206713,1.985889451
95500,96000,1.985889451,1.982572124
96000,96500,1.982572124,1.979254755
96500,97000,1.979254755,1.975937363
97000,97500,1.975937363,1.972619968
97500,98000,1.972619968,1.96930259
98000,98500,1.96930259,1.965985248
98500,99000,1.965985248,1.962667964
99000,99500,1.962667964,1.959350756
99500,100000,1.959350756,1.956033644
100000,100500,1.956033644,1.952716648
100500,101000,1.952716648,1.949399789
101000,101500,1.949399789,1.946083085
101500,102000,1.946083085,1.942766555
102000,102500,1.942766555,1.939450221
102500,103000,1.939450221,1.936134101
103000,103500,1.936134101,1.932818215
103500,104000,1.932818215,1.929502582
104000,104500,1.929502582,1.926187222
104500,105000,1.926187222,1.922872153
105000,105500,1.922872153,1.919557396
105500,106000,1.919557396,1.91624297
106000,106500,1.91624297,1.912928894
106500,107000,1.912928894,1.909615187
107000,107500,1.909615187,1.906301869
107500,108000,1.906301869,1.902988957
108000,108500,1.902988957,1.899676473
108500,109000,1.899676473,1.896364434
109000,109500,1.896364434,1.89305286
109500,110000,1.89305286,1.889741769
110000,110500,1.889741769,1.88643118
110500,111000,1.88643118,1.883121113
111000,111500,1.883121113,1.879811586
111500,112000,1.879811586,1.876502619
112000,112500,1.876502619,1.873194228
112500,113000,1.873194228,1.869886434
113000,113500,1.869886434,1.866579256
113500,114000,1.866579256,1.86327271
114000,114500,1.86327271,1.859966817
114500,115000,1.859966817,1.856661595
115000,115500,1.856661595,1.853357062
115500,116000,1.853357062,1.850053236
116000,116500,1.850053236,1.846750137
116500,117000,1.846750137,1.843447781
117000,117500,1.843447781,1.840146189
117500,118000,1.840146189,1.836845377
118000,118500,1.836845377,1.833545364
118500,119000,1.833545364,1.830246168
119000,119500,1.830246168,1.826947808
119500,120000,1.826947808,1.823650301
120000,120500,1.823650301,1.820353665
120500,121000,1.820353665,1.817057919
121000,121500,1.817057919,1.813763079
121500,122000,1.813763079,1.810469166
122000,122500,1.810469166,1.807176195
122500,123000,1.807176195,1.803884184
123000,123500,1.803884184,1.800593152
123500,124000,1.800593152,1.797303117
124000,124500,1.797303117,1.794014095
124500,125000,1.794014095,1.790726105
125000,125500,1.790726105,1.787439163
125500,126000,1.787439163,1.784153288
126000,126500,1.784153288,1.780868497
126500,127000,1.780868497,1.777584807
127000,127500,1.777584807,1.774302236
127500,128000,1.774302236,1.771020801
128000,128500,1.771020801,1.767740519
128500,129000,1.767740519,1.764461408
129000,129500,1.764461408,1.761183484
129500,130000,1.761183484,1.757906765
130000,130500,1.757906765,1.754631268
130500,131000,1.754631268,1.751357009
131000,131500,1.751357009,1.748084007
131500,132000,1.748084007,1.744812277
132000,132500,1.744812277,1.741541837
132500,133000,1.741541837,1.738272703
133000,133500,1.738272703,1.735004893
133500,134000,1.735004893,1.731738422
134000,134500,1.731738422,1.728473308
134500,135000,1.728473308,1.725209568
135000,135500,1.725209568,1.721947217
135500,136000,1.721947217,1.718686273
136000,136500,1.718686273,1.715426751
136500,137000,1.715426751,1.712168669
137000,137500,1.712168669,1.708912042
137500,138000,1.708912042,1.705656888
138000,138500,1.705656888,1.702403222
138500,139000,1.702403222,1.699151061
139000,139500,1.699151061,1.69590042
139500,140000,1.69590042,1.692651316
140000,140500,1.692651316,1.689403765
140500,141000,1.689403765,1.686157784
141000,141500,1.686157784,1.682913387
141500,142000,1.682913387,1.679670591
142000,142500,1.679670591,1.676429412
142500,143000,1.676429412,1.673189866
143000,143500,1.673189866,1.669951968
143500,144000,1.669951968,1.666715735
144000,144500,1.666715735,1.663481181
144500,145000,1.663481181,1.660248323
145000,145500,1.660248323,1.657017177
145500,146000,1.657017177,1.653787756
146000,146500,1.653787756,1.650560078
146500,147000,1.650560078,1.647334158
147000,147500,1.647334158,1.644110011
147500,148000,1.644110011,1.640887651
148000,148500,1.640887651,1.637667096
148500,149000,1.637667096,1.634448359
149000,149500,1.634448359,1.631231456
149500,150000,1.631231456,1.628016403
150000,150500,1.628016403,1.624803214
150500,151000,1.624803214,1.621591904
151000,151500,1.621591904,1.618382488
151500,152000,1.618382488,1.615174981
152000,152500,1.615174981,1.611969398
152500,153000,1.611969398,1.608765754
153000,153500,1.608765754,1.605564064
153500,154000,1.605564064,1.602364342
154000,154500,1.602364342,1.599166603
154500,155000,1.599166603,1.595970862
155000,155500,1.595970862,1.592777133
155500,156000,1.592777133,1.58958543
156000,156500,1.58958543,1.586395769
156500,157000,1.586395769,1.583208163
157000,157500,1.583208163,1.580022627
157500,158000,1.580022627,1.576839176
158000,158500,1.576839176,1.573657822
158500,159000,1.573657822,1.570478582
159000,159500,1.570478582,1.567301468
159500,160000,1.567301468,1.564126495
160000,160500,1.564126495,1.560953677
160500,161000,1.560953677,1.557783028
161000,161500,1.557783028,1.554614562
161500,162000,1.554614562,1.551448293
162000,162500,1.551448293,1.548284234
162500,163000,1.548284234,1.5451224
163000,163500,1.5451224,1.541962804
163500,164000,1.541962804,1.538805459
164000,164500,1.538805459,1.53565038
164500,165000,1.53565038,1.53249758
165000,165500,1.53249758,1.529347072
165500,166000,1.529347072,1.526198871
166000,166500,1.526198871,1.523052989
166500,167000,1.523052989,1.519909439
167000,167500,1.519909439,1.516768236
167500,168000,1.516768236,1.513629391
168000,168500,1.513629391,1.51049292
168500,169000,1.51049292,1.507358834
169000,169500,1.507358834,1.504227147
169500,170000,1.504227147,1.501097871
170000,170500,1.501097871,1.49797102
170500,171000,1.49797102,1.494846607
171000,171500,1.494846607,1.491724645
171500,172000,1.491724645,1.488605146
172000,172500,1.488605146,1.485488124
172500,173000,1.485488124,1.48237359
173000,173500,1.48237359,1.479261558
173500,174000,1.479261558,1.47615204
174000,174500,1.47615204,1.473045049
174500,175000,1.473045049,1.469940598
175000,175500,1.469940598,1.466838698
175500,176000,1.466838698,1.463739362
176000,176500,1.463739362,1.460642603
176500,177000,1.460642603,1.457548433
177000,177500,1.457548433,1.454456864
177500,178000,1.454456864,1.451367908
178000,178500,1.451367908,1.448281578
178500,179000,1.448281578,1.445197885
179000,179500,1.445197885,1.442116842
179500,180000,1.442116842,1.439038461
180000,180500,1.439038461,1.435962753
180500,181000,1.435962753,1.43288973
181000,181500,1.43288973,1.429819405
181500,182000,1.429819405,1.426751788
182000,182500,1.426751788,1.423686893
182500,183000,1.423686893,1.420624729
183000,183500,1.420624729,1.41756531
183500,184000,1.41756531,1.414508646
184000,184500,1.414508646,1.411454749
184500,185000,1.411454749,1.408403631
185000,185500,1.408403631,1.405355303
185500,186000,1.405355303,1.402309776
186000,186500,1.402309776,1.399267061
186500,187000,1.399267061,1.396227171
187000,187500,1.396227171,1.393190115
187500,188000,1.393190115,1.390155905
188000,188500,1.390155905,1.387124553
188500,189000,1.387124553,1.384096069
189000,189500,1.384096069,1.381070464
189500,190000,1.381070464,1.378047749
190000,190500,1.378047749,1.375027935
190500,191000,1.375027935,1.372011033
191000,191500,1.372011033,1.368997053
191500,192000,1.368997053,1.365986007
192000,192500,1.365986007,1.362977905
192500,193000,1.362977905,1.359972757
193000,193500,1.359972757,1.356970575
193500,194000,1.356970575,1.353971368
194000,194500,1.353971368,1.350975147
194500,195000,1.350975147,1.347981922
195000,195500,1.347981922,1.344991705
195500,196000,1.344991705,1.342004504
196000,196500,1.342004504,1.339020331
196500,197000,1.339020331,1.336039195
197000,197500,1.336039195,1.333061107
197500,198000,1.333061107,1.330086076
198000,198500,1.330086076,1.327114113
198500,199000,1.327114113,1.324145228
199000,199500,1.324145228,1.32117943
199500,200000,1.32117943,1.31821673
200000,200500,1.31821673,1.315257137
200500,201000,1.315257137,1.312300661
201000,201500,1.312300661,1.309347312
201500,202000,1.309347312,1.3063971
202000,202500,1.3063971,1.303450033
202500,203000,1.303450033,1.300506122
203000,203500,1.300506122,1.297565375
203500,204000,1.297565375,1.294627804
204000,204500,1.294627804,1.291693416
204500,205000,1.291693416,1.288762221
205000,205500,1.288762221,1.285834229
205500,206000,1.285834229,1.282909448
206000,206500,1.282909448,1.279987889
206500,207000,1.279987889,1.277069559
207000,207500,1.277069559,1.274154469
207500,208000,1.274154469,1.271242627
208000,208500,1.271242627,1.268334041
208500,209000,1.268334041,1.265428722
209000,209500,1.265428722,1.262526678
209500,210000,1.262526678,1.259627917
210000,210500,1.259627917,1.256732449
210500,211000,1.256732449,1.253840282
211000,211500,1.253840282,1.250951425
211500,212000,1.250951425,1.248065886
212000,212500,1.248065886,1.245183674
