vessel_type,parameter
BARGE,0.282441444
BULK_CARRIERS,1
CABLE_LAYER,1.24030814
CEMENT_CARRIER,1.24030814
CHEMICAL_TANKER,1.167119985
CONTAINER_SHIP_FULLY_CELLULAR,1.635744493
CRANE_VESSEL,1.24030814
DREDGER,1.24030814
FISH_CARRIER,1.24030814
FISH_FACTORY_SHIP,1.24030814
FISHING_VESSEL,1.24030814
FLOATING_PRODUCTION,1.24030814
FRUIT_JUICE_CARRIER_REFRIGERATED,1.24030814
GENERAL_CARGO,1.24030814
HOSPITAL_VESSEL,1.24030814
ICEBREAKER,1.24030814
JACKUP_BARGE,1.24030814
LANDING_CRAFT,1.24030814
LIVESTOCK_CARRIER,1.24030814
LNG_TANKER,1.167119985
LPG_TANKER,1.167119985
MISCELLANEOUS,1.24030814
PASSENGER_CRUISE,1.167119985
PASSENGER_RO_RO_SHIP_VEHICLES,1.24030814
PASSENGER_SHIP,1.24030814
PATROL_VESSEL,1.24030814
PILOT_VESSEL,1.24030814
PIPE_LAYER,1.24030814
REFRIGERATED_CARGO_SHIP,1.24030814
RESEARCH_SURVEY_VESSEL,1.24030814
RO_RO_CARGO_SHIP,1.24030814
SEMI_SUBMERSIBLE,1.24030814
SUPPLY,0.746469627
SUPPORT,1.24030814
TANKER,1
TUG,0.71060894
VEHICLES_CARRIER,1.24030814
YACHT,1.24030814
