classification_society,factor
American Bureau - AB,1
Register Of Shipping (Albania) - AL,1.03
British Corporation - BC,1.03
Belize Maritime Bureau - BE,1.08
Bulgarski Koraben Registar - BK,1.08
Sociedada Classif. Brasileria/Nav. (Brazil) - BR,1.03
Bureau Securitas (Brazil) - BS,1.03
Bureau Veritas - BV,1
Cambodia Ship Registry - CA,1.03
Cambodia Shipping Co - CB,1.03
Ceskoslovensky Lodin Register (Czechoslvakia) - CL,1.03
Cosmos Bureau of Shipping - CM,1.03
Sociedad Classificadora De Colombia - CO,1.03
China Corporation of Shipping - CR,1.03
China Classification - CS,1
Registro Cubano de Buques - CU,1.08
Cyprus Bureau Of Shipping (Cyprus) - CY,1.03
R.J. Del Pan - DP,1.03
Deutsche Schiffs - DS,1.03
Fidenavis Sa (Spain) - FD,1.03
Seefartsaht Helsinki (Finland) - FI,1.03
Register Of Shipping Society Ltd (Ghana) - GH,1.03
Germanischer Lloyd - GL,1
Honduras Bureau of Shipping - HB,1.03
Honduras International Naval Surveying and Inspections Bureau (HINSIB) - HI,1.03
Honduras Maritime Inspection - HM,1.03
Hellenic Register - HR,1.03
Hrvatski Register - HV,1.08
Isthmus Bureau of Shipping - IB,1.03
INCLAMAR - IN,1.03
Indian Register - IR,1
International Register of Shipping (IS) - IS,1.03
Biro Klasifikasi Indonesia - KI,1.08
Korean Register - KR,1
Korean Institute of Ship Safety - KS,1.03
Lloyds Register - LR,1
Sociedad De Registro/Class/Mexicana Sa - ME,1.03
Mert (Hungary) - MT,1.03
Ship Classifiaction of Malaysia - MY,1.08
International Naval Surveys Bureau - NB,1.03
National Cargo Bureau Inc. - NC,1.03
Nippon Kaiji Kyokai - NK,1
National Shipping Adjusters Inc - NS,1.03
Norske Veritas - NV,1
Panama Bureau of Shipping - PB,1.03
Panama Register Corporation - PC,1.03
Phoenix Register of Shipping – PHRS,1
Panama Maritime Documentation Services - PM,1.03
Polski Rejestr Stratkow - PR,1.03
Panama Shipping Register Inc - PS,1.03
Registro Brasileiro De Nav/Aero.(Brazil) - RB,1.03
Register Of Shipping People's R.C. (China) - RC,1.08
Registro Italiano - RI,1
Register Of Shipping (North Korea) - RK,1.08
Registri Laknori Shqiptar (Iceland) - RL,1.03
Registrul Naval Roman - RM,1.03
Rinave Portuguesa - RP,1.08
Russian River Register - RR,1.08
Russian Register of Ships - RS,1
Register Of Shipping (Singapore) - SG,1.03
Societe Generale de Surveillance - SI,1.03
Senbak Kamdok Phenian - SK,1.03
S.A. Internationale de Telegraphie Sans  - TE,1.03
Harbour Department of Thailand - TH,1.03
Turku Loydu Vakfi - TU,1.08
Nv Unitas (Belgium) - UN,1.03
Vietnam - VN,1.08
Unknown - ZZ,1.08
