Version,Benchmark Class,Percent Ultimate,Value
11,Aviation Liab,0.0,IELR
11,Aviation Liab,0.1,IELR
11,Aviation Liab,0.2,IELR
11,Aviation Liab,0.3,IELR
11,Aviation Liab,0.4,BF
11,Aviation Liab,0.5,BF
11,Aviation Liab,0.6,BF
11,Aviation Liab,0.7,CL
11,Aviation Liab,0.8,CL
11,Aviation Liab,0.9,CL
11,Aviation Liab,1.0,CL
11,Aviation PD,0.0,IELR
11,Aviation PD,0.1,IELR
11,Aviation PD,0.2,IELR
11,Aviation PD,0.3,IELR
11,Aviation PD,0.4,BF
11,Aviation PD,0.5,BF
11,Aviation PD,0.6,BF
11,Aviation PD,0.7,CL
11,Aviation PD,0.8,CL
11,Aviation PD,0.9,CL
11,Aviation PD,1.0,CL
11,US Marine,0.0,IELR
11,US Marine,0.1,IELR
11,US Marine,0.2,IELR
11,US Marine,0.3,IELR
11,US Marine,0.4,BF
11,US Marine,0.5,BF
11,US Marine,0.6,BF
11,US Marine,0.7,CL
11,US Marine,0.8,CL
11,US Marine,0.9,CL
11,US Marine,1.0,CL
11,Cargo,0.0,IELR
11,Cargo,0.1,IELR
11,Cargo,0.2,IELR
11,Cargo,0.3,IELR
11,Cargo,0.4,BF
11,Cargo,0.5,BF
11,Cargo,0.6,BF
11,Cargo,0.7,CL
11,Cargo,0.8,CL
11,Cargo,0.9,CL
11,Cargo,1.0,CL
11,Downhole,0.0,IELR
11,Downhole,0.1,IELR
11,Downhole,0.2,IELR
11,Downhole,0.3,IELR
11,Downhole,0.4,BF
11,Downhole,0.5,BF
11,Downhole,0.6,BF
11,Downhole,0.7,CL
11,Downhole,0.8,CL
11,Downhole,0.9,CL
11,Downhole,1.0,CL
11,Energy Liab and Cas,0.0,IELR
11,Energy Liab and Cas,0.1,IELR
11,Energy Liab and Cas,0.2,IELR
11,Energy Liab and Cas,0.3,IELR
11,Energy Liab and Cas,0.4,BF
11,Energy Liab and Cas,0.5,BF
11,Energy Liab and Cas,0.6,BF
11,Energy Liab and Cas,0.7,CL
11,Energy Liab and Cas,0.8,CL
11,Energy Liab and Cas,0.9,CL
11,Energy Liab and Cas,1.0,CL
11,Energy PD,0.0,IELR
11,Energy PD,0.1,IELR
11,Energy PD,0.2,IELR
11,Energy PD,0.3,IELR
11,Energy PD,0.4,BF
11,Energy PD,0.5,BF
11,Energy PD,0.6,BF
11,Energy PD,0.7,CL
11,Energy PD,0.8,CL
11,Energy PD,0.9,CL
11,Energy PD,1.0,CL
11,Hull,0.0,IELR
11,Hull,0.1,IELR
11,Hull,0.2,IELR
11,Hull,0.3,IELR
11,Hull,0.4,BF
11,Hull,0.5,BF
11,Hull,0.6,BF
11,Hull,0.7,CL
11,Hull,0.8,CL
11,Hull,0.9,CL
11,Hull,1.0,CL
11,Marine Libs,0.0,IELR
11,Marine Libs,0.1,IELR
11,Marine Libs,0.2,IELR
11,Marine Libs,0.3,IELR
11,Marine Libs,0.4,BF
11,Marine Libs,0.5,BF
11,Marine Libs,0.6,BF
11,Marine Libs,0.7,CL
11,Marine Libs,0.8,CL
11,Marine Libs,0.9,CL
11,Marine Libs,1.0,CL
11,Marine Misc,0.0,IELR
11,Marine Misc,0.1,IELR
11,Marine Misc,0.2,IELR
11,Marine Misc,0.3,IELR
11,Marine Misc,0.4,BF
11,Marine Misc,0.5,BF
11,Marine Misc,0.6,BF
11,Marine Misc,0.7,CL
11,Marine Misc,0.8,CL
11,Marine Misc,0.9,CL
11,Marine Misc,1.0,CL
11,Satellite,0.0,IELR
11,Satellite,0.1,IELR
11,Satellite,0.2,IELR
11,Satellite,0.3,IELR
11,Satellite,0.4,BF
11,Satellite,0.5,BF
11,Satellite,0.6,BF
11,Satellite,0.7,CL
11,Satellite,0.8,CL
11,Satellite,0.9,CL
11,Satellite,1.0,CL
11,War,0.0,IELR
11,War,0.1,IELR
11,War,0.2,IELR
11,War,0.3,IELR
11,War,0.4,BF
11,War,0.5,BF
11,War,0.6,BF
11,War,0.7,CL
11,War,0.8,CL
11,War,0.9,CL
11,War,1.0,CL
11,Contingency,0.0,IELR
11,Contingency,0.1,IELR
11,Contingency,0.2,IELR
11,Contingency,0.3,IELR
11,Contingency,0.4,BF
11,Contingency,0.5,BF
11,Contingency,0.6,BF
11,Contingency,0.7,CL
11,Contingency,0.8,CL
11,Contingency,0.9,CL
11,Contingency,1.0,CL
11,Political,0.0,IELR
11,Political,0.1,IELR
11,Political,0.2,IELR
11,Political,0.3,IELR
11,Political,0.4,BF
11,Political,0.5,BF
11,Political,0.6,BF
11,Political,0.7,CL
11,Political,0.8,CL
11,Political,0.9,CL
11,Political,1.0,CL
11,Terrorism,0.0,IELR
11,Terrorism,0.1,IELR
11,Terrorism,0.2,IELR
11,Terrorism,0.3,IELR
11,Terrorism,0.4,BF
11,Terrorism,0.5,BF
11,Terrorism,0.6,BF
11,Terrorism,0.7,CL
11,Terrorism,0.8,CL
11,Terrorism,0.9,CL
11,Terrorism,1.0,CL
11,BICI A&H PA,0.0,IELR
11,BICI A&H PA,0.1,IELR
11,BICI A&H PA,0.2,IELR
11,BICI A&H PA,0.3,IELR
11,BICI A&H PA,0.4,BF
11,BICI A&H PA,0.5,BF
11,BICI A&H PA,0.6,BF
11,BICI A&H PA,0.7,CL
11,BICI A&H PA,0.8,CL
11,BICI A&H PA,0.9,CL
11,BICI A&H PA,1.0,CL
11,Life Direct,0.0,IELR
11,Life Direct,0.1,IELR
11,Life Direct,0.2,IELR
11,Life Direct,0.3,IELR
11,Life Direct,0.4,BF
11,Life Direct,0.5,BF
11,Life Direct,0.6,BF
11,Life Direct,0.7,CL
11,Life Direct,0.8,CL
11,Life Direct,0.9,CL
11,Life Direct,1.0,CL
11,Life Reinsurance,0.0,IELR
11,Life Reinsurance,0.1,IELR
11,Life Reinsurance,0.2,IELR
11,Life Reinsurance,0.3,IELR
11,Life Reinsurance,0.4,BF
11,Life Reinsurance,0.5,BF
11,Life Reinsurance,0.6,BF
11,Life Reinsurance,0.7,CL
11,Life Reinsurance,0.8,CL
11,Life Reinsurance,0.9,CL
11,Life Reinsurance,1.0,CL
11,PA Direct,0.0,IELR
11,PA Direct,0.1,IELR
11,PA Direct,0.2,IELR
11,PA Direct,0.3,IELR
11,PA Direct,0.4,BF
11,PA Direct,0.5,BF
11,PA Direct,0.6,BF
11,PA Direct,0.7,CL
11,PA Direct,0.8,CL
11,PA Direct,0.9,CL
11,PA Direct,1.0,CL
11,PA Reinsurance,0.0,IELR
11,PA Reinsurance,0.1,IELR
11,PA Reinsurance,0.2,IELR
11,PA Reinsurance,0.3,IELR
11,PA Reinsurance,0.4,BF
11,PA Reinsurance,0.5,BF
11,PA Reinsurance,0.6,BF
11,PA Reinsurance,0.7,CL
11,PA Reinsurance,0.8,CL
11,PA Reinsurance,0.9,CL
11,PA Reinsurance,1.0,CL
11,Sports,0.0,IELR
11,Sports,0.1,IELR
11,Sports,0.2,IELR
11,Sports,0.3,IELR
11,Sports,0.4,BF
11,Sports,0.5,BF
11,Sports,0.6,BF
11,Sports,0.7,CL
11,Sports,0.8,CL
11,Sports,0.9,CL
11,Sports,1.0,CL
11,Open Market,0.0,IELR
11,Open Market,0.1,IELR
11,Open Market,0.2,IELR
11,Open Market,0.3,IELR
11,Open Market,0.4,BF
11,Open Market,0.5,BF
11,Open Market,0.6,BF
11,Open Market,0.7,CL
11,Open Market,0.8,CL
11,Open Market,0.9,CL
11,Open Market,1.0,CL
11,E&S Property,0.0,IELR
11,E&S Property,0.1,IELR
11,E&S Property,0.2,IELR
11,E&S Property,0.3,IELR
11,E&S Property,0.4,BF
11,E&S Property,0.5,BF
11,E&S Property,0.6,BF
11,E&S Property,0.7,CL
11,E&S Property,0.8,CL
11,E&S Property,0.9,CL
11,E&S Property,1.0,CL
11,E&S Homeowners,0.0,IELR
11,E&S Homeowners,0.1,IELR
11,E&S Homeowners,0.2,IELR
11,E&S Homeowners,0.3,IELR
11,E&S Homeowners,0.4,BF
11,E&S Homeowners,0.5,BF
11,E&S Homeowners,0.6,BF
11,E&S Homeowners,0.7,CL
11,E&S Homeowners,0.8,CL
11,E&S Homeowners,0.9,CL
11,E&S Homeowners,1.0,CL
11,Covers,0.0,IELR
11,Covers,0.1,IELR
11,Covers,0.2,IELR
11,Covers,0.3,IELR
11,Covers,0.4,BF
11,Covers,0.5,BF
11,Covers,0.6,BF
11,Covers,0.7,CL
11,Covers,0.8,CL
11,Covers,0.9,CL
11,Covers,1.0,CL
11,Specie,0.0,IELR
11,Specie,0.1,IELR
11,Specie,0.2,IELR
11,Specie,0.3,IELR
11,Specie,0.4,BF
11,Specie,0.5,BF
11,Specie,0.6,BF
11,Specie,0.7,CL
11,Specie,0.8,CL
11,Specie,0.9,CL
11,Specie,1.0,CL
11,Swiss,0.0,IELR
11,Swiss,0.1,IELR
11,Swiss,0.2,IELR
11,Swiss,0.3,IELR
11,Swiss,0.4,BF
11,Swiss,0.5,BF
11,Swiss,0.6,BF
11,Swiss,0.7,CL
11,Swiss,0.8,CL
11,Swiss,0.9,CL
11,Swiss,1.0,CL
11,Jewellers,0.0,IELR
11,Jewellers,0.1,IELR
11,Jewellers,0.2,IELR
11,Jewellers,0.3,IELR
11,Jewellers,0.4,BF
11,Jewellers,0.5,BF
11,Jewellers,0.6,BF
11,Jewellers,0.7,CL
11,Jewellers,0.8,CL
11,Jewellers,0.9,CL
11,Jewellers,1.0,CL
11,Motor,0.0,IELR
11,Motor,0.1,IELR
11,Motor,0.2,IELR
11,Motor,0.3,IELR
11,Motor,0.4,BF
11,Motor,0.5,BF
11,Motor,0.6,BF
11,Motor,0.7,CL
11,Motor,0.8,CL
11,Motor,0.9,CL
11,Motor,1.0,CL
11,Package,0.0,IELR
11,Package,0.1,IELR
11,Package,0.2,IELR
11,Package,0.3,IELR
11,Package,0.4,BF
11,Package,0.5,BF
11,Package,0.6,BF
11,Package,0.7,CL
11,Package,0.8,CL
11,Package,0.9,CL
11,Package,1.0,CL
11,BPS - BBR,0.0,IELR
11,BPS - BBR,0.1,IELR
11,BPS - BBR,0.2,IELR
11,BPS - BBR,0.3,IELR
11,BPS - BBR,0.4,BF
11,BPS - BBR,0.5,BF
11,BPS - BBR,0.6,BF
11,BPS - BBR,0.7,CL
11,BPS - BBR,0.8,CL
11,BPS - BBR,0.9,CL
11,BPS - BBR,1.0,CL
11,eTrading BBR,0.0,IELR
11,eTrading BBR,0.1,IELR
11,eTrading BBR,0.2,IELR
11,eTrading BBR,0.3,IELR
11,eTrading BBR,0.4,BF
11,eTrading BBR,0.5,BF
11,eTrading BBR,0.6,BF
11,eTrading BBR,0.7,CL
11,eTrading BBR,0.8,CL
11,eTrading BBR,0.9,CL
11,eTrading BBR,1.0,CL
11,US PE London BBR,0.0,IELR
11,US PE London BBR,0.1,IELR
11,US PE London BBR,0.2,IELR
11,US PE London BBR,0.3,IELR
11,US PE London BBR,0.4,BF
11,US PE London BBR,0.5,BF
11,US PE London BBR,0.6,BF
11,US PE London BBR,0.7,CL
11,US PE London BBR,0.8,CL
11,US PE London BBR,0.9,CL
11,US PE London BBR,1.0,CL
11,US - A&E MM,0.0,IELR
11,US - A&E MM,0.1,IELR
11,US - A&E MM,0.2,IELR
11,US - A&E MM,0.3,IELR
11,US - A&E MM,0.4,BF
11,US - A&E MM,0.5,BF
11,US - A&E MM,0.6,BF
11,US - A&E MM,0.7,CL
11,US - A&E MM,0.8,CL
11,US - A&E MM,0.9,CL
11,US - A&E MM,1.0,CL
11,Digital US Cyber,0.0,IELR
11,Digital US Cyber,0.1,IELR
11,Digital US Cyber,0.2,IELR
11,Digital US Cyber,0.3,IELR
11,Digital US Cyber,0.4,BF
11,Digital US Cyber,0.5,BF
11,Digital US Cyber,0.6,BF
11,Digital US Cyber,0.7,CL
11,Digital US Cyber,0.8,CL
11,Digital US Cyber,0.9,CL
11,Digital US Cyber,1.0,CL
11,Healthcare Misc,0.0,IELR
11,Healthcare Misc,0.1,IELR
11,Healthcare Misc,0.2,IELR
11,Healthcare Misc,0.3,IELR
11,Healthcare Misc,0.4,BF
11,Healthcare Misc,0.5,BF
11,Healthcare Misc,0.6,BF
11,Healthcare Misc,0.7,CL
11,Healthcare Misc,0.8,CL
11,Healthcare Misc,0.9,CL
11,Healthcare Misc,1.0,CL
11,Environmental,0.0,IELR
11,Environmental,0.1,IELR
11,Environmental,0.2,IELR
11,Environmental,0.3,IELR
11,Environmental,0.4,BF
11,Environmental,0.5,BF
11,Environmental,0.6,BF
11,Environmental,0.7,CL
11,Environmental,0.8,CL
11,Environmental,0.9,CL
11,Environmental,1.0,CL
11,Healthcare ML,0.0,IELR
11,Healthcare ML,0.1,IELR
11,Healthcare ML,0.2,IELR
11,Healthcare ML,0.3,IELR
11,Healthcare ML,0.4,BF
11,Healthcare ML,0.5,BF
11,Healthcare ML,0.6,BF
11,Healthcare ML,0.7,CL
11,Healthcare ML,0.8,CL
11,Healthcare ML,0.9,CL
11,Healthcare ML,1.0,CL
11,Lawyers,0.0,IELR
11,Lawyers,0.1,IELR
11,Lawyers,0.2,IELR
11,Lawyers,0.3,IELR
11,Lawyers,0.4,BF
11,Lawyers,0.5,BF
11,Lawyers,0.6,BF
11,Lawyers,0.7,CL
11,Lawyers,0.8,CL
