Index,Buildings,Contents
ALABAMABEACH,0.1185000000000000000,0.093000000000000000
ALABAMAINLAND,0.1065000000000000000,0.085500000000000000
ALABAMASEACOAST,0.0975000000000000000,0.085500000000000000
ARIZONAENTIRE STATE,0.0510000000000000000,0.065000000000000000
ARKANSASENTIRE STATE,0.2030000000000000000,0.236000000000000000
CALIFORNIAENTIRE STATE,0.0137500000000000000,0.016250000000000000
COLORADOEAST,0.1860000000000000000,0.109000000000000000
COLORADOWEST,0.0760000000000000000,0.025000000000000000
CONNECTICUTTERRITORY I,0.0400000000000000000,0.046000000000000000
CONNECTICUTTERRITORY II,0.0430000000000000000,0.047000000000000000
DELAWARETERRITORY I,0.0960000000000000000,0.110000000000000000
DELAWARETERRITORY II,0.1040000000000000000,0.106000000000000000
DIST. OF COLUMBIAENTIRE STATE,0.0520000000000000000,0.046000000000000000
FLORIDAINLAND,0.0525000000000000000,0.120000000000000000
FLORIDASEACOAST - MONROE COUNTY - KEY WEST,0.0300000000000000000,0.052500000000000000
FLORIDASEACOAST - ZONE 1,0.0262500000000000000,0.071250000000000000
FLORIDASEACOAST - ZONE 2,0.0300000000000000000,0.060000000000000000
FLORIDASEACOAST - ZONE 3,0.0112500000000000000,0.026250000000000000
FLORIDASEACOAST - MONROE COUNTY - REMAINDER OF CITY,0.0562500000000000000,0.105000000000000000
GEORGIABEACH,0.0550000000000000000,0.043750000000000000
GEORGIAINLAND,0.0687500000000000000,0.053750000000000000
GEORGIASEACOAST,0.0550000000000000000,0.053750000000000000
ILLINOISBALANCE OF STATE,0.0960000000000000000,0.113000000000000000
ILLINOISCOOK COUNTY,0.0740000000000000000,0.086000000000000000
INDIANAENTIRE STATE,0.0870000000000000000,0.106000000000000000
IOWAENTIRE STATE,0.3240000000000000000,0.364000000000000000
KANSASENTIRE STATE,0.4190000000000000000,0.371000000000000000
KENTUCKYENTIRE STATE,0.1130000000000000000,0.139000000000000000
MAINETERRITORY I,0.0160000000000000000,0.019000000000000000
MAINETERRITORY II,0.0160000000000000000,0.017000000000000000
MARYLANDTERRITORY I,0.0435000000000000000,0.048000000000000000
MARYLANDTERRITORY II,0.0465000000000000000,0.049500000000000000
MARYLANDTERRITORY III,0.0465000000000000000,0.048000000000000000
MASSACHUSETTSTERRITORY I,0.0382500000000000000,0.045000000000000000
MASSACHUSETTSTERRITORY II,0.0345000000000000000,0.044250000000000000
MASSACHUSETTSTERRITORY III,0.0382500000000000000,0.043500000000000000
MICHIGANENTIRE STATE,0.0510000000000000000,0.060000000000000000
MINNESOTAENTIRE STATE,0.3220000000000000000,0.250000000000000000
MISSOURIENTIRE STATE,0.1670000000000000000,0.196000000000000000
MONTANADIVISION A,0.1920000000000000000,0.136000000000000000
MONTANADIVISION B,0.1920000000000000000,0.136000000000000000
MONTANADIVISION C,0.3340000000000000000,0.232000000000000000
NEBRASKAEAST,0.2430000000000000000,0.231000000000000000
NEBRASKAWEST,0.3560000000000000000,0.261000000000000000
NEVADAENTIRE STATE,0.0210000000000000000,0.024000000000000000
NEW HAMPSHIRETERRITORY I,0.0460000000000000000,0.054000000000000000
NEW HAMPSHIRETERRITORY II,0.0500000000000000000,0.054000000000000000
NEW JERSEYTERRITORY I,0.0380000000000000000,0.035000000000000000
NEW JERSEYTERRITORY II,0.0400000000000000000,0.034000000000000000
NEW JERSEYTERRITORY III,0.0390000000000000000,0.034000000000000000
NEW MEXICOZONE 1 (WESTERN NEW MEXICO),0.0730000000000000000,0.055000000000000000
NEW MEXICOZONE 2 (EASTERN NEW MEXICO),0.1530000000000000000,0.114000000000000000
NEW YORKTERRITORY I,0.0940000000000000000,0.100000000000000000
NEW YORKTERRITORY II,0.1000000000000000000,0.106000000000000000
NEW YORKTERRITORY III,0.0980000000000000000,0.108000000000000000
NORTH CAROLINATERRITORY I,0.0705000000000000000,0.063000000000000000
NORTH CAROLINATERRITORY II,0.0780000000000000000,0.064500000000000000
NORTH CAROLINATERRITORY III,0.0975000000000000000,0.088500000000000000
NORTH DAKOTAENTIRE STATE,0.3620000000000000000,0.372000000000000000
OHIOENTIRE STATE,0.0610000000000000000,0.075000000000000000
