Zip Code,City,State Abbreviation,State Name,County,BG1 Terr,BG2 Terr
01001,Agawam,MA,Massachusetts,Hampden,08,Territory I
01002,Amherst,MA,Massachusetts,Hampshire,08,Territory I
01003,Amherst,MA,Massachusetts,Hampshire,08,Territory I
01005,Barre,MA,Massachusetts,Worcester,08,Territory I
01007,Belchertown,MA,Massachusetts,Hampshire,08,Territory I
01008,Blandford,MA,Massachusetts,Hampden,08,Territory I
01009,Bondsville,MA,Massachusetts,Hampden,08,Territory I
01010,Brimfield,MA,Massachusetts,Hampden,08,Territory I
01011,Chester,MA,Massachusetts,Hampden,08,Territory I
01012,Chesterfield,MA,Massachusetts,Hampshire,08,Territory I
01013,Chicopee,MA,Massachusetts,Hampden,08,Territory I
01020,Chicopee,MA,Massachusetts,Hampden,08,Territory I
01022,Chicopee,MA,Massachusetts,Hampden,08,Territory I
01026,Cummington,MA,Massachusetts,Hampshire,08,Territory I
01027,Easthampton,MA,Massachusetts,Hampshire,08,Territory I
01028,East Longmeadow,MA,Massachusetts,Hampden,08,Territory I
01029,East Otis,MA,Massachusetts,Berkshire,08,Territory I
01030,Feeding Hills,MA,Massachusetts,Hampden,08,Territory I
01031,Gilbertville,MA,Massachusetts,Worcester,08,Territory I
01032,Goshen,MA,Massachusetts,Hampshire,08,Territory I
01033,Granby,MA,Massachusetts,Hampshire,08,Territory I
01034,Granville,MA,Massachusetts,Hampden,08,Territory I
01035,Hadley,MA,Massachusetts,Hampshire,08,Territory I
01036,Hampden,MA,Massachusetts,Hampden,08,Territory I
01037,Hardwick,MA,Massachusetts,Worcester,08,Territory I
01038,Hatfield,MA,Massachusetts,Hampshire,08,Territory I
01039,Haydenville,MA,Massachusetts,Hampshire,08,Territory I
01040,Holyoke,MA,Massachusetts,Hampden,08,Territory I
01050,Huntington,MA,Massachusetts,Hampshire,08,Territory I
01053,Leeds,MA,Massachusetts,Hampshire,08,Territory I
01054,Leverett,MA,Massachusetts,Franklin,08,Territory I
01056,Ludlow,MA,Massachusetts,Hampden,08,Territory I
01057,Monson,MA,Massachusetts,Hampden,08,Territory I
01060,Northampton,MA,Massachusetts,Hampshire,08,Territory I
01062,Florence,MA,Massachusetts,Hampshire,08,Territory I
01063,Northampton,MA,Massachusetts,Hampshire,08,Territory I
01066,North Hatfield,MA,Massachusetts,Hampshire,08,Territory I
01068,Oakham,MA,Massachusetts,Worcester,08,Territory I
01069,Palmer,MA,Massachusetts,Hampden,08,Territory I
01070,Plainfield,MA,Massachusetts,Hampshire,08,Territory I
01071,Russell,MA,Massachusetts,Hampden,08,Territory I
01072,Shutesbury,MA,Massachusetts,Franklin,08,Territory I
01073,Southampton,MA,Massachusetts,Hampshire,08,Territory I
01074,South Barre,MA,Massachusetts,Worcester,08,Territory I
01075,South Hadley,MA,Massachusetts,Hampshire,08,Territory I
01077,Southwick,MA,Massachusetts,Hampden,08,Territory I
01079,Thorndike,MA,Massachusetts,Hampden,08,Territory I
01080,Three Rivers,MA,Massachusetts,Hampden,08,Territory I
01081,Wales,MA,Massachusetts,Hampden,08,Territory I
01082,Ware,MA,Massachusetts,Hampshire,08,Territory I
01083,Warren,MA,Massachusetts,Worcester,08,Territory I
01084,West Chesterfield,MA,Massachusetts,Hampshire,08,Territory I
01085,Westfield,MA,Massachusetts,Hampden,08,Territory I
01086,Westfield,MA,Massachusetts,Hampden,08,Territory I
01088,West Hatfield,MA,Massachusetts,Hampshire,08,Territory I
01089,West Springfield,MA,Massachusetts,Hampden,08,Territory I
01092,West Warren,MA,Massachusetts,Worcester,08,Territory I
01093,Whately,MA,Massachusetts,Franklin,08,Territory I
01094,Wheelwright,MA,Massachusetts,Worcester,08,Territory I
01095,Wilbraham,MA,Massachusetts,Hampden,08,Territory I
01096,Williamsburg,MA,Massachusetts,Hampshire,08,Territory I
01097,Woronoco,MA,Massachusetts,Hampden,08,Territory I
01098,Worthington,MA,Massachusetts,Hampshire,08,Territory I
01103,Springfield,MA,Massachusetts,Hampden,08,Territory I
01104,Springfield,MA,Massachusetts,Hampden,08,Territory I
01105,Springfield,MA,Massachusetts,Hampden,08,Territory I
01106,Longmeadow,MA,Massachusetts,Hampden,08,Territory I
01107,Springfield,MA,Massachusetts,Hampden,08,Territory I
01108,Springfield,MA,Massachusetts,Hampden,08,Territory I
01109,Springfield,MA,Massachusetts,Hampden,08,Territory I
01118,Springfield,MA,Massachusetts,Hampden,08,Territory I
01119,Springfield,MA,Massachusetts,Hampden,08,Territory I
01128,Springfield,MA,Massachusetts,Hampden,08,Territory I
01129,Springfield,MA,Massachusetts,Hampden,08,Territory I
01151,Indian Orchard,MA,Massachusetts,Hampden,08,Territory I
01199,Springfield,MA,Massachusetts,Hampden,08,Territory I
01201,Pittsfield,MA,Massachusetts,Berkshire,08,Territory I
01220,Adams,MA,Massachusetts,Berkshire,08,Territory I
01222,Ashley Falls,MA,Massachusetts,Berkshire,08,Territory I
01223,Becket,MA,Massachusetts,Berkshire,08,Territory I
01224,Berkshire,MA,Massachusetts,Berkshire,08,Territory I
01225,Cheshire,MA,Massachusetts,Berkshire,08,Territory I
01226,Dalton,MA,Massachusetts,Berkshire,08,Territory I
01229,Glendale,MA,Massachusetts,Berkshire,08,Territory I
01230,Great Barrington,MA,Massachusetts,Berkshire,08,Territory I
01235,Hinsdale,MA,Massachusetts,Berkshire,08,Territory I
01236,Housatonic,MA,Massachusetts,Berkshire,08,Territory I
01237,Lanesborough,MA,Massachusetts,Berkshire,08,Territory I
01238,Lee,MA,Massachusetts,Berkshire,08,Territory I
01240,Lenox,MA,Massachusetts,Berkshire,08,Territory I
01242,Lenox Dale,MA,Massachusetts,Berkshire,08,Territory I
01243,Middlefield,MA,Massachusetts,Hampshire,08,Territory I
01244,Mill River,MA,Massachusetts,Berkshire,08,Territory I
01245,Monterey,MA,Massachusetts,Berkshire,08,Territory I
01247,North Adams,MA,Massachusetts,Berkshire,08,Territory I
01253,Otis,MA,Massachusetts,Berkshire,08,Territory I
01254,Richmond,MA,Massachusetts,Berkshire,08,Territory I
01255,Sandisfield,MA,Massachusetts,Berkshire,08,Territory I
01256,Savoy,MA,Massachusetts,Berkshire,08,Territory I
01257,Sheffield,MA,Massachusetts,Berkshire,08,Territory I
01258,South Egremont,MA,Massachusetts,Berkshire,08,Territory I
01259,Southfield,MA,Massachusetts,Berkshire,08,Territory I
01260,South Lee,MA,Massachusetts,Berkshire,08,Territory I
01262,Stockbridge,MA,Massachusetts,Berkshire,08,Territory I
01264,Tyringham,MA,Massachusetts,Berkshire,08,Territory I
01266,West Stockbridge,MA,Massachusetts,Berkshire,08,Territory I
01267,Williamstown,MA,Massachusetts,Berkshire,08,Territory I
01270,Windsor,MA,Massachusetts,Berkshire,08,Territory I
01301,Greenfield,MA,Massachusetts,Franklin,08,Territory I
01330,Ashfield,MA,Massachusetts,Franklin,08,Territory I
01331,Athol,MA,Massachusetts,Worcester,08,Territory I
01337,Bernardston,MA,Massachusetts,Franklin,08,Territory I
01338,Buckland,MA,Massachusetts,Franklin,08,Territory I
01339,Charlemont,MA,Massachusetts,Franklin,08,Territory I
01340,Colrain,MA,Massachusetts,Franklin,08,Territory I
01341,Conway,MA,Massachusetts,Franklin,08,Territory I
01342,Deerfield,MA,Massachusetts,Franklin,08,Territory I
01343,Drury,MA,Massachusetts,Berkshire,08,Territory I
01344,Erving,MA,Massachusetts,Franklin,08,Territory I
01346,Heath,MA,Massachusetts,Franklin,08,Territory I
01347,Lake Pleasant,MA,Massachusetts,Franklin,08,Territory I
01349,Millers Falls,MA,Massachusetts,Franklin,08,Territory I
01350,Monroe Bridge,MA,Massachusetts,Franklin,08,Territory I
01351,Montague,MA,Massachusetts,Franklin,08,Territory I
01354,Gill,MA,Massachusetts,Franklin,08,Territory I
01355,New Salem,MA,Massachusetts,Franklin,08,Territory I
01360,Northfield,MA,Massachusetts,Franklin,08,Territory I
01364,Orange,MA,Massachusetts,Franklin,08,Territory I
01366,Petersham,MA,Massachusetts,Worcester,08,Territory I
01367,Rowe,MA,Massachusetts,Franklin,08,Territory I
01368,Royalston,MA,Massachusetts,Worcester,08,Territory I
01370,Shelburne Falls,MA,Massachusetts,Franklin,08,Territory I
01373,South Deerfield,MA,Massachusetts,Franklin,08,Territory I
01375,Sunderland,MA,Massachusetts,Franklin,08,Territory I
01376,Turners Falls,MA,Massachusetts,Franklin,08,Territory I
01378,Warwick,MA,Massachusetts,Franklin,08,Territory I
01379,Wendell,MA,Massachusetts,Franklin,08,Territory I
01420,Fitchburg,MA,Massachusetts,Worcester,08,Territory I
01430,Ashburnham,MA,Massachusetts,Worcester,08,Territory I
01431,Ashby,MA,Massachusetts,Middlesex,08,Territory I
01432,Ayer,MA,Massachusetts,Middlesex,08,Territory I
01434,Devens,MA,Massachusetts,Worcester,08,Territory I
01436,Baldwinville,MA,Massachusetts,Worcester,08,Territory I
01438,East Templeton,MA,Massachusetts,Worcester,08,Territory I
01440,Gardner,MA,Massachusetts,Worcester,08,Territory I
01450,Groton,MA,Massachusetts,Middlesex,08,Territory I
01451,Harvard,MA,Massachusetts,Worcester,08,Territory I
01452,Hubbardston,MA,Massachusetts,Worcester,08,Territory I
01453,Leominster,MA,Massachusetts,Worcester,08,Territory I
01460,Littleton,MA,Massachusetts,Middlesex,08,Territory I
01462,Lunenburg,MA,Massachusetts,Worcester,08,Territory I
01463,Pepperell,MA,Massachusetts,Middlesex,08,Territory I
01464,Shirley,MA,Massachusetts,Middlesex,08,Territory I
01467,Still River,MA,Massachusetts,Worcester,08,Territory I
01468,Templeton,MA,Massachusetts,Worcester,08,Territory I
01469,Townsend,MA,Massachusetts,Middlesex,08,Territory I
01473,Westminster,MA,Massachusetts,Worcester,08,Territory I
01474,West Townsend,MA,Massachusetts,Middlesex,08,Territory I
01475,Winchendon,MA,Massachusetts,Worcester,08,Territory I
01501,Auburn,MA,Massachusetts,Worcester,08,Territory I
01503,Berlin,MA,Massachusetts,Worcester,08,Territory I
01504,Blackstone,MA,Massachusetts,Worcester,08,Territory I
01505,Boylston,MA,Massachusetts,Worcester,08,Territory I
01506,Brookfield,MA,Massachusetts,Worcester,08,Territory I
01507,Charlton,MA,Massachusetts,Worcester,08,Territory I
01510,Clinton,MA,Massachusetts,Worcester,08,Territory I
01515,East Brookfield,MA,Massachusetts,Worcester,08,Territory I
01516,Douglas,MA,Massachusetts,Worcester,08,Territory I
01518,Fiskdale,MA,Massachusetts,Worcester,08,Territory I
01519,Grafton,MA,Massachusetts,Worcester,08,Territory I
01520,Holden,MA,Massachusetts,Worcester,08,Territory I
01521,Holland,MA,Massachusetts,Hampden,08,Territory I
01522,Jefferson,MA,Massachusetts,Worcester,08,Territory I
01523,Lancaster,MA,Massachusetts,Worcester,08,Territory I
01524,Leicester,MA,Massachusetts,Worcester,08,Territory I
01525,Linwood,MA,Massachusetts,Worcester,08,Territory I
01527,Millbury,MA,Massachusetts,Worcester,08,Territory I
01529,Millville,MA,Massachusetts,Worcester,08,Territory I
01531,New Braintree,MA,Massachusetts,Worcester,08,Territory I
01532,Northborough,MA,Massachusetts,Worcester,08,Territory I
01534,Northbridge,MA,Massachusetts,Worcester,08,Territory I
01535,North Brookfield,MA,Massachusetts,Worcester,08,Territory I
01536,North Grafton,MA,Massachusetts,Worcester,08,Territory I
01537,North Oxford,MA,Massachusetts,Worcester,08,Territory I
01540,Oxford,MA,Massachusetts,Worcester,08,Territory I
01541,Princeton,MA,Massachusetts,Worcester,08,Territory I
01542,Rochdale,MA,Massachusetts,Worcester,08,Territory I
01543,Rutland,MA,Massachusetts,Worcester,08,Territory I
01545,Shrewsbury,MA,Massachusetts,Worcester,08,Territory I
01550,Southbridge,MA,Massachusetts,Worcester,08,Territory I
01560,South Grafton,MA,Massachusetts,Worcester,08,Territory I
01561,South Lancaster,MA,Massachusetts,Worcester,08,Territory I
01562,Spencer,MA,Massachusetts,Worcester,08,Territory I
01564,Sterling,MA,Massachusetts,Worcester,08,Territory I
01566,Sturbridge,MA,Massachusetts,Worcester,08,Territory I
01568,Upton,MA,Massachusetts,Worcester,08,Territory I
01569,Uxbridge,MA,Massachusetts,Worcester,08,Territory I
01570,Webster,MA,Massachusetts,Worcester,08,Territory I
01571,Dudley,MA,Massachusetts,Worcester,08,Territory I
01581,Westborough,MA,Massachusetts,Worcester,08,Territory I
01583,West Boylston,MA,Massachusetts,Worcester,08,Territory I
