Peril,Basic,HO1,HO2,HO3,HO5,DP3
Fire,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Explosion,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Vandalism & Malicious Mischief,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sprinkler Leakage,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
Mold due to BG I Perils,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Wind,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Hail,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Riot or Civil Commotion,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Mold due to BG II Perils,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Theft,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
Water Damage,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
All Other Causes,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
Freezing,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Mold due to SCL Perils,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Collapse due to wt. of Ice, Snow and Sleet",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Collapse due to Other Causes,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
