Peril,Risk,Buildings,Contents,BI,BuildingsSoutheast,BuildingsNon-Southeast,ContentsSoutheast,ContentsNon-Southeast,BISoutheast,BINon-Southeast,BuildingsSEW,BuildingsNNE,BuildingsMW,ContentsSEW,ContentsNNE,ContentsMW,BISEW,BINNE,BIMW
Fire,BG1,0.91293144842164500000,0.93713059920174100000,0.90701760398889500000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000
Explosion,BG1,0.01223720659247030000,0.00937856880331992000,0.00853508020574555000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000
Vandalism & Malicious Mischief,BG1,0.03250956825367260000,0.02114762717979680000,0.03524349777457710000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000
Sprinkler Leakage,BG1,0.02245426027648950000,0.01734352902208780000,0.01950538132062570000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000
Mold due to BG I Perils,BG1,0.01986751645572250000,0.01499967579305470000,0.02969843671015700000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000
Wind,BG2,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.85484925808618800000,0.66817537570653500000,0.97641268090352900000,0.83565337496939700000,0.94232635060290200000,0.74238555073453200000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000
Hail,BG2,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.14001242630851800000,0.32626887336807300000,0.02064881073933770000,0.15679951399182600000,0.02184139753014930000,0.08707070924780480000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000
Riot or Civil Commotion,BG2,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00340032361230715000,0.00029302054771856800,0.00275292347991826000,0.00506785075153049000,0.03575200637487080000,0.16802931711075200000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000
Mold due to BG II Perils,BG2,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00173799199298726000,0.00526273037767390000,0.00018558487721508100,0.00247926028724590000,0.00008024549207749980,0.00251442290691059000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000
Theft,SCL,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.15024502823616100000,0.05037616491012520000,0.11300904219692200000,0.48479652748501500000,0.25965616287539600000,0.43353952646010600000,0.10346939650545700000,0.03499454846936660000,0.05923975733798310000
Water Damage,SCL,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.41713154056983400000,0.40414036646908000000,0.35730766501079600000,0.20855437398710200000,0.35784211302178100000,0.18702400685874200000,0.33757713835251800000,0.28263016063327500000,0.26795397849937100000
All Other Causes,SCL,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.28244104200819900000,0.30180832219232300000,0.23245968533815700000,0.23688006174140600000,0.26621384049722600000,0.27791276663937600000,0.36292628673878800000,0.48980747980971400000,0.44084528193155400000
Freezing,SCL,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.07418094139730380000,0.08545985275450390000,0.16563141631006600000,0.03374311027771770000,0.04068317914580490000,0.05433080994638380000,0.01766095791026700000,0.03613214168533460000,0.07845375039451520000
Mold due to SCL Perils,SCL,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00786636462758093000,0.02350729563746180000,0.00699679662694210000,0.00722573461860763000,0.01205755762455990000,0.00066687329807349400,0.10834468529104300000,0.01795224144140390000,0.03613193939627840000
"Collapse due to wt. of Ice, Snow and Sleet",SCL,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.03212730217538020000,0.10057269388303000000,0.08640032503528620000,0.00766992410621230000,0.04257190055300390000,0.02931444813877260000,0.00721345594264141000,0.06021505247164980000,0.07382607363399960000
Collapse due to Other Causes,SCL,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.03600778098554160000,0.03413530415347650000,0.03819506948183030000,0.02113026778393880000,0.02097524628222880000,0.01721156865854670000,0.06280807925928590000,0.07826837548925620000,0.04354921880629820000
