Protection Class,ISO.1,ISO.2,ISO.3,ISO.4,ISO.5,ISO.6
1,0.880,0.880,0.880,0.900,0.900,0.900
2,0.920,0.920,0.920,0.940,0.940,0.940
3,0.960,0.960,0.960,0.970,0.970,0.970
4,0.980,0.980,0.980,0.980,0.980,0.980
5,1.000,1.000,1.000,1.000,1.000,1.000
6,1.060,1.060,1.060,1.050,1.050,1.050
7,1.180,1.180,1.180,1.140,1.140,1.140
8,1.300,1.300,1.300,1.240,1.240,1.240
8B,1.350,1.350,1.350,1.280,1.280,1.280
9,1.420,1.420,1.420,1.340,1.340,1.340
10,1.720,1.720,1.720,1.580,1.580,1.580
1X - 5X,1.140,1.140,1.140,1.090,1.090,1.090
6X - 7X,1.350,1.350,1.350,1.280,1.280,1.280
8X,1.420,1.420,1.420,1.340,1.340,1.340
1Y - 5Y,1.140,1.140,1.140,1.090,1.090,1.090
6Y-8Y,1.350,1.350,1.350,1.280,1.280,1.280
10W,1.630,1.630,1.630,1.510,1.510,1.510
0,1,1,1,1,1,1
