State,FL,WF,TN,HA
AB,0.4,0.17,1,1
BC,0.4,0.17,1,1
MB,0.4,0.17,1,1
NB,0.4,0.17,1,1
NL,0.4,0.17,1,1
NS,0.4,0.17,1,1
NT,0.4,0.35,1,1
NU,0.4,0.17,1,1
PE,0.4,0.17,1,1
QC,0.4,0.17,1,1
SK,0.4,1,1,1
YT,0.4,0.17,1,1
ON,0.4,0.17,1,1
AUSTRALIAN CAPITAL TERRITORYNA,1,1,1,1
NEW SOUTH WALESNA,1,1,1,1
NORTHERN TERRITORYNA,1,1,1,1
QUEENSLANDNA,1,1,1,1
SOUTH AUSTRALIANA,1,1,1,1
TASMANIANA,1,1,1,1
VICTORIANA,1,1,1,1
WESTERN AUSTRALIANA,1,1,1,1
LONDONNA,1,1,1,1
SOUTH WESTNA,1,1,1,1
SOUTH EASTNA,1,1,1,1
WEST MIDLANDSNA,1,1,1,1
EAST MIDLANDSNA,1,1,1,1
EAST ANGLIANA,1,1,1,1
NORTH WESTNA,1,1,1,1
NORTH EASTNA,1,1,1,1
YORKSHIRE AND HUMBERSIDENA,1,1,1,1
SCOTLANDNA,1,1,1,1
WALESNA,1,1,1,1
AUCKLANDNA,1,1,1,1
TARANAKINA,1,1,1,1
HAWKE'S BAYNA,1,1,1,1
WELLINGTONNA,1,1,1,1
NELSONNA,1,1,1,1
CANTERBURYNA,1,1,1,1
OTAGONA,1,1,1,1
NORTHLAND REGIONNA,1,1,1,1
WAIKATONA,1,1,1,1
GISBORNE DISTRICTNA,1,1,1,1
BAY OF PLENTYNA,1,1,1,1
MANAWATU-WANGANUINA,1,1,1,1
MARLBOROUGHNA,1,1,1,1
SOUTHLANDNA,1,1,1,1
WEST COASTNA,1,1,1,1
TASMAN DISTRICTNA,1,1,1,1
WELLINGTON REGIONNA,1,1,1,1
AUCKLAND REGIONNA,1,1,1,1
BRITTANYNA,1,1,1,1
BOURGOGNE-FRANCHE-COMTÉNA,1,1,1,1
CORSICANA,1,1,1,1
CENTRE-VAL DE LOIRENA,1,1,1,1
GRAND ESTNA,1,1,1,1
HAUTS-DE-FRANCENA,1,1,1,1
ÎLE-DE-FRANCENA,1,1,1,1
NOUVELLE-AQUITAINENA,1,1,1,1
NORMANDYNA,1,1,1,1
OCCITANIANA,1,1,1,1
PAYS DE LA LOIRENA,1,1,1,1
PROVENCE-ALPES-CÔTE D'AZURNA,1,1,1,1
AUVERGNE-RHÔNE-ALPESNA,1,1,1,1
HAMBURGNA,1,1,1,1
BERLINNA,1,1,1,1
BAVARIANA,1,1,1,1
BRANDENBURGNA,1,1,1,1
SAXONYNA,1,1,1,1
SAARLANDNA,1,1,1,1
THURINGIANA,1,1,1,1
SCHLESWIG-HOLSTEINNA,1,1,1,1
NORTH RHINE-WESTPHALIANA,1,1,1,1
BADEN-WÜRTTEMBERGNA,1,1,1,1
MECKLENBURG-VORPOMMERNNA,1,1,1,1
LOWER SAXONYNA,1,1,1,1
HESSENA,1,1,1,1
SAXONY-ANHALTNA,1,1,1,1
RHINELAND-PALATINATENA,1,1,1,1
BREMENNA,1,1,1,1
