Scheme Code,ISO Class
ATC-0,ISO.1
ATC-1,ISO.1
ATC-2,ISO.3
ATC-3,ISO.2
ATC-4,ISO.6
ATC-5,ISO.6
ATC-6,ISO.6
ATC-7,ISO.4
ATC-8,ISO.6
ATC-9,ISO.5
ATC-10,ISO.5
ATC-11,ISO.5
ATC-12,ISO.6
ATC-13,ISO.6
ATC-14,ISO.6
ATC-15,ISO.6
ATC-16,ISO.6
ATC-17,ISO.1
ATC-18,ISO.6
ATC-19,ISO.1
ATC-20,ISO.1
ATC-21,ISO.1
ATC-22,ISO.1
ATC-23,ISO.1
ATC-24,ISO.1
ATC-25,ISO.1
ATC-26,ISO.1
ATC-27,ISO.1
ATC-28,ISO.1
ATC-29,ISO.1
ATC-30,ISO.1
ATC-31,ISO.1
ATC-32,ISO.1
ATC-33,ISO.1
ATC-34,ISO.1
ATC-35,ISO.1
ATC-36,ISO.1
ATC-37,ISO.1
ATC-38,ISO.1
ATC-39,ISO.1
ATC-40,ISO.1
ATC-41,ISO.1
ATC-42,ISO.1
ATC-43,ISO.1
ATC-44,ISO.1
ATC-45,ISO.1
ATC-46,ISO.1
ATC-47,ISO.1
ATC-48,ISO.1
ATC-49,ISO.1
ATC-50,ISO.1
ATC-51,ISO.1
ATC-52,ISO.1
ATC-53,ISO.1
ATC-54,ISO.1
ATC-55,ISO.1
ATC-56,ISO.1
ATC-57,ISO.1
ATC-58,ISO.1
ATC-59,ISO.1
ATC-60,ISO.1
ATC-61,ISO.1
ATC-62,ISO.1
ATC-71,ISO.1
ATC-80,ISO.1
ATC-81,ISO.1
ATC-57A,ISO.1
ATC-57B,ISO.1
ATC-57C,ISO.1
ATC-57D,ISO.1
ATC-58A,ISO.1
ATC-58B,ISO.1
ATC-58C,ISO.1
ATC-58D,ISO.1
ATC-58E,ISO.1
ATC-59A,ISO.1
ATC-59B,ISO.1
ATC-59C,ISO.1
ATC-60A,ISO.1
ATC-60B,ISO.1
ATC-60C,ISO.1
ATC-61A,ISO.1
ATC-61B,ISO.1
ATC-61C,ISO.1
ATC-61D,ISO.1
ATC-62A,ISO.1
ATC-62B,ISO.1
ATC-72A,ISO.1
ATC-72B,ISO.1
ATC-72C,ISO.1
ATC-72D,ISO.1
ATC-72E,ISO.1
ATC-73A,ISO.2
ATC-73B,ISO.2
ATC-74A,ISO.4
ATC-74B,ISO.4
ATC-74C,ISO.4
ATC-74D,ISO.4
ATC-74E,ISO.4
ATC-74F,ISO.4
ATC-75A,ISO.6
ATC-75B,ISO.6
ATC-75C,ISO.6
ATC-75D,ISO.6
ATC-75E,ISO.6
ATC-75F,ISO.6
ATC-75G,ISO.6
ATC-75H,ISO.6
ATC-76A,ISO.6
ATC-76B,ISO.6
ATC-76C,ISO.6
ATC-76D,ISO.6
ATC-76E,ISO.6
ATC-76F,ISO.6
ATC-76G,ISO.6
ATC-76H,ISO.6
ATC-77A,ISO.6
ATC-77B,ISO.6
ATC-77C,ISO.6
ATC-77D,ISO.6
ATC-77E,ISO.6
ATC-77F,ISO.6
ATC-77G,ISO.6
ATC-77H,ISO.6
ATC-78A,ISO.5
ATC-78B,ISO.5
ATC-78C,ISO.5
ATC-78D,ISO.5
ATC-78E,ISO.5
ATC-78F,ISO.5
ATC-78G,ISO.5
ATC-78H,ISO.5
ATC-79A,ISO.5
ATC-79B,ISO.6
ATC-79C,ISO.7
ATC-79D,ISO.8
ATC-79E,ISO.9
ATC-79F,ISO.5
ATC-79G,ISO.5
ATC-79H,ISO.5
RMS-0,ISO.1
RMS-1,ISO.1
RMS-2,ISO.2
RMS-3,ISO.6
RMS-4,ISO.5
RMS-5,ISO.1
RMS-6,ISO.1
RMS-7,ISO.1
RMS-8,ISO.1
RMS-9,ISO.1
