Limit as proportion of TIV,WS1,EQ1
0.000000,0.000000,0.000000
0.000100,0.002300,0.000700
0.001000,0.023500,0.007300
0.001100,0.025800,0.008000
0.001200,0.028200,0.008800
0.001300,0.030500,0.009500
0.001400,0.032900,0.010200
0.001500,0.035200,0.010900
0.001600,0.037600,0.011700
0.001700,0.039900,0.012400
0.001800,0.042300,0.013100
0.001900,0.044600,0.013900
0.002000,0.047000,0.014600
0.002100,0.049300,0.015300
0.002200,0.051700,0.016100
0.002300,0.054000,0.016800
0.002400,0.056400,0.017500
0.002500,0.058700,0.018200
0.002600,0.061100,0.019000
0.002700,0.063400,0.019700
0.002800,0.065800,0.020400
0.002900,0.068100,0.021200
0.003000,0.070500,0.021900
0.003100,0.072800,0.022600
0.003200,0.075200,0.023400
0.003300,0.077500,0.024100
0.003400,0.079900,0.024800
0.003500,0.082200,0.025500
0.003600,0.084600,0.026300
0.003700,0.086900,0.027000
0.003800,0.089300,0.027700
0.003900,0.091600,0.028500
0.004000,0.094000,0.029200
0.004100,0.096300,0.029900
0.004200,0.098700,0.030700
0.004300,0.101000,0.031400
0.004400,0.103400,0.032100
0.004500,0.105700,0.032800
0.004600,0.108100,0.033600
0.004700,0.110400,0.034300
0.004800,0.112800,0.035000
0.004900,0.115100,0.035800
0.005000,0.117500,0.036500
0.005100,0.119800,0.037200
0.005200,0.122200,0.038000
0.005300,0.124500,0.038700
0.005400,0.126900,0.039400
0.005500,0.129200,0.040100
0.005600,0.131600,0.040900
0.005700,0.133900,0.041600
0.005800,0.136300,0.042300
0.005900,0.138600,0.043100
0.006000,0.141000,0.043800
0.006100,0.143300,0.044500
0.006200,0.145700,0.045300
0.006300,0.148000,0.046000
0.006400,0.150400,0.046700
0.006500,0.152700,0.047400
0.006600,0.155100,0.048200
0.006700,0.157400,0.048900
0.006800,0.159800,0.049600
0.006900,0.162100,0.050400
0.007000,0.164500,0.051100
0.007100,0.166800,0.051800
0.007200,0.169200,0.052600
0.007300,0.171500,0.053300
0.007400,0.173900,0.054000
0.007500,0.176200,0.054700
0.007600,0.178600,0.055500
0.007700,0.180900,0.056200
0.007800,0.183300,0.056900
0.007900,0.185600,0.057700
0.008000,0.188000,0.058400
0.008100,0.190300,0.059100
0.008200,0.192700,0.059900
0.008300,0.195000,0.060600
0.008400,0.197400,0.061300
0.008500,0.199700,0.062000
0.008600,0.202100,0.062800
0.008700,0.204400,0.063500
0.008800,0.206800,0.064200
0.008900,0.209100,0.065000
0.009000,0.211500,0.065700
0.009100,0.213800,0.066400
0.009200,0.216200,0.067200
0.009300,0.218500,0.067900
0.009400,0.220900,0.068600
0.009500,0.223200,0.069300
0.009600,0.225600,0.070100
0.009700,0.227900,0.070800
0.009800,0.230300,0.071500
0.009900,0.232600,0.072300
0.010000,0.235000,0.073000
0.011000,0.251000,0.077500
0.012000,0.267000,0.082100
0.013000,0.283000,0.086600
0.014000,0.299000,0.091100
0.015000,0.315000,0.095600
0.016000,0.331000,0.100200
0.017000,0.347000,0.104700
0.018000,0.363000,0.109200
0.019000,0.379000,0.113700
0.020000,0.395000,0.118300
0.021000,0.407000,0.122700
0.022000,0.419000,0.127100
0.023000,0.431000,0.131500
0.024000,0.443000,0.135900
0.025000,0.455000,0.140400
0.026000,0.467000,0.144800
0.027000,0.479000,0.149200
0.028000,0.491000,0.153600
0.029000,0.503000,0.158000
0.030000,0.515000,0.162400
0.031000,0.523500,0.166200
0.032000,0.532000,0.169900
0.033000,0.540500,0.173600
0.034000,0.549000,0.177300
0.035000,0.557500,0.181000
0.036000,0.566000,0.184700
0.037000,0.574500,0.188400
0.038000,0.583000,0.192100
0.039000,0.591500,0.195800
0.040000,0.600000,0.199600
0.041000,0.606000,0.203200
0.042000,0.612000,0.206800
0.043000,0.618000,0.210400
0.044000,0.624000,0.214000
0.045000,0.630000,0.217700
0.046000,0.636000,0.221300
0.047000,0.642000,0.224900
0.048000,0.648000,0.228500
0.049000,0.654000,0.232100
0.050000,0.660000,0.235800
0.051000,0.664700,0.238700
0.052000,0.669500,0.241700
