Index,OccupancyGroup,BUILDING,CONTENTS
[NATIONAL]BUILDINGS,1.0,0.00000,0.00000
[NATIONAL]CONTRACTORS,14.0,0.00000,0.00000
[NATIONAL]INDUST-PROC - HIGH,10.0,0.00000,0.00000
[NATIONAL]INDUST-PROC - LOW,11.0,0.00000,0.00000
[NATIONAL]INSTITUTIONAL - HIGH,8.0,0.00000,0.00000
[NATIONAL]INSTITUTIONAL - LOW,0.0,0.00000,0.00000
[NATIONAL]MERCANTILE - HIGH,4.0,0.00000,0.00000
[NATIONAL]MERCANTILE - LOW,6.0,0.00000,0.00000
[NATIONAL]MERCANTILE - MEDIUM,5.0,0.00000,0.00000
[NATIONAL]MOTELS AND HOTELS,7.0,0.00000,0.00000
[NATIONAL]OFFICES,3.0,0.00000,0.00000
[NATIONAL]RES APTS AND CONDOS,2.0,0.00000,0.00000
[NATIONAL]SERVICE - HIGH,12.0,0.00000,0.00000
[NATIONAL]SERVICE - LOW,13.0,0.00000,0.00000
ALABAMABUILDINGS,1.0,0.06750,0.00000
ALABAMACONTRACTORS,14.0,0.00000,0.33750
ALABAMAINDUST-PROC - HIGH,10.0,0.00000,0.27300
ALABAMAINDUST-PROC - LOW,11.0,0.00000,0.21600
ALABAMAINSTITUTIONAL - HIGH,8.0,0.00000,0.12000
ALABAMAINSTITUTIONAL - LOW,0.0,0.00000,0.07800
ALABAMAMERCANTILE - HIGH,4.0,0.00000,0.24600
ALABAMAMERCANTILE - LOW,6.0,0.00000,0.16650
ALABAMAMERCANTILE - MEDIUM,5.0,0.00000,0.22650
ALABAMAMOTELS AND HOTELS,7.0,0.00000,0.12150
ALABAMAOFFICES,3.0,0.00000,0.17400
ALABAMARES APTS AND CONDOS,2.0,0.00000,0.23250
ALABAMASERVICE - HIGH,12.0,0.00000,0.22050
ALABAMASERVICE - LOW,13.0,0.00000,0.17400
ALASKABUILDINGS,1.0,0.05900,0.00000
ALASKACONTRACTORS,14.0,0.00000,0.15100
ALASKAINDUST-PROC - HIGH,10.0,0.00000,0.13000
