TIV,ISO.1,ISO.2,ISO.3,ISO.4,ISO.5,ISO.6
0,2.5,2.5,2.5,2.5,2.5,2.5
10000,2,2,2,2,2,2
20000,1.5,1.5,1.5,1.5,1.5,1.5
30000,1.25,1.25,1.25,1.25,1.25,1.25
40000,1.075,1.075,1.075,1.075,1.075,1.075
50000,1,1,1,1,1,1
60000,0.972,0.972,0.972,0.968,0.968,0.968
70000,0.949,0.949,0.949,0.943,0.943,0.943
80000,0.929,0.929,0.929,0.921,0.921,0.921
90000,0.912,0.912,0.912,0.902,0.902,0.902
100000,0.898,0.898,0.898,0.885,0.885,0.885
125000,0.867,0.867,0.867,0.851,0.851,0.851
150000,0.842,0.842,0.842,0.824,0.824,0.824
175000,0.822,0.822,0.822,0.802,0.802,0.802
200000,0.806,0.806,0.806,0.783,0.783,0.783
225000,0.791,0.791,0.791,0.767,0.767,0.767
250000,0.778,0.778,0.778,0.753,0.753,0.753
275000,0.766,0.766,0.766,0.741,0.741,0.741
300000,0.756,0.756,0.756,0.73,0.73,0.73
325000,0.747,0.747,0.747,0.719,0.719,0.719
350000,0.738,0.738,0.738,0.71,0.71,0.71
375000,0.73,0.73,0.73,0.701,0.701,0.701
400000,0.723,0.723,0.723,0.694,0.694,0.694
425000,0.716,0.716,0.716,0.686,0.686,0.686
450000,0.71,0.71,0.71,0.679,0.679,0.679
475000,0.704,0.704,0.704,0.673,0.673,0.673
500000,0.698,0.698,0.698,0.667,0.667,0.667
550000,0.688,0.688,0.688,0.656,0.656,0.656
600000,0.679,0.679,0.679,0.646,0.646,0.646
650000,0.67,0.67,0.67,0.637,0.637,0.637
700000,0.663,0.663,0.663,0.628,0.628,0.628
750000,0.655,0.655,0.655,0.621,0.621,0.621
800000,0.649,0.649,0.649,0.614,0.614,0.614
850000,0.643,0.643,0.643,0.607,0.607,0.607
900000,0.637,0.637,0.637,0.601,0.601,0.601
950000,0.632,0.632,0.632,0.596,0.596,0.596
1000000,0.627,0.627,0.627,0.59,0.59,0.59
1100000,0.617,0.617,0.617,0.58,0.58,0.58
1200000,0.609,0.609,0.609,0.572,0.572,0.572
1300000,0.602,0.602,0.602,0.564,0.564,0.564
1400000,0.595,0.595,0.595,0.556,0.556,0.556
1500000,0.588,0.588,0.588,0.55,0.55,0.55
1600000,0.582,0.582,0.582,0.543,0.543,0.543
1700000,0.577,0.577,0.577,0.538,0.538,0.538
1800000,0.572,0.572,0.572,0.532,0.532,0.532
1900000,0.567,0.567,0.567,0.527,0.527,0.527
2000000,0.562,0.562,0.562,0.522,0.522,0.522
2500000,0.543,0.543,0.543,0.502,0.502,0.502
3000000,0.528,0.528,0.528,0.486,0.486,0.486
3500000,0.515,0.515,0.515,0.473,0.473,0.473
4000000,0.505,0.505,0.505,0.462,0.462,0.462
4500000,0.496,0.496,0.496,0.453,0.453,0.453
5000000,0.488,0.488,0.488,0.445,0.445,0.445
9E+12,0.488,0.488,0.488,0.445,0.445,0.445
