TIV,Florida,Non-Southeast,Southeast
0,1.7500,1.7500,1.7500
50000,1.5130,1.5130,1.3300
75000,1.3630,1.3630,1.2380
100000,1.2660,1.2660,1.1760
125000,1.1950,1.1950,1.1310
150000,1.1400,1.1400,1.0950
175000,1.0960,1.0960,1.0650
200000,1.0590,1.0590,1.0400
225000,1.0270,1.0270,1.0190
250000,1.0000,1.0000,1.0000
275000,0.9760,0.9760,0.9830
300000,0.9540,0.9540,0.9680
325000,0.9350,0.9350,0.9550
350000,0.9170,0.9170,0.9420
375000,0.9010,0.9010,0.9310
400000,0.8860,0.8860,0.9200
425000,0.8720,0.8720,0.9100
450000,0.8600,0.8600,0.9010
475000,0.8480,0.8480,0.8920
500000,0.8370,0.8370,0.8840
550000,0.8160,0.8160,0.8700
600000,0.7980,0.7980,0.8560
650000,0.7820,0.7820,0.8440
700000,0.7670,0.7670,0.8330
750000,0.7540,0.7540,0.8230
800000,0.7410,0.7410,0.8140
850000,0.7300,0.7300,0.8050
900000,0.7190,0.7190,0.7970
950000,0.7090,0.7090,0.7890
1000000,0.7000,0.7000,0.7820
1250000,0.6610,0.6610,0.7520
1500000,0.6310,0.6310,0.7280
1750000,0.6060,0.6060,0.7080
2000000,0.5860,0.5860,0.6920
2250000,0.5680,0.5680,0.6770
2500000,0.5530,0.5530,0.6650
2750000,0.5400,0.5400,0.6540
3000000,0.5280,0.5280,0.6440
3250000,0.5170,0.5170,0.6350
3500000,0.5070,0.5070,0.6260
3750000,0.4980,0.4980,0.6190
4000000,0.4900,0.4900,0.6120
4250000,0.4820,0.4820,0.6050
4500000,0.4750,0.4750,0.5990
4750000,0.4690,0.4690,0.5930
5000000,0.4630,0.4630,0.5880
5500000,0.4510,0.4510,0.5780
6000000,0.4410,0.4410,0.5690
6500000,0.4320,0.4320,0.5610
7000000,0.4240,0.4240,0.5540
7500000,0.4170,0.4170,0.5470
8000000,0.4100,0.4100,0.5410
8500000,0.4040,0.4040,0.5350
9000000,0.3980,0.3980,0.5300
9500000,0.3920,0.3920,0.5250
10000000,0.3870,0.3870,0.5200
9E+12,0.3870,0.3870,0.5200
