TIV,Factors
0,2.5000
50000,2.0000
75000,1.6000
100000,1.3000
125000,1.1740
150000,1.1260
175000,1.0860
200000,1.0530
225000,1.0250
250000,1.0000
275000,0.9780
300000,0.9590
325000,0.9410
350000,0.9250
375000,0.9100
400000,0.8970
425000,0.8840
450000,0.8730
475000,0.8620
500000,0.8510
550000,0.8330
600000,0.8160
650000,0.8010
700000,0.7880
750000,0.7750
800000,0.7630
850000,0.7530
900000,0.7430
950000,0.7340
1000000,0.7250
1250000,0.6880
1500000,0.6600
1750000,0.6370
2000000,0.6170
2250000,0.6010
2500000,0.5860
2750000,0.5730
3000000,0.5620
3250000,0.5520
3500000,0.5420
3750000,0.5340
4000000,0.5260
4250000,0.5180
4500000,0.5110
4750000,0.5050
5000000,0.4990
5500000,0.4880
6000000,0.4780
6500000,0.4700
7000000,0.4620
7500000,0.4540
8000000,0.4480
8500000,0.4410
9000000,0.4350
9500000,0.4300
10000000,0.4250
9E+12,0.4250
