TIV,Factors
0,2.5000
10000,2.0000
20000,1.6000
30000,1.2000
40000,1.0790
50000,1.0000
60000,0.9400
70000,0.8920
80000,0.8520
90000,0.8190
100000,0.7900
125000,0.7320
150000,0.6880
175000,0.6530
200000,0.6240
225000,0.6000
250000,0.5790
275000,0.5600
300000,0.5440
325000,0.5290
350000,0.5160
375000,0.5040
400000,0.4930
425000,0.4830
450000,0.4740
475000,0.4650
500000,0.4570
550000,0.4430
600000,0.4300
650000,0.4180
700000,0.4080
750000,0.3980
800000,0.3900
850000,0.3820
900000,0.3740
950000,0.3670
1000000,0.3610
1100000,0.3500
1200000,0.3390
1300000,0.3300
1400000,0.3220
1500000,0.3150
1600000,0.3080
1700000,0.3020
1800000,0.2960
1900000,0.2900
2000000,0.2850
2500000,0.2640
3000000,0.2490
3500000,0.2360
4000000,0.2250
4500000,0.2170
5000000,0.2090
9E+12,0.2090
