TIV,Florida,Non-Southeast,Southeast
0,2.750000000000000,2.750000000000000,2.000000000000000
50000,2.496699669967000,2.496699669967000,1.878531073446330
75000,2.249174917491750,2.249174917491750,1.748587570621470
100000,2.089108910891090,2.089108910891090,1.661016949152540
125000,1.971947194719470,1.971947194719470,1.597457627118640
150000,1.881188118811880,1.881188118811880,1.546610169491530
175000,1.808580858085810,1.808580858085810,1.504237288135590
200000,1.747524752475250,1.747524752475250,1.468926553672320
225000,1.694719471947190,1.694719471947190,1.439265536723160
250000,1.650165016501650,1.650165016501650,1.412429378531070
275000,1.610561056105610,1.610561056105610,1.388418079096050
300000,1.574257425742570,1.574257425742570,1.367231638418080
325000,1.542904290429040,1.542904290429040,1.348870056497180
350000,1.513201320132010,1.513201320132010,1.330508474576270
375000,1.486798679867990,1.486798679867990,1.314971751412430
400000,1.462046204620460,1.462046204620460,1.299435028248590
425000,1.438943894389440,1.438943894389440,1.285310734463280
450000,1.419141914191420,1.419141914191420,1.272598870056500
475000,1.399339933993400,1.399339933993400,1.259887005649720
500000,1.381188118811880,1.381188118811880,1.248587570621470
550000,1.346534653465350,1.346534653465350,1.228813559322030
600000,1.316831683168320,1.316831683168320,1.209039548022600
650000,1.290429042904290,1.290429042904290,1.192090395480230
700000,1.265676567656770,1.265676567656770,1.176553672316380
750000,1.244224422442240,1.244224422442240,1.162429378531070
800000,1.222772277227720,1.222772277227720,1.149717514124290
850000,1.204620462046200,1.204620462046200,1.137005649717510
900000,1.186468646864690,1.186468646864690,1.125706214689270
950000,1.169966996699670,1.169966996699670,1.114406779661020
1000000,1.155115511551160,1.155115511551160,1.104519774011300
1250000,1.090759075907590,1.090759075907590,1.062146892655370
1500000,1.041254125412540,1.041254125412540,1.028248587570620
1750000,1.000000000000000,1.000000000000000,1.000000000000000
2000000,0.966996699669967,0.966996699669967,0.977401129943503
2250000,0.937293729372937,0.937293729372937,0.956214689265537
2500000,0.912541254125413,0.912541254125413,0.939265536723164
2750000,0.891089108910891,0.891089108910891,0.923728813559322
3000000,0.871287128712871,0.871287128712871,0.909604519774011
3250000,0.853135313531353,0.853135313531353,0.896892655367232
3500000,0.836633663366337,0.836633663366337,0.884180790960452
3750000,0.821782178217822,0.821782178217822,0.874293785310735
4000000,0.808580858085809,0.808580858085809,0.864406779661017
4250000,0.795379537953795,0.795379537953795,0.854519774011299
4500000,0.783828382838284,0.783828382838284,0.846045197740113
4750000,0.773927392739274,0.773927392739274,0.837570621468927
5000000,0.764026402640264,0.764026402640264,0.830508474576271
5500000,0.744224422442244,0.744224422442244,0.816384180790960
6000000,0.727722772277228,0.727722772277228,0.803672316384181
6500000,0.712871287128713,0.712871287128713,0.792372881355932
7000000,0.699669966996700,0.699669966996700,0.782485875706215
7500000,0.688118811881188,0.688118811881188,0.772598870056497
8000000,0.676567656765677,0.676567656765677,0.764124293785311
8500000,0.666666666666667,0.666666666666667,0.755649717514124
9000000,0.656765676567657,0.656765676567657,0.748587570621469
9500000,0.646864686468647,0.646864686468647,0.741525423728814
10000000,0.638613861386139,0.638613861386139,0.734463276836158
9E+12,0.638613861386139,0.638613861386139,0.734463276836158
