StateCounty,FL,WF,TN,HA
AKAleutians East Borough,2.24000000000000,1.00000000000000,1.00000000000000,1.00000000000000
AKAleutians West Census Area,0.84848484848485,1.00000000000000,1.00000000000000,1.00000000000000
AKAnchorage Municipality,3.02424242424242,1.00000000000000,1.00000000000000,1.00000000000000
AKBethel Census Area,5.58390804597701,1.17241379310345,1.00000000000000,1.00000000000000
AKBristol Bay Borough,3.84444444444444,1.00000000000000,1.00000000000000,1.00000000000000
AKDenali Borough,0.76000000000000,7.80000000000000,1.00000000000000,1.00000000000000
AKDillingham Census Area,5.27500000000000,1.00000000000000,1.00000000000000,1.00000000000000
AKFairbanks North Star Borough,3.79166666666667,2.85937500000000,1.00000000000000,1.00000000000000
AKHaines Borough,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000
AKHoonah-Angoon Census Area,2.67777777777778,1.50000000000000,1.00000000000000,1.00000000000000
AKJuneau Borough,3.13333333333333,1.00000000000000,1.00000000000000,1.00000000000000
AKKenai Peninsula Borough,2.45882352941177,1.50000000000000,1.00000000000000,1.00000000000000
AKKetchikan Gateway Borough,0.60000000000000,1.00000000000000,1.00000000000000,1.00000000000000
AKKodiak Island Borough,3.66666666666667,1.75000000000000,1.00000000000000,1.00000000000000
AKKusilvak,5.58390804597701,1.17241379310345,1.00000000000000,1.00000000000000
AKMatanuska-Susitna Borough,2.67179487179487,1.00000000000000,1.00000000000000,1.00000000000000
AKNome Census Area,1.63333333333333,1.42857142857143,1.00000000000000,1.00000000000000
AKNorth Slope Borough,3.64000000000000,1.00000000000000,1.00000000000000,1.00000000000000
AKNorthwest Arctic Borough,1.80606060606061,1.95454545454545,1.00000000000000,1.00000000000000
AKPeninsula And Lake Borough,2.24000000000000,1.00000000000000,1.00000000000000,1.00000000000000
AKPetersburg Census Area,3.13333333333333,1.00000000000000,1.00000000000000,1.00000000000000
AKPrince Of Wales-Hyder Census Area,4.19259259259259,1.00000000000000,1.00000000000000,1.00000000000000
