TIV_Band,Construction_Code,Fire,FL,TN,HA,WF,EQ,WS,WTS
0,ISO.1,MH4,EQ1,EQ1,MH4,MH4,EQ1,WS3,MH4
25000000,ISO.1,MH4,EQ1,EQ1,MH4,MH4,EQ1,WS3,MH4
75000000,ISO.1,M3,EQ1,EQ1,M3,M3,EQ1,WS3,M3
150000000,ISO.1,M3,EQ1,EQ1,M3,M3,EQ1,WS3,M3
250000000,ISO.1,L2,EQ1,EQ1,L2,L2,EQ1,WS3,L2
0,ISO.2,MH4,EQ1,EQ1,MH4,MH4,EQ1,WS3,MH4
25000000,ISO.2,MH4,EQ1,EQ1,MH4,MH4,EQ1,WS3,MH4
75000000,ISO.2,M3,EQ1,EQ1,M3,M3,EQ1,WS3,M3
150000000,ISO.2,M3,EQ1,EQ1,M3,M3,EQ1,WS3,M3
250000000,ISO.2,L2,EQ1,EQ1,L2,L2,EQ1,WS3,L2
0,ISO.3,MH4,EQ1,EQ1,MH4,MH4,EQ1,WS3,MH4
25000000,ISO.3,MH4,EQ1,EQ1,MH4,MH4,EQ1,WS3,MH4
75000000,ISO.3,M3,EQ1,EQ1,M3,M3,EQ1,WS3,M3
150000000,ISO.3,L2,EQ1,EQ1,L2,L2,EQ1,WS3,L2
250000000,ISO.3,L2,EQ1,EQ1,L2,L2,EQ1,WS3,L2
0,ISO.4,MH4,EQ1,EQ1,MH4,MH4,EQ1,WS3,MH4
25000000,ISO.4,M3,EQ1,EQ1,M3,M3,EQ1,WS3,M3
75000000,ISO.4,M3,EQ1,EQ1,M3,M3,EQ1,WS3,M3
150000000,ISO.4,L2,EQ1,EQ1,L2,L2,EQ1,WS3,L2
250000000,ISO.4,VL1,EQ1,EQ1,VL1,VL1,EQ1,WS3,VL1
0,ISO.5,M3,EQ1,EQ1,M3,M3,EQ1,WS3,M3
25000000,ISO.5,M3,EQ1,EQ1,M3,M3,EQ1,WS3,M3
75000000,ISO.5,L2,EQ1,EQ1,L2,L2,EQ1,WS3,L2
150000000,ISO.5,VL1,EQ1,EQ1,VL1,VL1,EQ1,WS3,VL1
250000000,ISO.5,VL1,EQ1,EQ1,VL1,VL1,EQ1,WS3,VL1
0,ISO.6,M3,EQ1,EQ1,M3,M3,EQ1,WS3,M3
25000000,ISO.6,L2,EQ1,EQ1,L2,L2,EQ1,WS3,L2
75000000,ISO.6,VL1,EQ1,EQ1,VL1,VL1,EQ1,WS3,VL1
150000000,ISO.6,VL1,EQ1,EQ1,VL1,VL1,EQ1,WS3,VL1
250000000,ISO.6,VL1,EQ1,EQ1,VL1,VL1,EQ1,WS3,VL1
