"Path","Name","Type","Mode","Optionality","Label","Default Value"
"hx_core/inception_date","inception_date","date","input","required","Inception Date","2018-01-01"
"hx_core/expiry_date","expiry_date","date","input","required","Expiry Date","2018-12-31"
"hx_core/model_premium","model_premium","float","output","n/a","Model Premium","n/a"
"hx_core/charged_premium","charged_premium","float","output","n/a","Charged Premium","n/a"
"hx_core/premium_currency","premium_currency","str","output","n/a","Premium Currency","n/a"
"hx_core/ulr","ulr","float","output","n/a","ULR","n/a"
"hx_core/class_code","class_code","str","output","n/a","Class Code","n/a"
"hx_core","hx_core","structure","n/a","n/a","n/a","n/a"
"cds/key_industry/code_type","code_type","str","input","optional","Industry Code Type","None"
"cds/key_industry/code","code","str","input","optional","Industry Code","None"
"cds/key_industry/code_name","code_name","str","input","optional","Industry Code Name","None"
"cds/key_industry","key_industry","structure","n/a","n/a","n/a","n/a"
"cds/exposure/granular/crcf/sum_insured","sum_insured","float","output","n/a","Gross Sum Insured","n/a"
"cds/exposure/granular/crcf/indemnity","indemnity","float","input","optional","Indemnity (%)","None"
"cds/exposure/granular/crcf/waiting_period","waiting_period","float","input","optional","Waiting Period (d)","None"
"cds/exposure/granular/crcf/pre_shipment_risk","pre_shipment_risk","str","input","required","Pre-Shipment Risk","No"
"cds/exposure/granular/crcf/pre_shipment_risk_show_hide","pre_shipment_risk_show_hide","bool","output","n/a","Not set","n/a"
"cds/exposure/granular/crcf/pre_shipment_amt","pre_shipment_amt","float","input","optional","Pre-Shipment Percent","None"
"cds/exposure/granular/crcf/pst_shipment_amt","pst_shipment_amt","float","output","n/a","Post-Shipment Percent","n/a"
"cds/exposure/granular/crcf/load_amt_basis","load_amt_basis","str","input","optional","Amount at Risk - basis","Step"
"cds/exposure/granular/crcf/load_amt_flat","load_amt_flat","float","input","optional","Flat Sum Insured","None"
"cds/exposure/granular/crcf/load_amt_step_opening_si","load_amt_step_opening_si","float","input","optional","Opening Sum Insured","None"
"cds/exposure/granular/crcf/load_amt_step_grace_period","load_amt_step_grace_period","int","input","optional","Grace Period (months)","None"
