Rating,Score,Fair Economic Environment,Slowing Economic Environment,Recessionary Economic Environment
AAA,21,1,1,1
AA+,20,0.836660027,1,2.34520788
AA,19,0.7,1,5.5
AA-,18,0.731861142,1,4.819208332
A+,17,0.765172473,1,4.222685263
A,16,0.8,1,3.7
A-,15,0.8,1.25992105,3.202862023
BBB+,14,0.8,1.587401052,2.772520307
BBB,13,0.8,2,2.4
BBB-,12,0.861773876,2,2.295517419
BB+,11,0.928317767,2,2.195583426
BB,10,1,2,2.1
BB-,9,1,1.775808003,2.031097306
B+,8,1,1.576747033,1.964455365
B,7,1,1.4,1.9
B-,6,1,1.365839939,1.716109831
CCC+,5,1,1.332513385,1.550017343
CCC,4,1,1.3,1.4
CCC-,3,1,1.3,1.4
CC,2,1,1.3,1.4
C,1,1,1.3,1.4
