Grade,Score,Value
AAA,21,0.000248734438934928
AA+,20,0.00063367965339602
AA,19,0.00161437195768918
AA-,18,0.00179411666458959
A+,17,0.0019938742065153
A,16,0.00221587281912709
A-,15,0.0029582907188269
BBB+,14,0.00394945228875767
BBB,13,0.00527269794070765
BBB-,12,0.00822217713914104
BB+,11,0.0128215569462984
BB,10,0.0199937704752913
BB-,9,0.0273300257309436
B+,8,0.0373581514990938
B,7,0.0510658678908261
B-,6,0.0678129319852428
CCC+,5,0.0900521999208261
CCC,4,0.119584841315299
CCC-,3,0.171001373917701
CC,2,0.244524887603797
C,1,0.349660469315447
D,0,1
