country,risk_name,historic_updated_value,historic_updated_date
AD,BriberyAndCorruption,1,2025-01-20
AD,BriberyAndCorruption,1,2023-07-28
AD,BriberyAndCorruption,0.9,2018-02-19
AD,BriberyAndCorruption,1,2017-05-01
AD,CapitalTransfer,0.3,2021-08-04
AD,CivilWar,0.2,2025-01-20
AD,CivilWar,0.2,2023-07-28
AD,CivilWar,0.1,2022-06-06
AD,CivilWar,0.1,2020-10-26
AD,CivilWar,0.1,2018-09-03
AD,CivilWar,0.1,2017-08-14
AD,ContractAlteration,0.6,2025-01-20
AD,ContractAlteration,0.7,2023-07-28
AD,ContractAlteration,0.7,2022-06-06
AD,ContractAlteration,0.7,2019-02-11
AD,ContractAlteration,0.6,2018-08-06
AD,ContractAlteration,0.3,2018-01-15
AD,ContractAlteration,0.4,2017-05-01
AD,ContractEnforcement,0.7,2025-01-20
AD,ContractEnforcement,0.8,2023-07-28
AD,ContractEnforcement,0.8,2022-06-06
AD,ContractEnforcement,0.3,2017-09-05
AD,ContractEnforcement,0.2,2017-05-01
AD,ContractEnforcement,0.3,2017-03-06
AD,CurrencyDepreciation,2.9,2025-02-05
AD,CurrencyDepreciation,3.1,2024-11-12
AD,CurrencyDepreciation,3.5,2024-05-13
AD,CurrencyDepreciation,3.2,2023-11-06
AD,CurrencyDepreciation,3,2023-08-02
AD,CurrencyDepreciation,2.8,2023-05-04
AD,CurrencyDepreciation,3.2,2023-02-07
AD,CurrencyDepreciation,3.6,2022-11-03
AD,CurrencyDepreciation,4.3,2022-08-04
AD,CurrencyDepreciation,2.9,2022-05-06
AD,CurrencyDepreciation,2.2,2021-11-05
AD,CurrencyDepreciation,2.1,2021-05-06
AD,CurrencyDepreciation,1.7,2021-02-03
AD,CurrencyDepreciation,1.8,2020-11-05
AD,CurrencyDepreciation,1.6,2020-08-06
AD,CurrencyDepreciation,2.3,2020-05-05
AD,CurrencyDepreciation,2.1,2017-05-09
AD,Economic,1.9,2024-11-12
AD,Economic,2,2024-05-13
AD,Economic,1.9,2023-08-02
AD,Economic,1.8,2023-05-04
AD,Economic,1.9,2023-02-07
AD,Economic,2.2,2022-08-04
AD,Economic,1.9,2022-05-06
AD,Economic,1.3,2021-11-05
AD,Economic,1.1,2021-08-04
AD,Economic,1.2,2021-05-10
AD,Economic,1.1,2021-05-06
AD,Economic,1.2,2021-02-03
AD,Economic,1.1,2020-08-06
AD,Economic,2.3,2020-05-05
AD,Economic,2.2,2020-04-23
AD,Economic,0.8,2017-05-09
AD,Economic,0.9,2015-05-12
AD,Expropriation,0.3,2025-01-20
AD,Expropriation,0.3,2023-07-28
AD,Expropriation,0.2,2022-06-06
AD,Expropriation,0.2,2018-01-15
AD,Expropriation,0.2,2017-03-06
AD,GovernmentStability,1.3,2025-01-20
AD,GovernmentStability,1.4,2023-07-28
AD,GovernmentStability,1.6,2022-06-06
AD,GovernmentStability,1.4,2021-02-22
AD,GovernmentStability,1,2020-10-26
AD,GovernmentStability,1,2019-02-11
AD,GovernmentStability,0.8,2018-02-05
AD,GovernmentStability,0.4,2018-01-08
AD,GovernmentStability,0.4,2017-05-22
AD,Inflation,2.9,2024-11-12
AD,Inflation,3.1,2024-05-13
AD,Inflation,3,2024-02-08
AD,Inflation,2.8,2023-08-02
AD,Inflation,2.9,2023-05-04
