Industry,Industry Group
Advanced Medical Equipment (Healthcare ),Healthcare
Advertising & Marketing (Cyclical Consumer),Cyclical Consumer Goods & Services
Aerospace & Defense (Industrials ),Industrials
Agricultural Chemicals (Basic Materials),Basic Materials
Air Freight & Courier Services (Industrials ),Industrials
Airlines (Industrials ),Industrials
Airport Services (Industrials ),Industrials
Aluminium (Basic Materials),Basic Materials
Apparel & Accessories (Cyclical Consumer),Cyclical Consumer Goods & Services
Apparel & Accessories Retail (Cyclical Consumer),Cyclical Consumer Goods & Services
"Appliances, Tools and Housewares (Cyclical Cons.)",Cyclical Consumer Goods & Services
Auto & Truck Manufacturers (Cyclical Consumer),Cyclical Consumer Goods & Services
"Auto Vehicles, Parts & Service Retail (Cyclical)",Cyclical Consumer Goods & Services
"Auto, Truck & M'cycle Parts (Cyclical Consumer)",Cyclical Consumer Goods & Services
Banks (Financials),Financials
Biotechnology & Medical Research (Healthcare ),Healthcare
Brewers (Non-Cyclical Consumer Goods & Services),Non-Cyclical Consumer Goods & Services
Broadcasting (Cyclical Consumer),Cyclical Consumer Goods & Services
Business Support Services (Industrials ),Industrials
Casinos & Gaming (Cyclical Consumer),Cyclical Consumer Goods & Services
Coal (Energy ),Energy
Cocoa / Coffee (Non-Cyclical Consumer),Non-Cyclical Consumer Goods & Services
Commercial Printing Services (Industrials ),Industrials
Commodity Chemicals (Basic Materials),Basic Materials
Communications Equipment (Technology ),Technology
Computer & Electronics Retail (Cyclical Consumer),Cyclical Consumer Goods & Services
Computer Hardware (Technology ),Technology
Construction & Engineering (Industrials ),Industrials
Construction Materials (Basic Materials),Basic Materials
Construction Supplies & Fixtures (Cyclical Cons.),Cyclical Consumer Goods & Services
Consumer Electronics (Cyclical Consumer),Cyclical Consumer Goods & Services
Consumer Financial Services (Financials),Financials
Copper (Basic Materials),Basic Materials
Cotton (Cyclical Consumer Goods & Services ),Cyclical Consumer Goods & Services
Department Stores (Cyclical Consumer),Cyclical Consumer Goods & Services
Discount Stores (Cyclical Consumer),Cyclical Consumer Goods & Services
Distillers & Wineries (Non-Cyclical Consumer),Non-Cyclical Consumer Goods & Services
Diversified Chemicals (Basic Materials),Basic Materials
Diversified Financial Services (Financials),Financials
Diversified Investment Services (Financials),Financials
Diversified Media (Cyclical Consumer),Cyclical Consumer Goods & Services
Diversified Pharmaceuticals (Healthcare ),Healthcare
Diversified Trading & Distributing (Industrials ),Industrials
Drug Retailers (Non-Cyclical Consumer),Non-Cyclical Consumer Goods & Services
Electric Utilities (Utilities ),Utilities
Electrical Components & Equipment (Industrials ),Industrials
Employment Services (Industrials ),Industrials
Entertainment Production (Cyclical Consumer),Cyclical Consumer Goods & Services
Environmental Services (Industrials ),Industrials
Financial & Commodity Mkt Operators (Financials),Financials
Fishing & Farming (Non-Cyclical Consumer),Non-Cyclical Consumer Goods & Services
Food Dist.& Convenience Stores (Non-Cyclical),Non-Cyclical Consumer Goods & Services
Food Processing (Non-Cyclical Consumer),Non-Cyclical Consumer Goods & Services
Footwear (Cyclical Consumer Goods & Services ),Cyclical Consumer Goods & Services
Forest & Wood Products (Basic Materials),Basic Materials
"Freight Transportation, Ground (Industrials )",Industrials
"Freight Transportation, Marine (Industrials )",Industrials
Generic & Specialty Pharmaceuticals (Healthcare ),Healthcare
Grain (Non-Cyclical Consumer Goods & Services),Non-Cyclical Consumer Goods & Services
Healthcare Facilities & Services (Healthcare ),Healthcare
Heavy Electrical Equipment (Industrials ),Industrials
Heavy Machinery & Vehicles (Industrials ),Industrials
Highways & Rail Tracks (Industrials ),Industrials
Home Furnishing (Cyclical Consumer),Cyclical Consumer Goods & Services
Home Furnishings Retailers (Cyclical Consumer),Cyclical Consumer Goods & Services
Home Improvement Products & Services (Cyclical),Cyclical Consumer Goods & Services
Homebuilding (Cyclical Consumer),Cyclical Consumer Goods & Services
"Hotels, Motels & Cruise Lines (Cyclical Consumer)",Cyclical Consumer Goods & Services
Household Products (Non-Cyclical Consumer),Non-Cyclical Consumer Goods & Services
Industrial Conglomerates (Industrials ),Industrials
Industrial Machinery & Equipment (Industrials ),Industrials
Insurance Brokers (Financials),Financials
Integrated Oil & Gas (Energy ),Energy
Integrated Telecommunications Services (Telecoms),Telecom
Investment Banking & Brokerage (Financials),Financials
Investment Mgmt & Fund Operators (Financials),Financials
Investment Trusts (Financials),Financials
IT Services & Consulting (Technology ),Technology
Lead (Basic Materials),Basic Materials
Leisure & Recreation (Cyclical Consumer),Cyclical Consumer Goods & Services
Life & Health Insurance (Financials),Financials
