Industry,Manufacturing,Wholesale Trade,Retail Trade,All
Chemical/Pharma/Petrochem & Allied Products,1.50,1.75,1.75,0.00
Construction Materials,1.50,1.50,1.75,0.00
"Print Material, Paper/Stationery & Associated",1.25,1.25,1.25,0.00
Raw Materials & Fuels,1.25,1.25,1.50,0.00
Textile Mill Products,1.00,1.00,1.00,0.00
Weapons & Ammunition,1.75,2.00,2.00,0.00
Trade: General Merchandise,1.00,1.75,1.75,0.00
Consumable Goods: Alcohol & Tobacco,2.00,2.00,2.00,0.00
Consumable Goods: Food & Perishable,1.75,1.75,1.75,0.00
Finished Goods: Apparel & Accessories,1.75,1.75,1.75,0.00
Finished Goods: Electronics & Computing,2.00,2.00,2.00,0.00
Finished Goods: Heavy Equipment,1.50,1.50,1.50,0.00
Finished Goods: Home Goods/Decor & Recreation,1.25,1.25,1.50,0.00
Finished Goods: Luxury Goods,2.00,2.00,2.00,0.00
Finished Goods: Precision Equipment,1.25,1.25,1.50,0.00
Finished Goods: Specialized Products,1.25,1.25,1.25,0.00
"Finished Goods: Vehicles, Vessels & Transport Equipment",1.50,1.50,1.50,0.00
Other Goods,1.50,1.50,1.50,0.00
"Agriculture, Forestry & Hunting/Fishing",0.00,0.00,0.00,1.00
Armored Car & Security Services,0.00,0.00,0.00,3.00
"Building Maintenance, Waste Removal & Pest Control",0.00,0.00,0.00,1.75
Construction,0.00,0.00,0.00,1.25
Funereal Services,0.00,0.00,0.00,1.25
Mining & Fuel Extraction,0.00,0.00,0.00,1.00
Utilities/Pipelines & Communication,0.00,0.00,0.00,1.00
Warehousing,0.00,0.00,0.00,1.50
Goods-Related: Equipment Rental,0.00,0.00,0.00,2.00
Goods-Related: Appliance & Large Item Repair,0.00,0.00,0.00,1.50
Goods-Related: Precision Repair,0.00,0.00,0.00,1.75
Hospitality: Casinos & Gambling,0.00,0.00,0.00,2.00
Hospitality: Eating and Drinking Places,0.00,0.00,0.00,1.75
Hospitality: Entertainment & Recreation (excl Gambling),0.00,0.00,0.00,1.50
Hospitality: Hotels & Temporary Lodging (excl Casinos),0.00,0.00,0.00,1.75
Personal: Hair & Beauty,0.00,0.00,0.00,1.50
"Personal: Laundry, Dry Cleaning & Associated",0.00,0.00,0.00,1.50
"Transportation: Airports, Marinas, Depots & Associated",0.00,0.00,0.00,1.50
Transportation: Automotive Services,0.00,0.00,0.00,1.75
Transportation: Freight Transport,0.00,0.00,0.00,2.50
Transportation: Transit/Passenger Transport,0.00,0.00,0.00,1.50
Membership Organizations,0.00,0.00,0.00,1.00
Public Administration & Social Services,0.00,0.00,0.00,1.00
"Non-Bank Credit & Trade Services (i.e., Pawn Shops, Currency Exchange)",0.00,0.00,0.00,1.50
Education: Colleges & Universities,0.00,0.00,0.00,1.25
Education: Grade School,0.00,0.00,0.00,1.50
Education: Professional training,0.00,0.00,0.00,2.00
Health Services: Hospitals,0.00,0.00,0.00,1.75
"Health Services: Offices, Clinics & Labs",0.00,0.00,0.00,1.75
Health Services: Skilled Care,0.00,0.00,0.00,1.25
"Professional Services: Accounting, Auditing & Tax Prep",0.00,0.00,0.00,1.25
"Professional Services: Architects, Engineers & Surveyors",0.00,0.00,0.00,1.25
Professional Services: Clerical & Employment Services,0.00,0.00,0.00,1.50
"Professional Services: Consulting, Legal, Logistics & Research",0.00,0.00,0.00,1.75
Professional Services: Computing Services & Information Mgmt,0.00,0.00,0.00,1.50
Professional Services: Insurance Brokerage/Services,0.00,0.00,0.00,1.75
Professional Services: Real Estate Agency & Services,0.00,0.00,0.00,1.50
Professional Services: Other,0.00,0.00,0.00,1.50
Other Services: Advertising/PR & Media Services,0.00,0.00,0.00,1.50
Other Services: Creative Services,0.00,0.00,0.00,1.50
Other Services: Photography & Graphics,0.00,0.00,0.00,4.50
Other Services: Misc,0.00,0.00,0.00,2.00
