SIC Code 2ch,SIC Code 4ch,Industry Description 2ch,Industry Description 4ch,Industry Group,Industry
01,0111,Agricultural Production - Crops,Wheat,In-Person Industries,"Agriculture, Forestry & Hunting/Fishing"
01,0112,Agricultural Production - Crops,Rice,In-Person Industries,"Agriculture, Forestry & Hunting/Fishing"
01,0115,Agricultural Production - Crops,Corn,In-Person Industries,"Agriculture, Forestry & Hunting/Fishing"
01,0116,Agricultural Production - Crops,Soybeans,In-Person Industries,"Agriculture, Forestry & Hunting/Fishing"
01,0119,Agricultural Production - Crops,"Cash Grains, NEC",In-Person Industries,"Agriculture, Forestry & Hunting/Fishing"
01,0131,Agricultural Production - Crops,Cotton,In-Person Industries,"Agriculture, Forestry & Hunting/Fishing"
01,0132,Agricultural Production - Crops,Tobacco,In-Person Industries,"Agriculture, Forestry & Hunting/Fishing"
01,0133,Agricultural Production - Crops,Sugarcane and Sugar Beets,In-Person Industries,"Agriculture, Forestry & Hunting/Fishing"
01,0134,Agricultural Production - Crops,Irish Potatoes,In-Person Industries,"Agriculture, Forestry & Hunting/Fishing"
01,0139,Agricultural Production - Crops,"Field Crops, Except Cash Grain",In-Person Industries,"Agriculture, Forestry & Hunting/Fishing"
01,0161,Agricultural Production - Crops,Vegetables and Melons,In-Person Industries,"Agriculture, Forestry & Hunting/Fishing"
01,0171,Agricultural Production - Crops,Berry Crops,In-Person Industries,"Agriculture, Forestry & Hunting/Fishing"
01,0172,Agricultural Production - Crops,Grapes,In-Person Industries,"Agriculture, Forestry & Hunting/Fishing"
01,0173,Agricultural Production - Crops,Tree Nuts,In-Person Industries,"Agriculture, Forestry & Hunting/Fishing"
01,0174,Agricultural Production - Crops,Citrus Fruits,In-Person Industries,"Agriculture, Forestry & Hunting/Fishing"
01,0175,Agricultural Production - Crops,Deciduous Tree Fruits,In-Person Industries,"Agriculture, Forestry & Hunting/Fishing"
01,0179,Agricultural Production - Crops,"Fruits and Tree Nuts, NEC",In-Person Industries,"Agriculture, Forestry & Hunting/Fishing"
01,0181,Agricultural Production - Crops,Ornamental Nursery Products,In-Person Industries,"Agriculture, Forestry & Hunting/Fishing"
01,0182,Agricultural Production - Crops,Food Crops Grown Under Cover,In-Person Industries,"Agriculture, Forestry & Hunting/Fishing"
01,0191,Agricultural Production - Crops,"General Farms, Primarily Crop",In-Person Industries,"Agriculture, Forestry & Hunting/Fishing"
02,0211,Agricultural Production - Livestock and Animal Specialties,Beef Cattle Feedlots,In-Person Industries,"Agriculture, Forestry & Hunting/Fishing"
02,0212,Agricultural Production - Livestock and Animal Specialties,"Beef Cattle, Except Feedlots",In-Person Industries,"Agriculture, Forestry & Hunting/Fishing"
02,0213,Agricultural Production - Livestock and Animal Specialties,Hogs,In-Person Industries,"Agriculture, Forestry & Hunting/Fishing"
02,0214,Agricultural Production - Livestock and Animal Specialties,Sheep and Goats,In-Person Industries,"Agriculture, Forestry & Hunting/Fishing"
02,0219,Agricultural Production - Livestock and Animal Specialties,"General Livestock, NEC",In-Person Industries,"Agriculture, Forestry & Hunting/Fishing"
02,0241,Agricultural Production - Livestock and Animal Specialties,Dairy Farms,In-Person Industries,"Agriculture, Forestry & Hunting/Fishing"
02,0251,Agricultural Production - Livestock and Animal Specialties,"Broiler, Fryer, and Roaster Chickens",In-Person Industries,"Agriculture, Forestry & Hunting/Fishing"
02,0252,Agricultural Production - Livestock and Animal Specialties,Chicken Eggs,In-Person Industries,"Agriculture, Forestry & Hunting/Fishing"
02,0253,Agricultural Production - Livestock and Animal Specialties,Turkeys and Turkey Eggs,In-Person Industries,"Agriculture, Forestry & Hunting/Fishing"
02,0254,Agricultural Production - Livestock and Animal Specialties,Poultry Hatcheries,In-Person Industries,"Agriculture, Forestry & Hunting/Fishing"
02,0259,Agricultural Production - Livestock and Animal Specialties,"Poultry and Eggs, NEC",In-Person Industries,"Agriculture, Forestry & Hunting/Fishing"
02,0271,Agricultural Production - Livestock and Animal Specialties,Fur-bearing Animals and Rabbits,In-Person Industries,"Agriculture, Forestry & Hunting/Fishing"
02,0272,Agricultural Production - Livestock and Animal Specialties,Horses and Other Equines,In-Person Industries,"Agriculture, Forestry & Hunting/Fishing"
02,0273,Agricultural Production - Livestock and Animal Specialties,Animal Aquaculture,In-Person Industries,"Agriculture, Forestry & Hunting/Fishing"
02,0279,Agricultural Production - Livestock and Animal Specialties,"Animal Specialties, NEC",In-Person Industries,"Agriculture, Forestry & Hunting/Fishing"
02,0291,Agricultural Production - Livestock and Animal Specialties,"General Farms, Primarily animals",In-Person Industries,"Agriculture, Forestry & Hunting/Fishing"
07,0711,Agricultural Services,Soil Preparation Services,In-Person Industries,"Agriculture, Forestry & Hunting/Fishing"
07,0721,Agricultural Services,Crop Planting and Protection,In-Person Industries,"Agriculture, Forestry & Hunting/Fishing"
07,0722,Agricultural Services,Crop Harvesting,In-Person Industries,"Agriculture, Forestry & Hunting/Fishing"
07,0723,Agricultural Services,Crop Preparation Services For Market,In-Person Industries,"Agriculture, Forestry & Hunting/Fishing"
07,0724,Agricultural Services,Cotton Ginning,In-Person Industries,"Agriculture, Forestry & Hunting/Fishing"
07,0741,Agricultural Services,Veterinary Services For Livestock,In-Person Industries,"Agriculture, Forestry & Hunting/Fishing"
07,0742,Agricultural Services,"Veterinary Services, Specialties",In-Person Industries,"Agriculture, Forestry & Hunting/Fishing"
07,0751,Agricultural Services,"Livestock Services, Except Veterinary",In-Person Industries,"Agriculture, Forestry & Hunting/Fishing"
07,0752,Agricultural Services,Animal Specialty Services,In-Person Industries,"Agriculture, Forestry & Hunting/Fishing"
07,0761,Agricultural Services,Farm Labor Contractors,In-Person Industries,"Agriculture, Forestry & Hunting/Fishing"
07,0762,Agricultural Services,Farm Management Services,In-Person Industries,"Agriculture, Forestry & Hunting/Fishing"
07,0781,Agricultural Services,Landscape Counseling and Planning,In-Person Industries,"Agriculture, Forestry & Hunting/Fishing"
07,0782,Agricultural Services,Lawn and Garden Services,In-Person Industries,"Agriculture, Forestry & Hunting/Fishing"
07,0783,Agricultural Services,Ornamental Shrub and Tree Services,In-Person Industries,"Agriculture, Forestry & Hunting/Fishing"
08,0811,Forestry,Timber Tracts,In-Person Industries,"Agriculture, Forestry & Hunting/Fishing"
08,0831,Forestry,Forest Products,In-Person Industries,"Agriculture, Forestry & Hunting/Fishing"
08,0851,Forestry,Forestry Services,In-Person Industries,"Agriculture, Forestry & Hunting/Fishing"
09,0912,"Fishing, Hunting and Trapping",Finfish,In-Person Industries,"Agriculture, Forestry & Hunting/Fishing"
09,0913,"Fishing, Hunting and Trapping",Shellfish,In-Person Industries,"Agriculture, Forestry & Hunting/Fishing"
09,0919,"Fishing, Hunting and Trapping",Miscellaneous Marine Products,In-Person Industries,"Agriculture, Forestry & Hunting/Fishing"
09,0921,"Fishing, Hunting and Trapping",Fish Hatcheries and Preserves,In-Person Industries,"Agriculture, Forestry & Hunting/Fishing"
09,0971,"Fishing, Hunting and Trapping","Hunting and Trapping, and Game Propagation",In-Person Industries,"Agriculture, Forestry & Hunting/Fishing"
10,1011,Metal Mining,Iron Ores,In-Person Industries,Mining & Fuel Extraction
10,1021,Metal Mining,Copper Ores,In-Person Industries,Mining & Fuel Extraction
10,1031,Metal Mining,Lead and Zinc Ores,In-Person Industries,Mining & Fuel Extraction
10,1041,Metal Mining,Gold Ores,In-Person Industries,Mining & Fuel Extraction
10,1044,Metal Mining,Silver Ores,In-Person Industries,Mining & Fuel Extraction
10,1061,Metal Mining,"Ferroalloy Ores, Except Vanadium",In-Person Industries,Mining & Fuel Extraction
10,1081,Metal Mining,Metal Mining Services,In-Person Industries,Mining & Fuel Extraction
10,1094,Metal Mining,Uranium-radium-vanadium Ores,In-Person Industries,Mining & Fuel Extraction
10,1099,Metal Mining,"Metal Ores, NEC",In-Person Industries,Mining & Fuel Extraction
12,1221,Coal Mining,Bituminous Coal and Lignite-surface Mining,In-Person Industries,Mining & Fuel Extraction
12,1222,Coal Mining,Bituminous Coal-underground Mining,In-Person Industries,Mining & Fuel Extraction
12,1231,Coal Mining,Anthracite Mining,In-Person Industries,Mining & Fuel Extraction
12,1241,Coal Mining,Coal Mining Services,In-Person Industries,Mining & Fuel Extraction
13,1311,Oil and Gas Extraction,Crude Petroleum and Natural Gas,In-Person Industries,Mining & Fuel Extraction
13,1321,Oil and Gas Extraction,Natural Gas Liquids,In-Person Industries,Mining & Fuel Extraction
13,1381,Oil and Gas Extraction,Drilling Oil and Gas Wells,In-Person Industries,Mining & Fuel Extraction
13,1382,Oil and Gas Extraction,Oil and Gas Exploration Services,In-Person Industries,Mining & Fuel Extraction
13,1389,Oil and Gas Extraction,"Oil and Gas Field Services, NEC",In-Person Industries,Mining & Fuel Extraction
14,1411,"Mining and Quarrying of Nonmetallic Minerals, Except Fuels",Dimension Stone,In-Person Industries,Mining & Fuel Extraction
14,1422,"Mining and Quarrying of Nonmetallic Minerals, Except Fuels",Crushed and Broken Limestone,In-Person Industries,Mining & Fuel Extraction
14,1423,"Mining and Quarrying of Nonmetallic Minerals, Except Fuels",Crushed and Broken Granite,In-Person Industries,Mining & Fuel Extraction
14,1429,"Mining and Quarrying of Nonmetallic Minerals, Except Fuels","Crushed and Broken Stone, NEC",In-Person Industries,Mining & Fuel Extraction
14,1442,"Mining and Quarrying of Nonmetallic Minerals, Except Fuels",Construction Sand and Gravel,In-Person Industries,Mining & Fuel Extraction
14,1446,"Mining and Quarrying of Nonmetallic Minerals, Except Fuels",Industrial Sand,In-Person Industries,Mining & Fuel Extraction
14,1455,"Mining and Quarrying of Nonmetallic Minerals, Except Fuels",Kaolin and Ball Clay,In-Person Industries,Mining & Fuel Extraction
14,1459,"Mining and Quarrying of Nonmetallic Minerals, Except Fuels","Clay, Ceramic, and Refractory Minerals, NEC",In-Person Industries,Mining & Fuel Extraction
14,1474,"Mining and Quarrying of Nonmetallic Minerals, Except Fuels","Potash, Soda, and Borate Minerals",In-Person Industries,Mining & Fuel Extraction
14,1475,"Mining and Quarrying of Nonmetallic Minerals, Except Fuels",Phosphate Rock,In-Person Industries,Mining & Fuel Extraction
14,1479,"Mining and Quarrying of Nonmetallic Minerals, Except Fuels","Chemical and Fertilizer Mineral Mining, NEC",In-Person Industries,Mining & Fuel Extraction
14,1481,"Mining and Quarrying of Nonmetallic Minerals, Except Fuels","Nonmetallic Minerals Services, Except Fuels",In-Person Industries,Mining & Fuel Extraction
14,1499,"Mining and Quarrying of Nonmetallic Minerals, Except Fuels","Miscellaneous Nonmetallic Minerals, Except Fuels",In-Person Industries,Mining & Fuel Extraction
15,1521,Building Cnstrctn - General Contractors & Operative Builders,Single-family Housing Construction,In-Person Industries,Construction
15,1522,Building Cnstrctn - General Contractors & Operative Builders,"Residential Construction, NEC",In-Person Industries,Construction
15,1531,Building Cnstrctn - General Contractors & Operative Builders,Operative Builders,In-Person Industries,Construction
15,1541,Building Cnstrctn - General Contractors & Operative Builders,Industrial Buildings and Warehouses,In-Person Industries,Construction
15,1542,Building Cnstrctn - General Contractors & Operative Builders,"Nonresidential Construction, NEC",In-Person Industries,Construction
16,1611,"Heavy Cnstrctn, Except Building Construction - Contractors",Highway and Street Construction,In-Person Industries,Construction
16,1622,"Heavy Cnstrctn, Except Building Construction - Contractors","Bridge, Tunnel, and Elevated Highway",In-Person Industries,Construction
