State,Schedule Min,Schedule Max,Eligibility Requirement (Before),Eligibility Requirement (After)
Alabama,-0.25,0.25,0,0
Alaska,-0.4,0.4,0,0
Arizona,-0.25,0.25,0,0
Arkansas,-0.4,0.4,0,0
California,-0.25,0.25,0,0
Colorado,-0.25,0.25,0,0
Connecticut,-0.25,0.25,0,0
Delaware,-0.25,0.25,0,0
District of Columbia,-0.25,0.25,0,0
Florida,-0.25,0.25,1000,1000
Georgia,-0.5,0.4,0,0
Hawaii,0,0,0,0
Idaho,-0.25,0.25,0,0
Illinois,-0.5,0.5,0,0
Indiana,-0.5,0.5,0,0
Iowa,-0.25,0.25,0,0
Kansas,-0.4,0.4,0,0
Kentucky,-0.5,0.5,0,0
Louisiana,-0.25,0.25,1000,1000
Maine,-0.4,0.4,0,0
Maryland,-0.4,0.4,0,0
Massachusetts,-0.4,0.25,0,0
Michigan,-0.25,0.25,0,0
Minnesota,-0.4,0.4,0,0
Mississippi,-0.4,0.4,0,0
Missouri,-0.25,0.25,0,0
Montana,-0.4,0.4,0,0
Nebraska,0,0,0,0
Nevada,-0.25,0.25,0,0
New Hampshire,-0.4,0.4,0,0
New Jersey,-0.25,0.25,0,0
New Mexico,-0.5,0.5,0,0
New York,-0.15,0.15,2500,0
New York (Free Trade Zone),-0.15,0.15,2500,0
North Carolina,-0.5,0.5,0,0
North Dakota,-0.25,0.25,0,0
Ohio,-0.25,0.25,0,0
Oklahoma,-0.4,0.4,0,0
Oregon,-0.25,0.25,0,0
Pennsylvania,-0.4,0.4,0,0
Puerto Rico,-0.25,0.25,0,0
Rhode Island,-0.4,0.4,0,0
South Carolina,-0.4,0.25,0,0
South Dakota,-0.25,0.25,0,0
Tennessee,-0.5,0.5,0,0
Texas,-0.4,0.4,0,0
Utah,-0.25,0.25,0,0
Vermont,-0.25,0.25,0,0
Virginia,-0.5,0.5,0,0
Washington,-0.25,0.25,0,0
West Virginia,-0.4,0.4,0,0
Wisconsin,-0.5,0.5,0,0
Wyoming,-0.5,0.5,0,0
