State,City,Population,ViolentCrime,VCRate,Relativity,CityRisk
ALABAMA,Alabaster,32182.28571,78,0.002423694,0.35183081,Low
ALABAMA,Albertville,21546,25.6,0.001188156,0.172476313,Low
ALABAMA,Alexander City,14765.14286,194.5714286,0.013177755,1.912923337,High
ALABAMA,Anniston,22332,606.1428571,0.027142345,3.940066244,Very High
ALABAMA,Athens,24878.57143,15.85714286,0.000637382,0.092524267,Low
ALABAMA,Atmore,10059.16667,77.16666667,0.007671278,1.113586322,Default
ALABAMA,Auburn,61271.57143,167.7142857,0.002737228,0.397344485,Low
ALABAMA,Bessemer,26921,626.8,0.023282939,3.379822952,Very High
ALABAMA,Birmingham,212047.4,3438,0.016213356,2.353580578,High
ALABAMA,Calera,14334,265,0.018487512,2.68370407,High
ALABAMA,Cullman,15289.66667,27.66666667,0.001809501,0.26267272,Low
ALABAMA,Daphne,24778.71429,35.57142857,0.001435564,0.208390871,Low
ALABAMA,Decatur,55439.28571,177.7142857,0.003205566,0.465329799,Low
ALABAMA,Dothan,68263,435.8,0.006384132,0.926740209,Default
ALABAMA,Enterprise,28015,106.7142857,0.003809184,0.552952831,Low
ALABAMA,Eufaula,12530.5,71.33333333,0.005692776,0.826380896,Default
ALABAMA,Fairfield,10885,172.2,0.015819936,2.296470468,High
ALABAMA,Fairhope,18669.42857,43.85714286,0.002349142,0.341008702,Low
ALABAMA,Florence,39972.28571,190.5714286,0.004767589,0.692077862,Low
ALABAMA,Foley,16696.83333,51,0.003054471,0.443396453,Low
ALABAMA,Fort Payne,14187.5,33.5,0.002361233,0.342763906,Low
ALABAMA,Gadsden,36138.57143,423.8571429,0.011728663,1.702568824,High
ALABAMA,Gardendale,13793.16667,62.83333333,0.004555396,0.661275248,Low
ALABAMA,Gulf Shores,11088,39.85714286,0.00359462,0.521806034,Low
ALABAMA,Hartselle,14485.71429,30,0.002071006,0.300633582,Low
ALABAMA,Helena,18152.57143,24.14285714,0.001329997,0.193066383,Low
ALABAMA,Homewood,25748.66667,75.33333333,0.002925718,0.42470619,Low
ALABAMA,Hoover,84768.85714,98.14285714,0.00115777,0.16806548,Low
ALABAMA,Hueytown,15737.42857,55.71428571,0.003540241,0.513912222,Low
ALABAMA,Huntsville,188986.5,1627.333333,0.008610844,1.249976619,High
ALABAMA,Irondale,12428.85714,61.57142857,0.004953909,0.719124665,Low
ALABAMA,Jacksonville,12401.28571,73.71428571,0.005944084,0.862861515,Default
ALABAMA,Jasper,14033.57143,131.5714286,0.009375477,1.36097307,High
ALABAMA,Leeds,11932.5,68.16666667,0.005712689,0.829271549,Default
ALABAMA,Madison,46602.5,151.3333333,0.003247322,0.471391269,Low
ALABAMA,Millbrook,15229.16667,58.83333333,0.003863201,0.56079414,Low
ALABAMA,Mobile,249557.2857,1576.142857,0.006315756,0.916814505,Default
ALABAMA,Montgomery,200946.1667,1103.833333,0.005493179,0.797406791,Default
ALABAMA,Moody,12608,34.14285714,0.002708031,0.393106126,Low
ALABAMA,Mountain Brook,20555.2,12.8,0.000622713,0.090395001,Low
ALABAMA,Muscle Shoals,13693.57143,63.57142857,0.004642429,0.673909208,Low
ALABAMA,Northport,24797.42857,93.42857143,0.003767672,0.546926808,Low
ALABAMA,Opelika,29438.57143,196.8571429,0.006687048,0.970712445,Default
ALABAMA,Oxford,21193.57143,69.71428571,0.003289407,0.47750045,Low
ALABAMA,Ozark,14707.66667,123.5,0.008396981,1.218931584,High
ALABAMA,Pelham,22815.71429,32.14285714,0.001408803,0.204506238,Low
ALABAMA,Pell City,13493.8,51,0.003779514,0.548645799,Low
ALABAMA,Phenix City,37376,258.1428571,0.006906648,1.002590171,Default
ALABAMA,Pleasant Grove,10265.33333,19.16666667,0.001867126,0.271037688,Low
ALABAMA,Prattville,35442.71429,80.42857143,0.002269255,0.329412088,Low
ALABAMA,Prichard,22241.57143,384.7142857,0.017297082,2.51089757,High
ALABAMA,Saraland,13879.71429,39.42857143,0.002840734,0.412369624,Low
ALABAMA,Scottsboro,14721.14286,143.8571429,0.009772145,1.418554593,High
ALABAMA,Selma,19923.25,284.25,0.014267251,2.071077926,High
ALABAMA,Sylacauga,12593,65.2,0.00517748,0.751578838,Low
ALABAMA,Talladega,15687.28571,123.5714286,0.007877171,1.14347431,Default
ALABAMA,Troy,18914.85714,179.1428571,0.009471013,1.374841339,High
ALABAMA,Trussville,22096,113,0.005114048,0.742370889,Low
