Country,Rate
US,1
Afghanistan,37.6
Albania,0.73
Algeria,1.37
American Samoa,0.24
Andorra,0.21
Angola,1
Anguilla,0.26
Antigua and Barbuda,0.31
Argentina,0.58
Armenia,1.17
Aruba,0.31
Australia,0.33
Austria,0.62
Azerbaijan,1.37
Bahamas,0.85
Bahrain,0.85
Bangladesh,1.17
Barbados,0.42
Belarus,2.2
Belgium,1.08
Belize,1.6
Benin,1.17
Bermuda,0.26
Bhutan,0.28
Bolivia,1.27
Bosnia,0.79
Botswana,0.33
Brazil,1.88
Brunei Darussalam,0.22
Bulgaria,0.58
Burkina Faso,3.82
Burundi,1.48
Cambodia,0.53
Cameroon,2.79
Canada,0.62
Cape Verde,0.42
Cayman Islands,0.39
Central African Republic,17.09
Chad,4.13
Chile,0.62
China,0.58
Colombia,2.79
Comoros,0.73
Republic of Congo,0.62
DRC,2.79
Costa Rica,1
Cote d'Ivoire (Ivory Coast),1.27
Croatia,0.45
Cuba,0.33
Curacao,0.31
Cyprus,0.42
Czech Republic,0.39
Denmark,0.42
Djibouti,0.62
Dominica,0.39
Dominican Republic,1
Ecuador,0.85
Egypt,1.88
El Salvador,1.48
Equatorial Guinea,1.08
Eritrea,0.79
Estonia,0.36
Swaziland,0.85
Ethiopia,2.79
Fiji,0.33
Finland,0.49
France,1.27
French Guiana,0.39
Gabon,1.08
Gambia,1.08
Georgia,1.08
Germany,0.79
Ghana,1.08
Greece,0.79
Grenada,0.33
Guam,0.24
Guatemala,1.6
Guinea,1.6
Guinea-Bissau,2.58
Guyana,1.08
Haiti,3.53
Honduras,2.2
Hong Kong,0.58
Hungary,0.28
Iceland,0.19
India,1.48
Indonesia,0.92
Iran,1.48
Iraq,27.43
Ireland,0.42
Israel/PA,1.88
Italy,0.92
Jamaica,2.38
Japan,0.26
Jordan,1
Kazakhstan,0.92
Kenya,2.03
Kiribati,0.28
North Korea,0.39
South Korea,0.31
Kosovo,0.62
Kuwait,0.42
Kyrgyzstan,1.48
Laos,0.53
Latvia,0.53
Lebanon,2.03
Lesotho,0.73
Liberia,1.17
Libya,13.49
Liechtenstein,0.22
Lithuania,0.42
Luxembourg,0.28
Macao SAR,0.36
Macedonia,0.62
Madagascar,1.17
Malawi,1.08
Malaysia,0.49
Maldives,0.49
Mali,8.41
Malta,0.39
Marshall Islands,0.24
Martinique,0.39
Mauritania,1.08
Mauritius,0.33
Mexico,6.13
"Micronesia, Federated States of",0.26
Moldova,0.79
Monaco,0.24
Mongolia,0.36
Montenegro,0.92
Morocco,1.08
Mozambique,3.02
Myanmar,2.58
Namibia,0.42
Nauru,0.31
Nepal,0.73
Netherlands,0.62
New Zealand,0.26
Nicaragua,1
Niger,5.67
Nigeria,13.49
Norway,0.42
Oman,0.45
Pakistan,1.6
Palau,0.28
Palestinian Territory,3.02
Panama,0.58
Papua New Guinea,2.03
Paraguay,0.92
Peru,0.85
Philippines,1.74
Poland,0.53
Portugal,0.42
Puerto Rico,1
Qatar,0.58
Reunion,0.49
Romania,0.49
Russia,0.79
Rwanda,0.58
Samoa,0.26
San Marino,0.22
Sao Tome,0.31
Saudi Arabia,1.08
Senegal,1
Serbia,0.67
Seychelles,0.45
Sierra Leone,1.37
Singapore,0.26
Slovakia,0.42
Slovenia,0.28
Solomon Islands,0.39
Somalia,17.09
South Africa,1.48
South Sudan,9.09
Spain,0.73
Sri Lanka,0.58
St Kitts and Nevis,0.39
St Lucia,0.42
St Maarten,0.31
St Vincent and the Grenadines,0.36
Sudan,1.88
Suriname,0.58
Sweden,0.58
Switzerland,0.45
Syria,34.75
Taiwan,0.33
Tajikistan,1.08
Tanzania,1.48
Thailand,1.08
East Timor,0.42
Togo,1.08
Tonga,0.33
Trinidad & Tobago,1.37
Tunisia,1.17
Turkey,1.17
Turkmenistan,0.36
Tuvalu,0.26
Uganda,1.08
Ukraine,2.03
UAE,0.79
UK,0.79
Uruguay,0.45
Uzbekistan,1
Vanuatu,0.33
Venezuela,5.67
Vietnam,0.33
US Virgin Islands,1
Yemen,37.6
Zambia,1.37
Zimbabwe,1.48
