Limit,ILF
0,0
10000,0.002194269
50000,0.010971347
100000,0.021014382
200000,0.040515679
300000,0.058375272
400000,0.074082444
500000,0.088748685
600000,0.102661541
700000,0.116133648
800000,0.129576285
900000,0.142890937
1000000,0.156108759
1100000,0.169130645
1200000,0.181952218
1300000,0.194689085
1400000,0.207036103
1500000,0.219070231
1600000,0.230933937
1700000,0.24208901
1800000,0.25280464
1900000,0.263258995
2000000,0.273024252
2100000,0.28244976
2200000,0.291688257
2300000,0.300666154
2400000,0.309329982
2500000,0.317766889
2600000,0.326031437
2700000,0.333982506
2800000,0.341880529
2900000,0.3497783
3000000,0.357493944
3100000,0.364967216
3200000,0.372372918
3300000,0.379675179
3400000,0.386865916
3500000,0.394056654
3600000,0.401236403
3700000,0.408376619
3800000,0.415458233
3900000,0.422428701
4000000,0.429366836
4100000,0.436304971
4200000,0.443174399
4300000,0.450011493
4400000,0.456769018
4500000,0.463505072
4600000,0.470241125
4700000,0.476977179
4800000,0.483713233
4900000,0.490449286
5000000,0.497165384
5100000,0.503850918
5200000,0.510536451
5300000,0.51715496
5400000,0.523719581
5500000,0.530243113
5600000,0.536526335
5700000,0.542672984
5800000,0.548819633
5900000,0.554925697
6000000,0.561004986
6100000,0.566947364
6200000,0.572702648
6300000,0.57840337
6400000,0.584011135
6500000,0.589618899
6600000,0.595226664
6700000,0.60083325
6800000,0.606289285
6900000,0.61157254
7000000,0.616843502
7100000,0.622086341
7200000,0.627289942
7300000,0.632382399
7400000,0.637451279
7500000,0.642491532
7600000,0.647493051
7700000,0.652494571
7800000,0.657496091
7900000,0.662391728
8000000,0.66720527
8100000,0.671954188
8200000,0.676666689
8300000,0.681331406
8400000,0.685996123
8500000,0.690660841
8600000,0.695325558
8700000,0.699970067
8800000,0.704550583
8900000,0.7091311
9000000,0.713711616
9100000,0.718288765
9200000,0.72278508
9300000,0.727206037
9400000,0.731533951
9500000,0.735857866
9600000,0.74010158
9700000,0.744345293
9800000,0.748589007
9900000,0.752832721
10000000,0.757038124
10100000,0.761085481
10200000,0.764976731
10300000,0.768833122
10400000,0.772689513
10500000,0.776545903
10600000,0.780402294
10700000,0.784258685
10800000,0.788115075
10900000,0.791971466
11000000,0.795827857
11100000,0.799684247
11200000,0.803540638
11300000,0.807397029
11400000,0.81120593
11500000,0.81496128
11600000,0.81871663
11700000,0.82247198
11800000,0.82622733
11900000,0.829954641
12000000,0.83360895
12100000,0.837263259
12200000,0.840917568
12300000,0.844571877
12400000,0.848156974
12500000,0.851661237
12600000,0.855113465
12700000,0.858557104
12800000,0.86190829
12900000,0.865259477
13000000,0.868610664
13100000,0.87196185
13200000,0.875313037
13300000,0.878664224
13400000,0.88201541
13500000,0.885366597
13600000,0.888717784
13700000,0.89206897
13800000,0.895420157
13900000,0.898771344
14000000,0.90212253
14100000,0.905473717
14200000,0.908824904
14300000,0.912176091
14400000,0.915496207
14500000,0.918746353
14600000,0.921996499
14700000,0.925246645
14800000,0.928496791
14900000,0.931746937
15000000,0.934997082
15100000,0.938247228
15200000,0.941497374
15300000,0.94474752
15400000,0.947997666
15500000,0.951247812
15600000,0.954497958
15700000,0.957748104
15800000,0.960998249
15900000,0.964248395
16000000,0.967498541
16100000,0.970748687
16200000,0.973998833
16300000,0.977248979
16400000,0.980499125
16500000,0.983749271
16600000,0.986999416
16700000,0.990249562
16800000,0.993499708
16900000,0.996749854
17000000,1
17100000,1.003250146
17200000,1.006500292
17300000,1.009750438
17400000,1.013000584
17500000,1.016250729
17600000,1.019500875
17700000,1.022751021
17800000,1.026001167
17900000,1.029251313
18000000,1.032501459
18100000,1.035751605
18200000,1.039001751
18300000,1.042251896
18400000,1.045502042
18500000,1.048752188
18600000,1.052002334
18700000,1.05525248
18800000,1.058502626
18900000,1.061752772
19000000,1.065002918
19100000,1.068253063
19200000,1.071503209
19300000,1.074753355
19400000,1.078003501
19500000,1.081253647
19600000,1.084503793
19700000,1.087753939
19800000,1.091004085
19900000,1.09425423
20000000,1.097504376
25000000,1.252395214
30000000,1.371840517
35000000,1.459156191
40000000,1.532125166
45000000,1.594943413
50000000,1.655567896
55000000,1.716192378
60000000,1.776816861
70000000,1.892039416
80000000,1.974864921
90000000,2.040541444
100000000,2.094212804
500000000,2.841349349
1000000000,4.818795224
10000000000,147.1041122
1E+12,493973.7153
