Limit,ILF
0,0
10000,0.00593016
50000,0.029650802
100000,0.055033978
200000,0.103112018
300000,0.143642845
400000,0.174278587
500000,0.200128977
600000,0.222515913
700000,0.242876646
800000,0.2631019
900000,0.282738782
1000000,0.301930515
1100000,0.320637035
1200000,0.338883117
1300000,0.356934494
1400000,0.374089767
1500000,0.390525833
1600000,0.406570169
1700000,0.420985645
1800000,0.434391021
1900000,0.447195832
2000000,0.458416686
2100000,0.468856594
2200000,0.478866643
2300000,0.488277676
2400000,0.496966793
2500000,0.505134311
2600000,0.512973194
2700000,0.520331702
2800000,0.527608922
2900000,0.534885755
3000000,0.541883499
3100000,0.548509834
3200000,0.555032624
3300000,0.561396901
3400000,0.56759028
3500000,0.573783659
3600000,0.5799602
3700000,0.586076162
3800000,0.592102319
3900000,0.597958159
4000000,0.603764452
4100000,0.609570745
4200000,0.61527175
4300000,0.620923208
4400000,0.626452734
4500000,0.631949358
4600000,0.637445982
4700000,0.642942606
4800000,0.64843923
4900000,0.653935854
5000000,0.659401898
5100000,0.664821104
5200000,0.670240311
5300000,0.675582487
5400000,0.68086273
5500000,0.686095748
5600000,0.69105258
5700000,0.695852449
5800000,0.700652318
5900000,0.705405542
6000000,0.710127994
6100000,0.714693095
6200000,0.719043169
6300000,0.723330536
6400000,0.727511067
6500000,0.731691598
6600000,0.735872128
6700000,0.740051304
6800000,0.744057453
6900000,0.747865026
7000000,0.751658471
7100000,0.755419594
7200000,0.759135621
7300000,0.76272391
7400000,0.766285103
7500000,0.769813393
7600000,0.773297169
7700000,0.776780945
7800000,0.780264721
7900000,0.783651144
8000000,0.786962086
8100000,0.79021361
8200000,0.793431651
8300000,0.796605757
8400000,0.799779864
8500000,0.802953971
8600000,0.806128078
8700000,0.809283604
8800000,0.812380294
8900000,0.815476983
9000000,0.818573673
9100000,0.821667265
9200000,0.824686538
9300000,0.827636521
9400000,0.830500959
9500000,0.83336172
9600000,0.83614874
9700000,0.838935761
9800000,0.841722781
9900000,0.844509802
10000000,0.847261597
10100000,0.849885268
10200000,0.852389328
10300000,0.85486668
10400000,0.857344031
10500000,0.859821383
10600000,0.862298735
10700000,0.864776086
10800000,0.867253438
10900000,0.869730789
11000000,0.872208141
11100000,0.874685492
11200000,0.877162844
11300000,0.879640196
11400000,0.882081161
11500000,0.884481095
11600000,0.88688103
11700000,0.889280964
11800000,0.891680899
11900000,0.89405935
12000000,0.896381867
12100000,0.898704384
12200000,0.901026901
12300000,0.903349418
12400000,0.905618904
12500000,0.907826457
12600000,0.90999414
12700000,0.912155242
12800000,0.914245507
12900000,0.916335772
13000000,0.918426038
13100000,0.920516303
13200000,0.922606569
13300000,0.924696834
13400000,0.9267871
13500000,0.928877365
13600000,0.93096763
13700000,0.933057896
13800000,0.935148161
13900000,0.937238427
14000000,0.939328692
14100000,0.941418957
14200000,0.943509223
14300000,0.945599488
14400000,0.947665948
14500000,0.949678796
14600000,0.951691644
14700000,0.953704492
14800000,0.95571734
14900000,0.957730189
15000000,0.959743037
15100000,0.961755885
15200000,0.963768733
15300000,0.965781581
15400000,0.967794429
15500000,0.969807278
15600000,0.971820126
15700000,0.973832974
15800000,0.975845822
15900000,0.97785867
16000000,0.979871518
16100000,0.981884367
16200000,0.983897215
16300000,0.985910063
16400000,0.987922911
16500000,0.989935759
16600000,0.991948607
16700000,0.993961456
16800000,0.995974304
16900000,0.997987152
17000000,1
17100000,1.002012848
17200000,1.004025696
17300000,1.006038544
17400000,1.008051393
17500000,1.010064241
17600000,1.012077089
17700000,1.014089937
17800000,1.016102785
17900000,1.018115633
18000000,1.020128482
18100000,1.02214133
18200000,1.024154178
18300000,1.026167026
18400000,1.028179874
18500000,1.030192722
18600000,1.032205571
18700000,1.034218419
18800000,1.036231267
18900000,1.038244115
19000000,1.040256963
19100000,1.042269811
19200000,1.04428266
19300000,1.046295508
19400000,1.048308356
19500000,1.050321204
19600000,1.052334052
19700000,1.0543469
19800000,1.056359749
19900000,1.058372597
20000000,1.060385445
25000000,1.155192142
30000000,1.224789077
35000000,1.273285169
40000000,1.312359197
45000000,1.344766827
50000000,1.375733722
55000000,1.406700617
60000000,1.437667512
70000000,1.496138235
80000000,1.536214622
90000000,1.567181517
100000000,1.592016193
500000000,1.904521902
1000000000,2.847963868
10000000000,76.65764692
1E+12,226970.3765
