Field,Parameter
STRateCap,1.8
STCParameter,0.448037088
STBParameter,0.050179954
Ed Base Rate,9.43353E-07
Ed Min Premium,4500
Event Freq Factor,0.412026726
D&I Per Event,2.427027027
Target Net LR,0.3
Benchmark Net LR,0.7
Death Proportion,0.35
Injury Proportion,0.65
PPD Proportion,0.3
Counselling Std,0.25
Counselling Res,0.005
Annual Inflation Rate,0
Experience Rating LL Threshold,250000
Experience Rating LL Load,0.142459611
Experience Rating Cat Load,0.2746
Experience Rating Dev Perc,0.7
Experience Rating BP Inflation,0
Business Plan Rate Change,0.1
UW Rationale Threshold,100000
