Sector,Rate
Casinos,0.000126655569226315
Commercial,2.42094861660079e-05
Events,0.000847856806406029
Healthcare,0.00133553803103536
Hotels,3.04035039636155e-05
Industrial,4.24051425872919e-05
Leisure,2.3517422490495e-05
Military,0.0258064516129032
Motels,0.000177000101142915
Municipal,5.67970775649741e-05
Bars & Night Clubs,0.000126655569226315
Non Profit,2.78838752777495e-05
Open spaces,0.00187199144232484
Religious,2.78838752777495e-05
Residences,3.05357605712318e-05
Restaurants,3.04035039636155e-05
Retail,5e-05
Shopping Malls,0.00114067125446926
Summer Camps,0.00187199144232484
Transport,0.000309226651713449
