Lookup,Sector,SubSector,Low,Medium,High,Counselling Est Measure,TP Per Employee,TP Per Unit,Measure,Minimum Premium,Relativity,Spread Discount Group
CommercialCommercial Offices / Standalone,Commercial,Commercial Offices / Standalone,0,25,100,Per Employee,0.5,0.0,Staff,4800.0,1.0,Very Low
CommercialLaw Firm,Commercial,Law Firm,0,25,100,Per Employee,1.0,0.0,Staff,5760.0,1.2,Very Low
CommercialCommercial / Multi-Occupancy,Commercial,Commercial / Multi-Occupancy,0,25,100,Per Employee,1.0,0.0,Staff,4800.0,1.0,Very Low
EventsFairs,Events,Fairs,0,25000,75000,Use Footfall,0.0,0.0,Attendees,4800.0,1.0,Medium
EventsFestivals,Events,Festivals,0,25000,75000,Use Footfall,0.0,0.0,Attendees,10597.9675521484,2.20790990669758,Medium
EventsTheme Parks,Events,Theme Parks,0,2000,3000,Use Footfall,0.0,0.0,Daily Visitors,10597.9675521484,2.20790990669758,Medium
EventsConcerts,Events,Concerts,0,3500,10000,Use Footfall,0.0,0.0,Capacity,4800.0,1.0,Medium
EventsTheatre shows,Events,Theatre shows,0,500,1000,Use Footfall,0.0,0.0,Capacity,4800.0,1.0,Medium
EventsSports events,Events,Sports events,0,20000,50000,Use Footfall,0.0,0.0,Capacity,4800.0,1.0,Medium
EventsOutdoor sports pitch,Events,Outdoor sports pitch,0,250,1000,Use Footfall,0.0,0.0,Attendees,4800.0,1.0,Medium
EventsMarathons,Events,Marathons,0,1000,10000,Use Footfall,0.0,0.0,Participants,10597.9675521484,2.20790990669758,Medium
EventsPublic Gatherings,Events,Public Gatherings,0,2500,10000,Use Footfall,0.0,0.0,Attendees,4800.0,1.0,Medium
EventsParty,Events,Party,0,250,750,Use Footfall,0.0,0.0,Attendees,4800.0,1.0,Medium
EventsTrade shows,Events,Trade shows,0,250,750,Use Footfall,0.0,0.0,Attendees,4800.0,1.0,Medium
EventsParades,Events,Parades,0,2500,10000,Use Footfall,0.0,0.0,Attendees,4800.0,2.20790990669758,Medium
EventsConferences,Events,Conferences,0,250,750,Use Footfall,0.0,0.0,Attendees,4800.0,1.0,Medium
MunicipalReal estate (includes legal),Municipal,Real estate (includes legal),0,25,75,Per Employee,0.2,0.0,Staff,5760.0,1.2,Low
MunicipalMuseums & Libraries,Municipal,Museums & Libraries,0,100,500,Use Footfall,0.0,0.0,Daily Visitors,5760.0,1.2,Low
MunicipalOther Municipal Buildings,Municipal,Other Municipal Buildings,0,25,75,Per Employee,0.2,0.0,Staff,4800.0,1.0,Low
MunicipalPost offices,Municipal,Post offices,0,5,15,Per Employee,0.2,0.0,Staff,4800.0,1.0,Low
MunicipalHigh risks,Municipal,High risks,0,25,75,Per Employee,0.2,0.0,Staff,6720.0,1.4,Low
MunicipalMedium risks,Municipal,Medium risks,0,25,75,Per Employee,0.2,0.0,Staff,4800.0,1.0,Low
MunicipalLow risks,Municipal,Low risks,0,25,75,Per Employee,0.2,0.0,Staff,3839.99999999999,0.799999999999999,Very Low
MunicipalCorrectional Facilities,Municipal,Correctional Facilities,0,50,250,Use Footfall,0.0,0.0,Beds,5760.0,1.2,Low
MunicipalUtilities,Municipal,Utilities,0,25,75,Per Employee,0.2,0.0,Staff,3840.0,0.8,Very Low
MunicipalCourthouse,Municipal,Courthouse,0,25,75,Per Employee,0.2,0.0,Staff,4800.0,1.0,Low
