"Path","Name","Type","Mode","Optionality","Label","Default Value","Async Input","Async Output"
"hx_core/inception_date","inception_date","date","input","required","Inception Date","2018-01-01","['rarc_task']","[{'task': 'task_start_renewal', 'reset': False}]"
"hx_core/expiry_date","expiry_date","date","input","required","Expiry Date","2018-12-31","['rarc_task']","[{'task': 'task_start_renewal', 'reset': False}]"
"hx_core/model_premium","model_premium","float","output","n/a","Model Premium","n/a","n/a","n/a"
"hx_core/charged_premium","charged_premium","float","output","n/a","Charged Premium","n/a","n/a","n/a"
"hx_core/premium_currency","premium_currency","str","output","n/a","Premium Currency","n/a","n/a","n/a"
"hx_core/ulr","ulr","float","output","n/a","ULR","n/a","n/a","n/a"
"hx_core/class_code","class_code","str","output","n/a","Class Code","n/a","n/a","n/a"
"hx_core","hx_core","structure","n/a","n/a","n/a","n/a","n/a","n/a"
"cds/key_industry/code_type","code_type","str","input","optional","Industry Code Type","None","n/a","n/a"
"cds/key_industry/code","code","str","input","optional","Industry Code","None","n/a","n/a"
"cds/key_industry/code_name","code_name","str","input","optional","Industry Code Name","None","n/a","n/a"
"cds/key_industry","key_industry","structure","n/a","n/a","n/a","n/a","n/a","n/a"
"cds/exposure/aggregate/exposure","exposure","float","output","n/a","Agg Exposure","n/a","n/a","n/a"
"cds/exposure/aggregate","aggregate","structure","n/a","n/a","n/a","n/a","n/a","n/a"
"cds/exposure/granular/event_cancel/event_type","event_type","str","input","optional","Type of Event","None","['rarc_task']","n/a"
"cds/exposure/granular/event_cancel/exposure_curve","exposure_curve","str","input","required","Exposure Curve Selected","Standard","['rarc_task']","n/a"
"cds/exposure/granular/event_cancel/exposure_curve_comments","exposure_curve_comments","str","input","optional","Exposure Curve Comments","None","['rarc_task']","n/a"
"cds/exposure/granular/event_cancel/exposure_curve_warning","exposure_curve_warning","str","output","n/a","Exposure Curve Warning","n/a","n/a","n/a"
"cds/exposure/granular/event_cancel/experience","experience","bool","input","required","Experience","False","['rarc_task']","n/a"
"cds/exposure/granular/event_cancel/experience_ratio","experience_ratio","str","input","optional","Incurred Loss Ratio","None","['rarc_task']","n/a"
"cds/exposure/granular/event_cancel/experience_factor","experience_factor","float","output","n/a","Experience Factor","n/a","n/a","n/a"
"cds/exposure/granular/event_cancel/ncb","ncb","bool","input","required","NCB","False","['rarc_task']","n/a"
"cds/exposure/granular/event_cancel/ncb_offered","ncb_offered","float","input","optional","NCB % Offered","None","['rarc_task']","n/a"
"cds/exposure/granular/event_cancel/ncb_factor","ncb_factor","float","output","n/a","NCB Factor","n/a","n/a","n/a"
"cds/exposure/granular/event_cancel/agg_tiv_calc","agg_tiv_calc","float","output","n/a","Aggregate TIV Calculated","n/a","n/a","n/a"
"cds/exposure/granular/event_cancel/agg_tiv_uw","agg_tiv_uw","float","input","optional","Aggregate TIV Entered","None","n/a","n/a"
"cds/exposure/granular/event_cancel/agg_tiv_warning","agg_tiv_warning","str","output","n/a","Aggregate TIV Warning","n/a","n/a","n/a"
"cds/exposure/granular/event_cancel/base_coverages/all_risks/uw_adj_min","uw_adj_min","float","output","n/a","Minimum","n/a","n/a","n/a"
"cds/exposure/granular/event_cancel/base_coverages/all_risks/uw_adj_max","uw_adj_max","float","output","n/a","Maximum","n/a","n/a","n/a"
"cds/exposure/granular/event_cancel/base_coverages/all_risks/uw_adj_sel","uw_adj_sel","float","input","required","Selected","0","['rarc_task']","n/a"
"cds/exposure/granular/event_cancel/base_coverages/all_risks/uw_adj_fin","uw_adj_fin","float","output","n/a","Selected - Final","n/a","['task_simulation']","n/a"
"cds/exposure/granular/event_cancel/base_coverages/all_risks/uw_comment","uw_comment","str","input","optional","UW Comment","None","n/a","n/a"
"cds/exposure/granular/event_cancel/base_coverages/all_risks/net_el_usd","net_el_usd","float","output","n/a","Expected Loss USD","n/a","n/a","n/a"
