month,rate,pattern
1,0.727272727,US
2,0.727272727,US
3,0.848484848,US
4,0.848484848,US
5,0.848484848,US
6,1.03030303,US
7,1.151515152,US
8,1.454545455,US
9,1.454545455,US
10,1.151515152,US
11,1.03030303,US
12,0.727272727,US
1,1,US-California
2,1,US-California
3,1,US-California
4,1,US-California
5,1,US-California
6,1,US-California
7,1,US-California
8,1,US-California
9,1,US-California
10,1,US-California
11,1,US-California
12,1,US-California
1,1.130952381,Australia
2,1.011904762,Australia
3,0.833333333,Australia
4,0.595238095,Australia
5,0,Australia
6,0,Australia
7,0.595238095,Australia
8,0.833333333,Australia
9,1.011904762,Australia
10,1.130952381,Australia
11,1.428571429,Australia
12,1.428571429,Australia
1,0,Europe
2,0.387596899,Europe
3,0.465116279,Europe
4,0.465116279,Europe
5,0.465116279,Europe
6,0.775193798,Europe
7,2.713178295,Europe
8,3.100775194,Europe
9,0.775193798,Europe
10,0.465116279,Europe
11,0.387596899,Europe
12,0,Europe
1,0,Canada
2,0,Canada
3,0.595238095,Canada
4,0.833333333,Canada
5,1.011904762,Canada
6,1.130952381,Canada
7,1.428571429,Canada
8,1.428571429,Canada
9,1.130952381,Canada
10,1.011904762,Canada
11,0.833333333,Canada
12,0.595238095,Canada
1,0,Other
2,0.387596899,Other
3,0.465116279,Other
4,0.465116279,Other
5,0.465116279,Other
6,0.775193798,Other
7,2.713178295,Other
8,3.100775194,Other
9,0.775193798,Other
10,0.465116279,Other
11,0.387596899,Other
12,0,Other
