country,state,rate,pattern
Worldwide,,0.000295449959813981,Other
APAC,,0.00312476775246377,East Asian
Eastern Europe,,2.87251167884972E-06,European
Latin America,,0,Other
Middle East,,0,Other
North America,,0.000327204611028714,North Atlantic
Africa,,0,Other
Western Europe,,0.000133298756274101,European
US,Alabama,0.000823069541664018,North Atlantic
US,Alaska,0,North Atlantic
US,Arizona,0,North Atlantic
US,Arkansas,0,North Atlantic
US,California,0,North Atlantic
US,Colorado,0,North Atlantic
US,Connecticut,0.000174422543817644,North Atlantic
US,Delaware,0.000229039656834694,North Atlantic
US,Florida,0.00176005832929137,North Atlantic
US,Georgia,0.000850613597581454,North Atlantic
US,Hawaii,0.000160525238725645,North Atlantic
US,Idaho,0,North Atlantic
US,Illinois,0,North Atlantic
US,Indiana,0,North Atlantic
US,Iowa,0,North Atlantic
US,Kansas,0,North Atlantic
US,Kentucky,0,North Atlantic
US,Louisiana,0.00114885023220896,North Atlantic
US,Maine,0.000301506221896728,North Atlantic
US,Maryland,0.000336140470965611,North Atlantic
US,Massachusetts,0.000260899679283026,North Atlantic
US,Michigan,0,North Atlantic
US,Minnesota,0,North Atlantic
US,Mississippi,0.000731788857329027,North Atlantic
US,Missouri,0,North Atlantic
US,Montana,0,North Atlantic
US,Nebraska,0,North Atlantic
US,Nevada,0,North Atlantic
US,New Hampshire,0.000155097048208864,North Atlantic
US,New Jersey,0.000263963780444581,North Atlantic
US,New Mexico,0,North Atlantic
US,New York,0.000310251764178785,North Atlantic
US,North Carolina,0.000719013596112505,North Atlantic
US,North Dakota,0,North Atlantic
US,Ohio,0,North Atlantic
US,Oklahoma,0,North Atlantic
US,Oregon,0,North Atlantic
US,Pennsylvania,0.000155267083125661,North Atlantic
US,Rhode Island,0.000257055544914791,North Atlantic
US,South Carolina,0.000643465593298416,North Atlantic
US,South Dakota,0,North Atlantic
US,Tennessee,0,North Atlantic
US,Texas,0.00108437808364342,North Atlantic
US,Utah,0,North Atlantic
US,Vermont,7.00237309401541E-05,North Atlantic
US,Virginia,0.000416825704857328,North Atlantic
US,Washington,0,North Atlantic
US,West Virginia,7.25560064841812E-05,North Atlantic
US,Wisconsin,0,North Atlantic
US,Wyoming,0,North Atlantic
Afghanistan,,0,Other
Albania,,0,European
Algeria,,0,Other
American Samoa,,0,Other
Andorra,,0,European
Angola,,0,Other
Anguilla,,0,North Atlantic
Antigua and Barbuda,,0,North Atlantic
Argentina,,0,Other
Armenia,,0,European
Aruba,,0,Other
Australia,,0.000386803804355365,Australia/New Zealand
Austria,,2.56284268182688E-05,European
Azerbaijan,,0,Other
Bahamas,,0,North Atlantic
Bahrain,,0,Other
Bangladesh,,0,Other
Barbados,,0,North Atlantic
Belarus,,0,European
Belgium,,9.99916106422999E-05,European
