attachment,salzman_a_primary,salzman_b_primary,salzman_average
0,0,0,0
0.05,4.7,3.4453125,4.2890625
0.1,9.4,6.890625,8.578125
0.175,9.9,7.2734375,9.0546875
0.25,10.4,7.65625,9.53125
0.375,13.9,9.953125,12.390625
0.5,17.4,12.25,15.25
0.75,19.65,13.475,16.775
1,21.9,14.7,18.3
1.125,22.85,15.4125,19.13125
1.25,23.8,16.125,19.9625
1.375,24.75,16.8375,20.79375
1.5,25.7,17.55,21.625
1.625,26.65,18.2625,22.45625
1.75,27.6,18.975,23.2875
1.875,28.55,19.6875,24.11875
2,29.5,20.4,24.95
2.125,30.2375,20.8125,25.525
2.25,30.975,21.225,26.1
2.375,31.7125,21.6375,26.675
2.5,32.45,22.05,27.25
2.625,33.1875,22.4625,27.825
2.75,33.925,22.875,28.4
2.875,34.6625,23.2875,28.975
3,35.4,23.7,29.55
3.125,35.9875,24.0375,30.0125
3.25,36.575,24.375,30.475
3.375,37.1625,24.7125,30.9375
3.5,37.75,25.05,31.4
3.625,38.3375,25.3875,31.8625
3.75,38.925,25.725,32.325
3.875,39.5125,26.0625,32.7875
4,40.1,26.4,33.25
4.125,40.5625,26.7,33.63125
4.25,41.025,27,34.0125
4.375,41.4875,27.3,34.39375
4.5,41.95,27.6,34.775
4.625,42.4125,27.9,35.15625
4.75,42.875,28.2,35.5375
4.875,43.3375,28.5,35.91875
5,43.8,28.8,36.3
5.125,44.1625,29.0875,36.625
5.25,44.525,29.375,36.95
5.375,44.8875,29.6625,37.275
5.5,45.25,29.95,37.6
5.625,45.6125,30.2375,37.925
5.75,45.975,30.525,38.25
5.875,46.3375,30.8125,38.575
6,46.7,31.1,38.9
6.125,46.9875,31.375,39.18125
6.25,47.275,31.65,39.4625
6.375,47.5625,31.925,39.74375
6.5,47.85,32.2,40.025
6.625,48.1375,32.475,40.30625
6.75,48.425,32.75,40.5875
6.875,48.7125,33.025,40.86875
7,49,33.3,41.15
7.125,49.2375,33.5625,41.4
7.25,49.475,33.825,41.65
7.375,49.7125,34.0875,41.9
7.5,49.95,34.35,42.15
7.625,50.1875,34.6125,42.4
7.75,50.425,34.875,42.65
7.875,50.6625,35.1375,42.9
8,50.9,35.4,43.15
8.125,51.1125,35.65,43.38125
8.25,51.325,35.9,43.6125
8.375,51.5375,36.15,43.84375
8.5,51.75,36.4,44.075
8.625,51.9625,36.65,44.30625
8.75,52.175,36.9,44.5375
8.875,52.3875,37.15,44.76875
9,52.6,37.4,45
9.125,52.8,37.6375,45.21875
9.25,53,37.875,45.4375
9.375,53.2,38.1125,45.65625
9.5,53.4,38.35,45.875
9.625,53.6,38.5875,46.09375
9.75,53.8,38.825,46.3125
9.875,54,39.0625,46.53125
10,54.2,39.3,46.75
10.125,54.3875,39.3875,46.8875
10.25,54.575,39.475,47.025
10.375,54.7625,39.5625,47.1625
10.5,54.95,39.65,47.3
10.625,55.1375,39.7375,47.4375
10.75,55.325,39.825,47.575
10.875,55.5125,39.9125,47.7125
11,55.7,40,47.85
11.125,55.8875,40.0875,47.9875
11.25,56.075,40.175,48.125
11.375,56.2625,40.2625,48.2625
11.5,56.45,40.35,48.4
11.625,56.6375,40.4375,48.5375
11.75,56.825,40.525,48.675
11.875,57.0125,40.6125,48.8125
12,57.2,40.7,48.95
12.125,57.375,40.8,49.0875
12.25,57.55,40.9,49.225
12.375,57.725,41,49.3625
12.5,57.9,41.1,49.5
12.625,58.075,41.2,49.6375
12.75,58.25,41.3,49.775
12.875,58.425,41.4,49.9125
13,58.6,41.5,50.05
13.125,58.7875,41.5875,50.1875
13.25,58.975,41.675,50.325
13.375,59.1625,41.7625,50.4625
13.5,59.35,41.85,50.6
13.625,59.5375,41.9375,50.7375
13.75,59.725,42.025,50.875
13.875,59.9125,42.1125,51.0125
14,60.1,42.2,51.15
14.125,60.275,42.2875,51.28125
14.25,60.45,42.375,51.4125
14.375,60.625,42.4625,51.54375
14.5,60.8,42.55,51.675
14.625,60.975,42.6375,51.80625
14.75,61.15,42.725,51.9375
14.875,61.325,42.8125,52.06875
15,61.5,42.9,52.2
15.125,61.65,43.0375,52.34375
15.25,61.8,43.175,52.4875
15.375,61.95,43.3125,52.63125
15.5,62.1,43.45,52.775
15.625,62.25,43.5875,52.91875
15.75,62.4,43.725,53.0625
15.875,62.55,43.8625,53.20625
16,62.7,44,53.35
16.125,62.85,44.15,53.5
16.25,63,44.3,53.65
16.375,63.15,44.45,53.8
16.5,63.3,44.6,53.95
16.625,63.45,44.75,54.1
16.75,63.6,44.9,54.25
16.875,63.75,45.05,54.4
17,63.9,45.2,54.55
17.125,64.0375,45.35,54.69375
17.25,64.175,45.5,54.8375
17.375,64.3125,45.65,54.98125
17.5,64.45,45.8,55.125
17.625,64.5875,45.95,55.26875
17.75,64.725,46.1,55.4125
17.875,64.8625,46.25,55.55625
18,65,46.4,55.7
18.125,65.15,46.5375,55.84375
18.25,65.3,46.675,55.9875
18.375,65.45,46.8125,56.13125
18.5,65.6,46.95,56.275
