Loan to Deposit Ratio,Form 14,Form 15,Form 15 (Finance),Form 15 (Small Loan),Form 23,Form 24,Form 24 (Savings Bank),Form 24 (SLA),Form 25
0,0.15,0.13,0.26,0.17,0,0.07,0.26,0.1,0.14
0.351,0.15,0.13,0.26,0.17,0,0.07,0.26,0.1,0.14
0.401,0.15,0.13,0.26,0.17,0,0.08,0.26,0.1,0.14
0.451,0.15,0.13,0.26,0.17,0,0.08,0.26,0.1,0.14
0.501,0.15,0.13,0.26,0.17,0,0.1,0.26,0.1,0.14
0.551,0.15,0.13,0.26,0.17,0,0.11,0.26,0.1,0.14
0.601,0.15,0.13,0.26,0.17,0,0.11,0.26,0.1,0.14
0.651,0.15,0.13,0.26,0.17,0,0.12,0.26,0.1,0.14
0.701,0.15,0.13,0.26,0.17,0,0.13,0.26,0.1,0.14
0.751,0.15,0.13,0.26,0.17,0,0.13,0.26,0.1,0.14
