Cover,Min Coverage,Max Coverage,Min Deductible,Max Deductible
cover_1_basic_bond,9,6,1000,6
cover_2_insuring_agreement_d,7,8,8,6
cover_3_agents,9,8,0,6
cover_4_audit_expense,7,8,6,6
cover_5_electronic_data_processors,7,8,8,8
cover_6_extortion_persons,9,8,0,6
cover_7_extortion_property,9,8,0,6
cover_8_faithful_duty,8,8,8,8
cover_9_fraudulent_mortgages,9,8,8,8
cover_10_fraudulent_instructions,9,8,8,8
cover_11_issuers_orders,10000,8,8,8
cover_12_misplacement,9,8,8,8
cover_13_partners_members,25000,8,8,8
cover_14_registered_reps,8,8,8,8
cover_15_servicing_contractors,10000,8,8,8
cover_16_trading_loss,9,8,8,8
cover_17_transit_cash_letter,1000,8,0,6
cover_18_unattended_atms,9,8,0,6
cover_19_insuring_agreement_e,9,8,8,6
cover_20_computer_fraud_fi,9,8,8,8
cover_21_data_processing_fi,8,8,8,8
cover_22_voice_transfer_fraud_fi,9,8,8,8
cover_23_telefacsimile_transfer_fraud_fi,9,8,8,8
cover_24_liability_depository,25000,6,0,0
cover_25_loss_property_damage,25000,6,0,0
cover_26_computer_fraud,25000,6,0,6
cover_27_data_processing,25000,6,0,6
cover_28_voice_transfer_fraud,25000,6,0,6
cover_29_telefacsimile_transfer_fraud,25000,6,0,6
cover_30_hacker,25000,6,0,6
cover_31_virus,25000,6,0,6
cover_32_voice_computer_fraud,25000,6,0,6
cover_33_account_takeover,25000,0,0,6
