industry,sub_industry,region,rate,coverage
Banks,Acquiring bank,Africa,0.046920395,crime
Banks,Acquiring bank,Arab States,0.021908816,crime
Banks,Acquiring bank,Asia,0.026714216,crime
Banks,Acquiring bank,Oceania,0.075626683,crime
Banks,Acquiring bank,Europe,0.056717975,crime
Banks,Acquiring bank,Former Soviet Republics,0.028357759,crime
Banks,Acquiring bank,USA,0.056717975,crime
Banks,Acquiring bank,Canada,0.026479644,crime
Banks,Acquiring bank,South/Latin America,0.014564531,crime
Banks,Acquiring bank,Caribbean,0.026985854,crime
Banks,Acquiring bank,RoW,0.056717975,crime
Banks,Building societies,Africa,0.046920395,crime
Banks,Building societies,Arab States,0.021908816,crime
Banks,Building societies,Asia,0.026714216,crime
Banks,Building societies,Oceania,0.075626683,crime
Banks,Building societies,Europe,0.056717975,crime
Banks,Building societies,Former Soviet Republics,0.028357759,crime
Banks,Building societies,USA,0.056717975,crime
Banks,Building societies,Canada,0.026479644,crime
Banks,Building societies,South/Latin America,0.014564531,crime
Banks,Building societies,Caribbean,0.026985854,crime
Banks,Building societies,RoW,0.056717975,crime
Banks,Central banks,Africa,0.046920395,crime
Banks,Central banks,Arab States,0.021908816,crime
Banks,Central banks,Asia,0.026714216,crime
Banks,Central banks,Oceania,0.075626683,crime
Banks,Central banks,Europe,0.056717975,crime
Banks,Central banks,Former Soviet Republics,0.028357759,crime
Banks,Central banks,USA,0.056717975,crime
Banks,Central banks,Canada,0.026479644,crime
Banks,Central banks,South/Latin America,0.014564531,crime
Banks,Central banks,Caribbean,0.026985854,crime
Banks,Central banks,RoW,0.056717975,crime
Banks,Commercial banks,Africa,0.062143028,crime
Banks,Commercial banks,Arab States,0.0290168099847577,crime
Banks,Commercial banks,Asia,0.005896875,crime
Banks,Commercial banks,Oceania,0.100162649,crime
Banks,Commercial banks,Europe,0.045071573,crime
Banks,Commercial banks,Former Soviet Republics,0.037558017,crime
Banks,Commercial banks,USA,0.075119288,crime
Banks,Commercial banks,Canada,0.035070575,crime
Banks,Commercial banks,South/Latin America,0.019289779,crime
Banks,Commercial banks,Caribbean,0.064333831,crime
Banks,Commercial banks,RoW,0.075119288,crime
Banks,Credit unions,Africa,0.046920395,crime
Banks,Credit unions,Arab States,0.021908816,crime
Banks,Credit unions,Asia,0.026714216,crime
Banks,Credit unions,Oceania,0.075626683,crime
Banks,Credit unions,Europe,0.056717975,crime
Banks,Credit unions,Former Soviet Republics,0.028357759,crime
Banks,Credit unions,USA,0.056717975,crime
Banks,Credit unions,Canada,0.026479644,crime
Banks,Credit unions,South/Latin America,0.014564531,crime
Banks,Credit unions,Caribbean,0.026985854,crime
Banks,Credit unions,RoW,0.056717975,crime
Banks,Development bank,Africa,0.046920395,crime
Banks,Development bank,Arab States,0.021908816,crime
Banks,Development bank,Asia,0.026714216,crime
Banks,Development bank,Oceania,0.075626683,crime
Banks,Development bank,Europe,0.056717975,crime
Banks,Development bank,Former Soviet Republics,0.028357759,crime
Banks,Development bank,USA,0.056717975,crime
Banks,Development bank,Canada,0.026479644,crime
Banks,Development bank,South/Latin America,0.014564531,crime
Banks,Development bank,Caribbean,0.026985854,crime
Banks,Development bank,RoW,0.056717975,crime
Banks,Financing companies/house,Africa,0.046920395,crime
Banks,Financing companies/house,Arab States,0.021908816,crime
Banks,Financing companies/house,Asia,0.026714216,crime
Banks,Financing companies/house,Oceania,0.075626683,crime
Banks,Financing companies/house,Europe,0.056717975,crime
Banks,Financing companies/house,Former Soviet Republics,0.028357759,crime
Banks,Financing companies/house,USA,0.056717975,crime
Banks,Financing companies/house,Canada,0.026479644,crime
Banks,Financing companies/house,South/Latin America,0.014564531,crime
Banks,Financing companies/house,Caribbean,0.026985854,crime
Banks,Financing companies/house,RoW,0.056717975,crime
Banks,Investment banks,Africa,0.046920395,crime
Banks,Investment banks,Arab States,0.021908816,crime
Banks,Investment banks,Asia,0.026714216,crime
Banks,Investment banks,Oceania,0.075626683,crime
Banks,Investment banks,Europe,0.056717975,crime
Banks,Investment banks,Former Soviet Republics,0.028357759,crime
Banks,Investment banks,USA,0.056717975,crime
Banks,Investment banks,Canada,0.026479644,crime
Banks,Investment banks,South/Latin America,0.014564531,crime
Banks,Investment banks,Caribbean,0.026985854,crime
Banks,Investment banks,RoW,0.056717975,crime
Banks,Private banks,Africa,0.046920395,crime
Banks,Private banks,Arab States,0.021908816,crime
Banks,Private banks,Asia,0.026714216,crime
Banks,Private banks,Oceania,0.075626683,crime
Banks,Private banks,Europe,0.028358987409376,crime
Banks,Private banks,Former Soviet Republics,0.028358987,crime
Banks,Private banks,USA,0.0567179748187521,crime
Banks,Private banks,Canada,0.0264796438623407,crime
Banks,Private banks,South/Latin America,0.014564531,crime
