ccy,fx_rate
USD,1
EUR,0.98
GBP,0.834
CHF,0.97
AED,3.672
AFN,87.483
ALL,113.679
AMD,387.05
ANG,1.79
AOA,424.446
ARS,127.61
AUD,1.462
AWG,1.792
AZN,1.7
BAM,1.916
BBD,2
BDT,92.026
BGN,1.916
BHD,0.374
BIF,2031.113
BMD,1
BND,1.396
BOB,6.68
BRL,5.378
BSD,1
BTN,79.357
BWP,12.47
BZD,1.967
CAD,1.295
CLP,970.843
CNY,6.727
COP,4364.039
CRC,669.616
CUP,1.014
CVE,108.018
CZK,24.101
DJF,177.705
DKK,7.289
DOP,53.833
DZD,146.061
EGP,18.845
ETB,52.023
FJD,2.202
FKP,0.834
GEL,2.91
GHS,8.084
GIP,0.834
GMD,53.61
GNF,8590.54
GTQ,7.55
GYD,199.469
HKD,7.848
HNL,24.098
HRK,7.358
HTG,115.004
HUF,393.75
IDR,14979.541
ILS,3.468
INR,79.357
IQD,1430.059
IRR,42098.816
ISK,136.008
JMD,149.54
JOD,0.709
JPY,136.778
KES,117.136
KGS,80.561
KHR,3982.989
KMF,481.944
KPW,899.984
KRW,1306.246
KWD,0.307
KYD,0.833
KZT,473.729
LAK,14787.262
LBP,1507.458
LKR,357.334
LRD,150.869
LSL,16.803
LYD,4.834
MAD,10.031
MDL,19.048
MGA,4081.94
MKD,59.771
MMK,1830.158
MNT,2619.926
MOP,8.084
MRO,361.963
MUR,44.086
MVR,12.853
MWK,1022.734
MXN,20.5
MYR,4.433
MZN,63.198
NAD,16.803
NGN,415.129
NIO,35.369
NOK,10.026
NPR,125.454
NZD,1.615
OMR,0.384
PAB,1
PEN,3.812
PGK,3.459
PHP,55.864
PKR,211.958
PLN,4.659
PYG,6733.607
QAR,3.551
RON,4.835
RSD,114.835
RUB,58.521
RWF,1014.087
SAR,3.745
SBD,8.143
SCR,12.493
SDG,453.987
SEK,10.391
SGD,1.396
SHP,0.834
SLL,13134.631
SOS,546.909
SRD,22.439
STD,23556.436
SVC,8.75
SYP,512.781
SZL,16.803
THB,36.189
TND,3.063
TOP,2.292
TRY,17.294
TTD,6.644
TWD,29.832
TZS,2323.016
UAH,30.59
UGX,3755.276
UYU,40.149
UZS,10874.705
VEF,570635.881
VND,23372.492
VUV,112.137
WST,2.671
XAF,642.591
XCD,2.7
XOF,642.591
XPF,116.9
YER,249.985
ZAR,16.803
ZMW,16.506
