Currency code,Units per USD,As at date
USD,1,7/4/2017
EUR,0.940656981,7/4/2017
GBP,0.80547425,7/4/2017
CHF,1.005459318,7/4/2017
AED,3.673094582,7/4/2017
AFN,67.44193418,7/4/2017
ALL,127.68,7/4/2017
AMD,484.5595112,7/4/2017
ANG,1.789999993,7/4/2017
AOA,165.9200265,7/4/2017
ARS,15.40946464,7/4/2017
AUD,1.328764809,7/4/2017
AWG,1.79,7/4/2017
AZN,1.702600002,7/4/2017
BAM,1.839765143,7/4/2017
BBD,2,7/4/2017
BDT,80.65000153,7/4/2017
BGN,1.839145987,7/4/2017
BHD,0.376899988,7/4/2017
BIF,1695.780029,7/4/2017
BMD,1,7/4/2017
BND,1.401835016,7/4/2017
BOB,6.880000114,7/4/2017
BRL,3.1428,7/4/2017
BSD,1,7/4/2017
BTN,64.26015504,7/4/2017
BWP,10.67013802,7/4/2017
BYN,1.891996693,7/4/2017
BZD,1.998574097,7/4/2017
CAD,1.340006128,7/4/2017
CDF,1360.544218,7/4/2017
CLP,655.9,7/4/2017
CNY,6.897277802,7/4/2017
COP,2857.142857,7/4/2017
CRC,550.6799927,7/4/2017
CUC,1,7/4/2017
CUP,26.5,7/4/2017
CVE,103.8562716,7/4/2017
CZK,25.03277088,7/4/2017
DJF,178.769991,7/4/2017
DKK,6.994755313,7/4/2017
DOP,47,7/4/2017
DZD,110.9725949,7/4/2017
EGP,18.05042314,7/4/2017
ERN,15.34001135,7/4/2017
ETB,22.88748512,7/4/2017
FJD,2.074453807,7/4/2017
FKP,0.80547425,7/4/2017
GEL,2.419907007,7/4/2017
GGP,0.80547425,7/4/2017
GHS,4.108899997,7/4/2017
GIP,0.80547425,7/4/2017
GMD,45.21545844,7/4/2017
GNF,9232.5,7/4/2017
GTQ,7.33949995,7/4/2017
GYD,207.9901496,7/4/2017
HKD,7.769107983,7/4/2017
HNL,23.35000038,7/4/2017
HRK,7.007135665,7/4/2017
HTG,66.56999969,7/4/2017
HUF,291.7847148,7/4/2017
IDR,13320.97598,7/4/2017
ILS,3.653454945,7/4/2017
IMP,0.80547425,7/4/2017
INR,64.26015504,7/4/2017
IQD,1166.752228,7/4/2017
IRR,32258.06452,7/4/2017
ISK,112.4995995,7/4/2017
JEP,0.80547425,7/4/2017
JMD,128.3947574,7/4/2017
JOD,0.70599997,7/4/2017
JPY,110.6714071,7/4/2017
KES,103.41,7/4/2017
KGS,68.45095489,7/4/2017
KHR,4016.064257,7/4/2017
KMF,462.7728983,7/4/2017
KPW,130.1987624,7/4/2017
KRW,1134.949904,7/4/2017
KWD,0.304996721,7/4/2017
KYD,0.819999993,7/4/2017
KZT,313.03,7/4/2017
LAK,8189,7/4/2017
LBP,1511.807214,7/4/2017
LKR,151.94,7/4/2017
LRD,91,7/4/2017
LSL,13.76023371,7/4/2017
LYD,1.400000008,7/4/2017
MAD,10.06766101,7/4/2017
MDL,19.39205895,7/4/2017
MGA,3220.611916,7/4/2017
MKD,57.7596546,7/4/2017
MMK,1363.326517,7/4/2017
MNT,2423.75,7/4/2017
MOP,8.002181222,7/4/2017
MRO,359.3954968,7/4/2017
MUR,35.22000122,7/4/2017
MVR,15.27000046,7/4/2017
MWK,725.1000638,7/4/2017
MXN,18.74024969,7/4/2017
MYR,4.431900024,7/4/2017
MZN,66.4962147,7/4/2017
NAD,13.76023371,7/4/2017
NGN,306.7494072,7/4/2017
NIO,29.70739699,7/4/2017
NOK,8.611940232,7/4/2017
NPR,103.4239534,7/4/2017
NZD,1.436231939,7/4/2017
OMR,0.385,7/4/2017
PAB,1,7/4/2017
PEN,3.248498788,7/4/2017
PGK,3.267973917,7/4/2017
PHP,49.9034573,7/4/2017
PKR,104.8199997,7/4/2017
PLN,3.975186627,7/4/2017
PYG,5617.977528,7/4/2017
QAR,3.6406,7/4/2017
RON,4.252956758,7/4/2017
RSD,116.5518681,7/4/2017
RUB,56.96085472,7/4/2017
RWF,818.4500122,7/4/2017
SAR,3.750510181,7/4/2017
SBD,7.797270955,7/4/2017
SCR,13.4659996,7/4/2017
SDG,6.679982098,7/4/2017
SEK,9.027944326,7/4/2017
SGD,1.401835016,7/4/2017
SHP,0.80547425,7/4/2017
SLL,7518.796992,7/4/2017
SOS,578.4593314,7/4/2017
SPL,0.166666667,7/4/2017
SRD,7.489999771,7/4/2017
STD,23073.26315,7/4/2017
SVC,8.75,7/4/2017
SYP,214.3622722,7/4/2017
SZL,13.76023371,7/4/2017
THB,34.6217004,7/4/2017
TJS,8.367100161,7/4/2017
TMT,3.5,7/4/2017
TND,2.321520432,7/4/2017
TOP,2.297266292,7/4/2017
TRY,3.729621548,7/4/2017
TTD,6.762370438,7/4/2017
TVD,1.328764809,7/4/2017
TWD,30.6068977,7/4/2017
TZS,2232.990197,7/4/2017
UAH,26.9599841,7/4/2017
UGX,3610.2,7/4/2017
UYU,28.46529369,7/4/2017
UZS,3638,7/4/2017
VEF,9.99005989,7/4/2017
VND,22660.32178,7/4/2017
VUV,111.5262365,7/4/2017
WST,2.54000508,7/4/2017
XAF,617.0305311,7/4/2017
XAG,0.054301831,7/4/2017
XAU,0.000790766,7/4/2017
XCD,2.700000048,7/4/2017
XDR,0.737649998,7/4/2017
XOF,617.0305311,7/4/2017
XPD,0.001238268,7/4/2017
XPF,112.2502364,7/4/2017
XPT,0.001038421,7/4/2017
YER,250.1588509,7/4/2017
ZAR,13.76023371,7/4/2017
ZMW,9.449999809,7/4/2017
ZWD,361.9,7/4/2017
