"Path","Name","Type","Mode","Optionality","Label","Default Value"
"hx_core/inception_date","inception_date","date","input","required","Inception Date","2018-01-01"
"hx_core/expiry_date","expiry_date","date","input","required","Expiry Date","2018-12-31"
"hx_core/model_premium","model_premium","float","output","n/a","Model Premium","n/a"
"hx_core/charged_premium","charged_premium","float","output","n/a","Charged Premium","n/a"
"hx_core/premium_currency","premium_currency","str","output","n/a","Premium Currency","n/a"
"hx_core/ulr","ulr","float","output","n/a","ULR","n/a"
"hx_core/class_code","class_code","str","output","n/a","Class Code","n/a"
"hx_core","hx_core","structure","n/a","n/a","n/a","n/a"
"cds/key_industry/code_type","code_type","str","input","optional","Industry Code Type","None"
"cds/key_industry/code","code","str","input","optional","Industry Code","None"
"cds/key_industry/code_name","code_name","str","input","optional","Industry Code Name","None"
"cds/key_industry","key_industry","structure","n/a","n/a","n/a","n/a"
"cds/exposure/aggregate/revenue","revenue","float","input","required","Revenue","0"
"cds/exposure/aggregate/total_venue_us_factor","total_venue_us_factor","float","output","n/a","Total US Factor","n/a"
"cds/exposure/aggregate/total_venue_international_factor","total_venue_international_factor","float","output","n/a","Total International Factor","n/a"
"cds/exposure/aggregate/total_venue_factor","total_venue_factor","float","output","n/a","Overall Venue Factor","n/a"
"cds/exposure/aggregate/total_percentage_selected","total_percentage_selected","float","output","n/a","Total Selected","n/a"
"cds/exposure/aggregate/gmm_total_base_premium_current_year","gmm_total_base_premium_current_year","float","output","n/a","Base Premium - Current Year","n/a"
"cds/exposure/aggregate/gmm_total_base_premium_one_years_ago","gmm_total_base_premium_one_years_ago","float","output","n/a","Base Premium - Previous Year","n/a"
"cds/exposure/aggregate/glsn_total_base_premium_current_year","glsn_total_base_premium_current_year","float","output","n/a","Base Premium - Current Year","n/a"
"cds/exposure/aggregate/glsn_total_base_premium_one_years_ago","glsn_total_base_premium_one_years_ago","float","output","n/a","Base Premium - Previous Year","n/a"
"cds/exposure/aggregate/triage_running_total_obe/four_years_ago","four_years_ago","float","output","n/a","Total OBE: 
Four Years Ago","n/a"
