limit,next_limit,low,high
0,1000,0.12,0.12
1000,2500,0.15,0.15
2500,5000,0.18,0.18
5000,10000,0.2,0.2
10000,20000,0.25,0.25
20000,25000,0.3,0.3
25000,50000,0.35,0.35
50000,75000,0.45,0.45
75000,100000,0.52,0.52
100000,250000,0.57,0.57
250000,500000,0.633,0.633
500000,1000000,0.72,0.72
1000000,2000000,1,1
2000000,3000000,1.389,1.431
3000000,4000000,1.684,1.782
4000000,5000000,1.931,2.081
5000000,7500000,2.146,2.339
7500000,10000000,2.602,2.852
10000000,11000000,2.982,3.265
11000000,12000000,3.12,3.415
12000000,13000000,3.252,3.56
13000000,14000000,3.377,3.705
14000000,15000000,3.498,3.847
15000000,16000000,3.615,3.983
16000000,17000000,3.727,4.113
17000000,18000000,3.836,4.237
18000000,19000000,3.941,4.354
19000000,20000000,4.044,4.467
20000000,21000000,4.143,4.577
21000000,22000000,4.24,4.684
22000000,23000000,4.335,4.789
23000000,24000000,4.427,4.891
24000000,25000000,4.518,4.99
25000000,26000000,4.606,5.088
26000000,27000000,4.693,5.184
27000000,28000000,4.778,5.277
28000000,29000000,4.861,5.369
29000000,30000000,4.942,5.459
30000000,31000000,5.022,5.548
31000000,32000000,5.101,5.635
32000000,32500000,5.18,5.721
32500000,33000000,5.213,5.759
33000000,33500000,5.246,5.795
33500000,34000000,5.279,5.832
34000000,34500000,5.312,5.867
34500000,35000000,5.344,5.903
35000000,35500000,5.376,5.938
35500000,36000000,5.407,5.973
36000000,36500000,5.438,6.007
36500000,37000000,5.469,6.041
37000000,37500000,5.499,6.075
37500000,38000000,5.529,6.108
38000000,38500000,5.559,6.141
38500000,39000000,5.589,6.173
39000000,39500000,5.618,6.205
39500000,40000000,5.647,6.237
40000000,40500000,5.675,6.269
40500000,41000000,5.703,6.3
41000000,41500000,5.731,6.331
41500000,42000000,5.759,6.362
42000000,42500000,5.786,6.392
42500000,43000000,5.814,6.422
43000000,43500000,5.841,6.452
