revenue_start,revenue_end,size_of_band,base_premium
0,2500000,2500000,0
2500000,5000000,2500000,700.75
5000000,7500000,2500000,1306.75
7500000,10000000,2500000,1879
10000000,12500000,2500000,2429.5
12500000,15000000,2500000,2962.75
15000000,20000000,5000000,3480.25
20000000,25000000,5000000,4482.25
25000000,35000000,10000000,5449.75
35000000,45000000,10000000,7318.75
45000000,55000000,10000000,8215.75
55000000,65000000,10000000,8848.75
65000000,75000000,10000000,9420.75
75000000,100000000,25000000,9943.75
100000000,125000000,25000000,11101.25
125000000,150000000,25000000,12128.75
150000000,175000000,25000000,13036.25
175000000,200000000,25000000,13868.75
200000000,225000000,25000000,14653.75
225000000,250000000,25000000,15396.25
250000000,300000000,50000000,16113.75
300000000,350000000,50000000,17463.75
350000000,400000000,50000000,18688.75
400000000,450000000,50000000,19818.75
450000000,500000000,50000000,20853.75
500000000,550000000,50000000,21813.75
550000000,600000000,50000000,22573.75
600000000,650000000,50000000,23278.75
650000000,700000000,50000000,23938.75
700000000,750000000,50000000,24553.75
750000000,800000000,50000000,25123.75
800000000,850000000,50000000,25658.75
850000000,900000000,50000000,26153.75
900000000,950000000,50000000,26618.75
950000000,1000000000,50000000,27048.75
1000000000,5000000000,4000000000,27443.75
