revenue_start,revenue_end,size_of_band,base_premium
0,2500000,2500000,0
2500000,5000000,2500000,615.75
5000000,7500000,2500000,1148.5
7500000,10000000,2500000,1651.5
10000000,12500000,2500000,2135.5
12500000,15000000,2500000,2604.25
15000000,20000000,5000000,3059.25
20000000,25000000,5000000,3940.25
25000000,35000000,10000000,4790.75
35000000,45000000,10000000,6433.75
45000000,55000000,10000000,7221.75
55000000,65000000,10000000,7777.75
65000000,75000000,10000000,8279.75
75000000,100000000,25000000,8739.75
100000000,125000000,25000000,9757.25
125000000,150000000,25000000,10659.75
150000000,175000000,25000000,11457.25
175000000,200000000,25000000,12189.75
200000000,225000000,25000000,12879.75
225000000,250000000,25000000,13532.25
250000000,300000000,50000000,14162.25
300000000,350000000,50000000,15347.25
350000000,400000000,50000000,16422.25
400000000,450000000,50000000,17417.25
450000000,500000000,50000000,18322.25
500000000,550000000,50000000,19162.25
550000000,600000000,50000000,19827.25
600000000,650000000,50000000,20447.25
650000000,700000000,50000000,21027.25
700000000,750000000,50000000,21567.25
750000000,800000000,50000000,22067.25
800000000,850000000,50000000,22537.25
850000000,900000000,50000000,22972.25
900000000,950000000,50000000,23377.25
950000000,1000000000,50000000,23752.25
1000000000,5000000000,4000000000,24102.25
